path	added	era	libreoffice	dejavu	risk	cited_by
dotnet/probes/PROVENANCE.tsv	2026-08-15	current	26.2.4.2	present	current	dotnet/CLAUDE.md;dotnet/TODO.batches.md;dotnet/TODO.raster-ceiling.md
dotnet/probes/caption-keepnext-table/README.md	2026-08-16	current	26.2.4.2	present	current	-
dotnet/probes/crop-wiring-01/prediction.md	2026-08-13	current	26.2.4.2	present	current	-
dotnet/probes/crop-wiring-01/results.md	2026-08-13	current	26.2.4.2	present	current	-
dotnet/probes/emptypage-01/results.md	2026-08-15	current	26.2.4.2	present	current	-
dotnet/probes/fidelity-01/overrun-deltas.tsv	2026-08-13	current	26.2.4.2	present	current	-
dotnet/probes/fidelity-01/pagedrawing-deltas.tsv	2026-08-13	current	26.2.4.2	present	current	-
dotnet/probes/fidelity-01/prediction.md	2026-08-13	current	26.2.4.2	present	current	-
dotnet/probes/fidelity-01/results.md	2026-08-13	current	26.2.4.2	present	current	-
dotnet/probes/fidelity-b-01/prediction.md	2026-08-13	current	26.2.4.2	present	current	-
dotnet/probes/fidelity-b-01/results.md	2026-08-13	current	26.2.4.2	present	current	-
dotnet/probes/font-class-01/faces-sheets-after.tsv	2026-08-14	current	26.2.4.2	present	current	-
dotnet/probes/font-class-01/faces-sheets-before.tsv	2026-08-14	current	26.2.4.2	present	current	-
dotnet/probes/font-class-01/faces-slides-after.tsv	2026-08-14	current	26.2.4.2	present	current	-
dotnet/probes/font-class-01/faces-slides-before.tsv	2026-08-14	current	26.2.4.2	present	current	-
dotnet/probes/font-class-01/faces-words-after.tsv	2026-08-14	current	26.2.4.2	present	current	-
dotnet/probes/font-class-01/faces-words-before.tsv	2026-08-14	current	26.2.4.2	present	current	-
dotnet/probes/font-class-01/fc-answers.tsv	2026-08-14	current	26.2.4.2	present	current	-
dotnet/probes/font-class-01/lo-faces-26.tsv	2026-08-14	current	26.2.4.2	present	current	-
dotnet/probes/font-class-01/our-faces-after.tsv	2026-08-14	current	26.2.4.2	present	current	-
dotnet/probes/font-class-01/our-faces-before.tsv	2026-08-14	current	26.2.4.2	present	current	-
dotnet/probes/font-class-01/parity-sheets-after.tsv	2026-08-14	current	26.2.4.2	present	current	-
dotnet/probes/font-class-01/parity-slides-after.tsv	2026-08-14	current	26.2.4.2	present	current	-
dotnet/probes/font-class-01/parity-words-after.tsv	2026-08-14	current	26.2.4.2	present	current	-
dotnet/probes/font-class-01/prediction.md	2026-08-14	current	26.2.4.2	present	current	-
dotnet/probes/font-class-01/results.md	2026-08-14	current	26.2.4.2	present	current	dotnet/TODO.batches.md
dotnet/probes/gate-01/census.tsv	2026-08-13	current	26.2.4.2	present	current	-
dotnet/probes/gate-01/e2e-slides-batch-002.tsv	2026-08-13	current	26.2.4.2	present	current	-
dotnet/probes/gate-01/hist.json	2026-08-13	current	26.2.4.2	present	current	-
dotnet/probes/gate-01/old-sheets.tsv	2026-08-13	current	26.2.4.2	present	current	-
dotnet/probes/gate-01/old-slides.tsv	2026-08-13	current	26.2.4.2	present	current	-
dotnet/probes/gate-01/old-words.tsv	2026-08-13	current	26.2.4.2	present	current	-
dotnet/probes/gate-01/prediction.md	2026-08-13	current	26.2.4.2	present	current	-
dotnet/probes/gate-01/results.md	2026-08-13	current	26.2.4.2	present	current	-
dotnet/probes/keepnext-chain/README.md	2026-08-15	current	26.2.4.2	present	current	-
dotnet/probes/lineheight-01/prediction.md	2026-08-15	current	26.2.4.2	present	current	-
dotnet/probes/lineheight-01/results.md	2026-08-15	current	26.2.4.2	present	current	-
dotnet/probes/lineheight-01/sheets-after.tsv	2026-08-15	current	26.2.4.2	present	current	-
dotnet/probes/lineheight-01/sheets-before.tsv	2026-08-15	current	26.2.4.2	present	current	-
dotnet/probes/lineheight-01/slides-after.tsv	2026-08-15	current	26.2.4.2	present	current	-
dotnet/probes/lineheight-01/slides-before.tsv	2026-08-15	current	26.2.4.2	present	current	-
dotnet/probes/lineheight-01/words-after.tsv	2026-08-15	current	26.2.4.2	present	current	dotnet/TODO.batches.md
dotnet/probes/lineheight-01/words-before.tsv	2026-08-15	current	26.2.4.2	present	current	-
dotnet/probes/mso-shape-type-presets.json	2026-08-09	pre-container	24.2.7.2	unverified	CITED-STALE	dotnet/TODO.batches.md
dotnet/probes/nested-table-slice/README.md	2026-08-15	current	26.2.4.2	present	current	-
dotnet/probes/refdev-01/prediction.md	2026-08-15	current	26.2.4.2	present	current	-
dotnet/probes/refdev-01/results.md	2026-08-15	current	26.2.4.2	present	current	-
dotnet/probes/refdev-01/sheets-after.tsv	2026-08-15	current	26.2.4.2	present	current	-
dotnet/probes/refdev-01/sheets-before.tsv	2026-08-15	current	26.2.4.2	present	current	-
dotnet/probes/refdev-01/slides-after.tsv	2026-08-15	current	26.2.4.2	present	current	-
dotnet/probes/refdev-01/slides-before.tsv	2026-08-15	current	26.2.4.2	present	current	-
dotnet/probes/refdev-01/words-after.tsv	2026-08-15	current	26.2.4.2	present	current	-
