identity	ours_pages	ref_pages	ours_glyphs	ref_glyphs	verdict
2012-GA-Survey-Chapter-5-Tables-16Dec2013-V2__xls	3	3	2447	2447	match
2012-GA-Survey-Chapter-6-Tables-16Dec2013-V2__xls	5	5	2986	2986	match
Background_Declaration_Template__xls	25	25	853	853	match
EHEST-Pre-departure-checklist-Rev.-1-06-12-2016__xls	24	24	37447	37362	match
NPA_21_21_Sentenced_Comments__xls	2	2	4593	4614	match
PC1000__xls	13	13	3745	3831	glyphs
SIL_TDB605__xls	44	44	18358	18361	match
SIL_TDB609__xls	50	50	22328	22331	match
TICAPCapability_Final__xls	17	17	27834	27499	match
TOGAF9-Tool-ConfReqts-CSQ__xls	28	28	156084	155463	match
apron-area__xls	3	3	1814	1814	match
Hazard Analysis Template__xls	3	3	3297	3313	match
