cells	document	sheet	sheet_state	origin	sqref	formula	hits_value_range	hits_walked_range	hits_print_area	dxf_paints	can_paint
2688	sheets/chartset-009/xlsx/085_Simple_Gantt_chart_d65b8377.xlsx	Project schedule	visible	main	I4:BL31 I21:BL25 I15:BL19 I9:BL13 I27:BL31	AND(TODAY()>=I$5, TODAY()<J$5)	yes	yes	n/a	no	no
2128	sheets/chartset-009/xlsx/015_Free_Gantt_Chart_Template_for_Excel_414e86bf.xlsx	GanttChart	visible	main	K6:BN43	K$6=TODAY()	yes	yes	yes	no	no
2016	sheets/chartset-009/xlsx/015_Free_Gantt_Chart_Template_for_Excel_414e86bf.xlsx	GanttChart	visible	main	K8:BN43	AND($E8<=K$6,ROUNDDOWN(($F8-$E8+1)*$H8,0)+$E8-1>=K$6)	yes	yes	yes	yes	yes
2016	sheets/chartset-009/xlsx/015_Free_Gantt_Chart_Template_for_Excel_414e86bf.xlsx	GanttChart	visible	main	K8:BN43	AND(NOT(ISBLANK($E8)),$E8<=K$6,$F8>=K$6)	yes	yes	yes	yes	yes
1680	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Color	visible	main	I7:BL36	AND(TODAY()>=I$7,TODAY()<J$7)	yes	yes	n/a	yes	yes
1680	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Dark	visible	main	I7:BL36	AND(TODAY()>=I$7,TODAY()<J$7)	yes	yes	n/a	yes	yes
1680	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Light	visible	main	I7:BL36	AND(TODAY()>=I$7,TODAY()<J$7)	yes	yes	n/a	yes	yes
1560	sheets/chartset-010/xlsx/072_Gantt_project_planner_dde00e33.xlsx	Project Planner	visible	main	H5:BO30	PercentComplete	yes	yes	n/a	yes	yes
1560	sheets/chartset-010/xlsx/072_Gantt_project_planner_dde00e33.xlsx	Project Planner	visible	main	H5:BO30	PercentCompleteBeyond	yes	yes	n/a	yes	yes
1560	sheets/chartset-010/xlsx/072_Gantt_project_planner_dde00e33.xlsx	Project Planner	visible	main	H5:BO30	Actual	yes	yes	n/a	yes	yes
1560	sheets/chartset-010/xlsx/072_Gantt_project_planner_dde00e33.xlsx	Project Planner	visible	main	H5:BO30	ActualBeyond	yes	yes	n/a	yes	yes
1560	sheets/chartset-010/xlsx/072_Gantt_project_planner_dde00e33.xlsx	Project Planner	visible	main	H5:BO30	Plan	yes	yes	n/a	yes	yes
1560	sheets/chartset-010/xlsx/072_Gantt_project_planner_dde00e33.xlsx	Project Planner	visible	main	H5:BO30	H$4=period_selected	yes	yes	n/a	yes	yes
1560	sheets/chartset-010/xlsx/072_Gantt_project_planner_dde00e33.xlsx	Project Planner	visible	main	H5:BO30	MOD(COLUMN(),2)	yes	yes	n/a	yes	yes
1560	sheets/chartset-010/xlsx/072_Gantt_project_planner_dde00e33.xlsx	Project Planner	visible	main	H5:BO30	MOD(COLUMN(),2)=0	yes	yes	n/a	yes	yes
