document	expression_rules	refused	refused_cells	refused_can_paint
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	42	42	28146	42
sheets/chartset-014/xlsx/027_Simple_personal_cash_flow_statement_675c6584.xlsx	12	12	1994	12
sheets/chartset-010/xlsx/072_Gantt_project_planner_dde00e33.xlsx	10	10	12606	9
sheets/chartset-009/xlsx/085_Simple_Gantt_chart_d65b8377.xlsx	9	9	4928	8
sheets/chartset-008/xlsx/023_Waterfall_Chart_Template_for_Excel_349f7689.xlsx	8	8	228	8
sheets/done-003/xlsx/VOR Candidate Discontinuance List 2026-01-08.xlsx	8	8	1419	8
sheets/chartset-009/xlsx/015_Free_Gantt_Chart_Template_for_Excel_414e86bf.xlsx	4	4	6272	3
sheets/chartset-013/xlsx/019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782.xlsx	4	4	1540	4
sheets/chartset-007/xlsx/040_Blood_pressure_tracker_872b6833.xlsx	2	2	16	2
sheets/chartset-007/xlsx/083_Project_tracker_Use_this_template_b38d057c.xlsx	2	2	18	2
sheets/chartset-009/xlsx/024_Free_Kids_Chore_Chart_Template_ad74bb34.xlsx	2	2	162	2
sheets/chartset-011/xlsx/071_Four-week_project_timeline_Use_this_template_4f05db49.xlsx	5	2	56	2
sheets/done-011/xlsx/Application_Compliance_Checklist_5_Apr_2021.xlsx	32	2	1048	2
sheets/table-001/xlsx/FAA-2019-0995-0002_attachment_2.xlsx	2	2	1520	2
sheets/chartset-006/xlsx/044_Cash_flow_forecast_Use_this_template_b8fa1f35.xlsx	1	1	12	1
sheets/chartset-006/xlsx/088_To-do_list_with_progress_tracker_Use_this_template_8c438912.xlsx	1	1	40	1
sheets/chartset-007/xlsx/037_Personal_money_tracker_a57957bb.xlsx	3	1	1	1
sheets/chartset-007/xlsx/082_Project_to_do_list_28f80082.xlsx	1	1	54	1
sheets/chartset-010/xlsx/047_Date_tracker_Gantt_chart_bf34f3a8.xlsx	1	1	13	1
sheets/chartset-011/xlsx/028_Budget_summary_report_4aeefd13.xlsx	1	1	186	1
sheets/chartset-012/xlsx/036_Simple_to-do_list_Use_this_template_ba44373b.xlsx	3	1	42	1
sheets/chartset-014/xlsx/038_Baby_growth_chart_bb9cd672.xlsx	1	1	20	1
sheets/chartset-014/xlsx/039_Baby_growth_tracker_e295ae56.xlsx	1	1	20	1
sheets/chartset-005/xlsx/074_Idea_planner_bacaa123.xlsx	2	0	0	0
sheets/chartset-007/xlsx/050_Financial_vision_d44241e1.xlsx	4	0	0	0
sheets/chartset-009/xlsx/075_Idea_planner_tasks_f44ebd73.xlsx	3	0	0	0
sheets/chartset-009/xlsx/081_Project_performance_report_Use_this_template_be2468b3.xlsx	6	0	0	0
sheets/chartset-010/xlsx/069_Blue_modern_balance_sheet_Use_this_template_6b4d70d3.xlsx	6	0	0	0
sheets/chartset-010/xlsx/078_Modern_inventory_list_Use_this_template_41abd5bf.xlsx	4	0	0	0
sheets/chartset-011/xlsx/077_Inventory_list_with_highlighting_Use_this_template_36d8d57a.xlsx	2	0	0	0
sheets/chartset-012/xlsx/068_Blue_inventory_list_Use_this_template_f9908489.xlsx	1	0	0	0
sheets/chartset-014/xlsx/076_Inventory_list_accessibility_guide_Use_this_template_f43dab19.xlsx	2	0	0	0
sheets/done-015/xlsx/tk-syllabus-comparison-document-v5.xlsx	3	0	0	0
sheets/done-016/xlsx/TK-Syllabus-Comparison-Document-v2.xlsx	413	0	0	0
