document	pages_base	pages_after	pages_ref	alnum_base	alnum_after	alnum_ref	ink_base	ink_after	major_base	major_after
044_Cash_flow_forecast_Use_this_template_b8fa1f35.xlsx	5	5	5	2200	2200	2200	0.11	0.11	0	0
088_To-do_list_with_progress_tracker_Use_this_template_8c438912.xlsx	1	1	1	323	323	314	0.04	0.01	0	0
040_Blood_pressure_tracker_872b6833.xlsx	1	1	1	727	727	727	0.79	0.32	0	0
063_Sales_pipeline_aec57013.xlsx	1	1	1	179	179	179	1.79	0.83	1	0
083_Project_tracker_Use_this_template_b38d057c.xlsx	2	2	2	935	935	925	0.09	0.08	0	0
015_Free_Gantt_Chart_Template_for_Excel_414e86bf.xlsx	8	8	8	8640	8640	8640	0.90	0.07	1	0
024_Free_Kids_Chore_Chart_Template_ad74bb34.xlsx	3	3	3	1153	1153	1153	0.08	0.07	0	0
072_Gantt_project_planner_dde00e33.xlsx	1	1	1	780	780	780	1.11	0.24	0	0
066_Agile_Gantt_chart_08f9de45.xlsx	5	5	5	2951	2951	3010	3.58	0.96	2	0
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782.xlsx	9	9	9	3378	3378	3374	4.49	4.49	2	2
027_Simple_personal_cash_flow_statement_675c6584.xlsx	10	10	10	7949	7949	7949	2.98	0.65	1	0
064_Small_business_cash_flow_Use_this_template_0a640756.xlsx	7	7	7	1635	1635	1635	2.19	1.94	3	2
VOR Candidate Discontinuance List 2026-01-08.xlsx	7	7	7	8011	8011	8011	5.95	0.21	3	0
TOTAL							24.10	9.98
