path	chpx_runs	chpx_hits	chpx_nonunit	chpx_values	stories	styles	style_hits	style_values	raw_scan	note
words/done-001/doc/FAA-2013-0422-0009_attachment_1.doc	13	0	0			2	0		0	
words/done-001/doc/GLACIERBG.ETT.doc	30	0	0			17	0		0	
words/done-001/doc/advert-for-draft-decision-airbus-epr-bm3965ia-v006.doc	147	0	0			11	0		0	
words/done-001/doc/LENTOBUSSIAIKATAULU.-31.10.-31.12.2022.doc	282	0	0			10	0		0	
words/done-001/doc/foca_form_1.doc	396	0	0			6	0		0	
words/done-002/doc/FMRBullletinB-28.doc	230	0	0			17	0		0	
words/done-002/doc/Bull01-06-Reserve Training Standards.doc	128	0	0			2	0		0	
words/done-002/doc/prison-population-bulletin-june.doc	2116	0	0			2	0		0	
words/done-003/doc/10795.doc	366	0	0			30	0		0	
words/done-003/doc/Temp16.doc	181	0	0			6	0		0	
words/done-003/doc/II.1.2_Hypoxia.doc	172	0	0			5	0		2	
words/done-003/doc/96-3-clement-data.doc	227	0	0			11	0		0	
words/done-003/doc/DEP2008-1900.doc	94	0	0			26	0		1	
words/done-004/doc/07-04.doc	58	0	0			11	0		0	
words/done-004/doc/2ca950374241722b8ea7c132dfce63ae.doc	211	0	0			78	0		0	
words/done-004/doc/opic 5--Case Studies Movie and Aviation Industries.doc	212	0	0			9	0		0	
words/done-004/doc/RobertQ_Service.doc	141	0	0			7	0		0	
words/done-005/doc/316r_a_f.doc	495	0	0			53	0		0	
words/done-005/doc/316r_a_e.doc	180	0	0			53	0		2	
words/done-005/doc/Theft-Restitution-Letter-Vancouver-ASC-2005.doc	61	0	0			3	0		0	
words/done-005/doc/loi_format_letter_of_intent-a-320-214-a330.doc	159	0	0			7	0		0	
words/done-006/doc/LHD-230-application-for-the-approval-of-an-aircraftr.doc	425	0	0			15	0		2	
words/done-006/doc/003.doc	75	0	0			12	0		1	
words/done-006/doc/P200904290238_0238_51880.doc	324	0	0			15	0		0	
words/done-006/doc/1244277 1 Comment.doc	67	0	0			3	0		0	
words/done-006/doc/Wales_Office_Quarter_4_Ministerial_Transparency_Return.DOC	494	0	0			25	0		0	
words/done-007/doc/RNW167A-150428.doc	1010	0	0			18	0		0	
words/done-007/doc/congregationalhistories_ky_2023.doc	141	0	0			10	0		1	
words/done-007/doc/chapter 12.doc	58	0	0			7	0		2	
words/done-008/doc/2024-2nd-quarter-case-summaries.doc	954	0	0			6	0		0	
words/done-008/doc/PUR-0012-UTAS-GRAMS-SPA-Template-1-25-2024.doc	389	0	0			7	0		3	
words/done-008/doc/1245685 1 Comment.doc	22	0	0			3	0		0	
words/done-008/doc/FlightLaws.doc	293	0	0			5	0		0	
words/done-009/doc/2013-op12-Annex III - Curriculum Vitae.doc	179	0	0			29	0		4	
