# 26.2.4.2 on 040_Blood_pressure_tracker with c:h (the inner plot height fraction) varied.
# Both value axes are fully automatic; only the axis' drawn length moves.
# Rendered 2026-09-08 against /opt/libreoffice26.2/program/soffice, LibreOffice 26.2.4.2.
h	primary_step	primary_span	secondary_step	secondary_span	label_h
0.3000	50.0	44.459	5.0	44.44	8.265
0.3200	50.0	47.415	5.0	47.415	8.265
0.3400	50.0	50.39	5.0	50.372	8.265
0.3600	50.0	53.347	5.0	53.347	8.265
0.4659	50.0	69.047	5.0	69.029	8.265
0.4726	50.0	70.039	5.0	70.021	8.265
0.4794	20.0	71.031	5.0	71.031	8.265
0.4860	20.0	72.023	5.0	72.023	8.265
0.5215	20.0	77.275	5.0	77.275	8.265
0.5266	20.0	78.028	5.0	78.028	8.265
0.5301	20.0	78.542	5.0	78.524	8.265
0.5334	20.0	79.038	2.0	79.038	8.265
0.5368	20.0	79.534	2.0	79.534	8.265
0.5400	20.0	80.011	2.0	80.011	8.265
0.5500	20.0	81.498	2.0	81.498	8.265
0.5600	20.0	82.986	2.0	82.986	8.265
0.5700	20.0	84.455	2.0	84.455	8.265
0.5800	20.0	85.943	2.0	85.943	8.265
0.6000	20.0	88.899	2.0	88.899	8.265
0.7000	20.0	103.719	2.0	103.719	8.265
