 frame  diagram  0.95*d/5  catlines   pitch  verdict
   270   259.20     49.25         6   48.18  ROTATED
   272   261.12     49.61         6   48.61  ROTATED
   274   263.04     49.98         6   49.02  ROTATED
   276   264.96     50.34         6   49.46  ROTATED
   278   266.88     50.71         6   49.88  ROTATED
   280   268.80     51.07         6   50.31  ROTATED
   282   270.72     51.44         6   50.74  ROTATED
   284   272.64     51.80         6   51.16  ROTATED
   286   274.56     52.17         6   51.59  ROTATED
   288   276.48     52.53         6   52.01  ROTATED
   290   278.40     52.90         6   52.44  ROTATED
   292   280.32     53.26         2   56.06  upright
   294   282.24     53.63         2   56.45  upright
   296   284.16     53.99         2   56.84  upright
   298   286.08     54.36         2   57.22  upright
   300   288.00     54.72         2   57.60  upright
   302   289.92     55.08         2   57.98  upright
   304   291.84     55.45         2   58.36  upright
   306   293.76     55.81         2   58.76  upright
   308   295.68     56.18         2   59.14  upright
   310   297.60     56.54         2   59.52  upright
   312   299.52     56.91         2   59.90  upright
   314   301.44     57.27         2   60.29  upright
   316   303.36     57.64         2   60.68  upright
   318   305.28     58.00         2   61.05  upright
   320   307.20     58.37         2   61.44  upright
   322   309.12     58.73         6   61.82  upright
   324   311.04     59.10         6   62.21  upright
   326   312.96     59.46         6   62.58  upright
   328   314.88     59.83         6   62.98  upright
   330   316.80     60.19         6   63.37  upright
   332   318.72     60.56         6   63.74  upright
   334   320.64     60.92         6   64.13  upright
   336   322.56     61.29         6   64.50  upright
   338   324.48     61.65         6   64.90  upright
   340   326.40     62.02         6   65.28  upright
