document	ours_turned	ref_turned	ours_glyphfills	ref_glyphfills	ours_pages	ref_pages
055_Project_timeline_with_milestones_Use_this_template_546cecc0__xlsx.pdf	0	38	39	12	2	2
033_Event_planning_tracker_Use_this_template_f29a848e__xlsx.pdf	0	12	4	4	3	3
027_Simple_personal_cash_flow_statement_675c6584__xlsx.pdf	0	8	333	23	10	10
047_Date_tracker_Gantt_chart_bf34f3a8__xlsx.pdf	0	5	10	10	5	8
pres_ioc_phuket__ppt.pdf	7	10	2	26	26	26
TOGAF9-Tool-ConfReqts-CSQ__xls.pdf	0	1	8	8	28	28
Template Pilot Logbook JAR-FCL V3.0__xls.pdf	69	70	5	5	38	38
iep-amount-frequency-for-webinar__ppt.pdf	30	31	41	40	39	39
(5000021142)-(subc0226)-criminology-subject-collection-list__xlsx.pdf	0	0	0	0	3	3
001_Free_Genogram_Diagram_Template_Blue_and_Gray_Theme_7c9e01a7__docx.pdf	0	0	0	0	1	1
001_advanced_word_chart_report__docx.pdf	0	0	0	0	1	1
002_Free_Genogram_Diagram_Template_Customizable_Format_2219584b__docx.pdf	0	0	6	4	1	1
002_advanced_word_chart_report__docx.pdf	0	0	0	0	1	1
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42__docx.pdf	0	0	0	0	1	1
003_advanced_powerpoint_line__pptx.pdf	0	0	18	18	1	1
004_Contextures_chart_sample_de7c0671__xlsx.pdf	0	0	42	0	4	4
004_advanced_powerpoint_pie__pptx.pdf	0	0	5	5	1	1
005_2-Step_Funnel_On_left_With_Text_767f0490__pptx.pdf	0	0	1	1	1	1
005_advanced_excel_area__xlsx.pdf	0	0	6	6	3	3
006_2-Way_Horizontal_Hierarchy_for_PowerPoint_and_Google_Slides_7c1e5084__pptx.pdf	0	0	40	40	3	3
006_advanced_excel_scatter__xlsx.pdf	0	0	0	0	3	3
007_3_Circles_Diagram_for_PowerPoint_dac9f170__pptx.pdf	0	0	0	0	3	3
007_advanced_excel_bubble__xlsx.pdf	0	0	2	2	3	3
008_3-Circle_Venn_Diagram_024a12c5__pptx.pdf	0	0	28	28	3	3
008_advanced_excel_radar__xlsx.pdf	0	0	0	0	3	3
009_3-Circle_Venn_PowerPoint_Diagram_2e59baa9__pptx.pdf	0	0	0	0	2	2
009_advanced_excel_bar__xlsx.pdf	0	0	6	6	3	3
010605Vul__ppt.pdf	0	0	37	41	21	21
010_Free_Genogram_Diagram_Template_Yellow_Theme_6ee4f818__docx.pdf	0	0	3	3	1	1
010_advanced_word_chart_report__docx.pdf	0	0	0	0	1	1
011_Project_Timeline_Template_Beautiful_Theme_2336e680__docx.pdf	0	0	0	0	1	1
011_advanced_word_chart_report__docx.pdf	0	0	0	0	1	1
012_Project_Timeline_Template_Black_and_Brown_Theme_35c76550__docx.pdf	0	0	0	0	2	2
012_advanced_word_chart_report__docx.pdf	0	0	0	0	1	1
013_Project_Timeline_Template_Blue_Background_4ea3475e__docx.pdf	0	0	0	0	1	1
013_advanced_word_chart_report__docx.pdf	0	0	0	0	1	1
014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1__docx.pdf	0	0	10	48	1	1
014_advanced_word_chart_report__docx.pdf	0	0	0	0	1	1
015_Project_Timeline_Template_Colored_Background_6434b0e8__docx.pdf	0	0	0	0	2	2
015_advanced_word_chart_report__docx.pdf	0	0	0	0	1	1
016_Project_Timeline_Template_Complete_Guide_7d36d09c__docx.pdf	0	0	0	0	1	1
016_advanced_word_chart_report__docx.pdf	0	0	0	0	1	1
017_Timeline_Templates_for_Excel_b88faee6__xlsx.pdf	0	0	0	0	3	3
017_advanced_word_chart_report__docx.pdf	0	0	0	0	1	1
018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a__xlsx.pdf	0	0	72	72	10	10
018_advanced_word_chart_report__docx.pdf	0	0	0	0	1	1
019_Project_Timeline_Template_Excellent_Layout_4ee62967__docx.pdf	0	0	0	1	1	1
