# validation: 302 of 302 verdicts reproduced
path	pages	words	fonts	unemb	verdict	rawwords	glyphs	was
slides/ceiling-001/ppt/Fundamentals_Module_1_basics.ppt	26/26	1138/1089	5/5	0	match	1225/1175	6589/6471	match
slides/ceiling-001/ppt/RRM-training-syllabus-Chapter-3-Teamwork-TC-Towing-Incident-Analysis-Dec-2009.ppt	27/27	2477/2479	8/8	0	match	2666/2667	13921/13959	match
slides/ceiling-001/ppt/Thailand17.ppt	54/54	2713/2625	8/9	0	words	2919/2826	14880/14380	words
slides/ceiling-001/ppt/W3_Case_Study_of_a_Tsunami_Warning_Simulation_Exercise_Ed.ppt	20/20	900/812	6/6	0	words	955/862	4973/4473	words
slides/ceiling-001/ppt/architecture6.ppt	31/31	1926/1926	5/5	0	match	2011/2011	10724/10724	match
slides/ceiling-001/pptx/7-Zulkefli_Part147n66_IKMAS.pptx	18/18	968/952	7/7	0	match	1031/1021	5520/5593	match
slides/ceiling-001/pptx/N2_E_Maestroni_Swarm_COP.pptx	30/30	5296/5127	4/4	0	words	5480/5295	29088/28136	words
slides/ceiling-001/pptx/OnTrac_StarCertificationProgram-3Day.pptx	15/15	1324/1030	8/7	0	words	1414/1116	7709/6233	words
slides/ceiling-001/pptx/Sylva%20introduction%20session.pptx	15/15	1064/1064	7/7	0	match	1152/1152	5700/5700	match
slides/ceiling-001/pptx/solog_orientation_august_2019.pptx	15/15	670/674	6/6	0	match	730/736	4393/4393	match
slides/ceiling-002/ppt/pres_ioc_phuket.ppt	26/26	994/999	9/9	0	match	1033/1040	6090/6090	match
slides/ceiling-002/pptx/16 - UTM - (NASA).pptx	37/37	2453/2260	11/11	0	words	2657/2447	15126/13981	words
slides/ceiling-002/pptx/8_P-Pavese_AIRBUS-ATB-journee-CRATB.pptx	26/26	2135/2021	11/11	0	words	2328/2210	10424/9949	words
slides/ceiling-002/pptx/Demick_JetBlue.pptx	10/10	812/608	4/4	0	words	836/631	3519/3179	words
slides/ceiling-002/pptx/WiGr_2021W_1_Angebot-Nachfrage-Elastizität-211017-171222.pptx	51/51	1956/1954	8/7	0	match	2127/2127	13011/13007	match
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	23/23	2221/2240	7/7	0	match	2315/2334	10979/10946	match
slides/chartset-001/pptx/008_advanced_powerpoint_bubble.pptx	1/1	42/42	3/3	0	match	48/48	284/284	match
slides/chartset-001/pptx/015_advanced_powerpoint_scatter.pptx	1/1	42/42	3/3	0	match	48/48	283/283	match
slides/chartset-001/pptx/016_advanced_powerpoint_bubble.pptx	1/1	43/43	3/3	0	match	49/49	287/287	match
slides/chartset-001/pptx/031_advanced_powerpoint_scatter.pptx	1/1	42/42	3/3	0	match	48/48	278/278	match
slides/chartset-001/pptx/bar_chart.pptx	1/1	25/25	2/2	0	match	25/25	131/131	match
slides/chartset-001/pptx/combo_bar_line_chart.pptx	1/1	42/42	2/2	0	match	42/42	219/219	match
slides/chartset-001/pptx/line_chart.pptx	1/1	23/23	2/2	0	match	23/23	113/113	match
slides/chartset-001/pptx/scatter_chart.pptx	1/1	46/46	1/1	0	match	46/46	105/105	match
slides/chartset-001/pptx/stacked_area_chart.pptx	1/1	29/29	2/2	0	match	29/29	174/174	match
slides/chartset-001/pptx/stacked_bar_chart.pptx	1/1	29/29	2/2	0	match	29/29	173/173	match
slides/chartset-002/pptx/001_advanced_powerpoint_bar.pptx	1/1	62/62	4/4	0	match	68/68	334/334	match
slides/chartset-002/pptx/006_advanced_powerpoint_area.pptx	1/1	61/61	4/4	0	match	67/67	328/328	match
slides/chartset-002/pptx/007_advanced_powerpoint_scatter.pptx	1/1	42/42	3/3	0	match	48/48	282/282	match
slides/chartset-002/pptx/014_advanced_powerpoint_area.pptx	1/1	61/61	4/4	0	match	67/67	330/330	match
slides/chartset-002/pptx/017_advanced_powerpoint_bar.pptx	1/1	62/62	4/4	0	match	68/68	339/339	match
slides/chartset-002/pptx/023_advanced_powerpoint_scatter.pptx	1/1	42/42	3/3	0	match	48/48	283/283	match
slides/chartset-002/pptx/024_advanced_powerpoint_bubble.pptx	1/1	42/42	3/3	0	match	48/48	286/286	match
slides/chartset-002/pptx/030_advanced_powerpoint_area.pptx	1/1	61/61	4/4	0	match	67/67	327/327	match
