ours 18 spans, reference 17
      dx       dy    ours x    ref x    ours y    ref y  text
   -0.13    -0.04    184.02   184.15     73.85    73.88  Unit Circle
                   ours only                                  Chart
    0.10    -0.64    266.16   266.05    221.94   222.59  4th Qtr
    0.09    -0.61    278.47   278.38    239.21   239.81  9%
    0.17    -0.56    200.84   200.67    262.99   263.55  3rd Qtr
    0.05    -0.53    209.54   209.48    280.25   280.78  10%
    0.22    -0.30    432.17   431.95    386.91   387.21  1st Qtr
    0.09    -0.27    172.92   172.84    392.68   392.95  2nd Qtr
    0.15    -0.26    439.83   439.68    404.18   404.44  59%
    0.08    -0.24    182.98   182.90    409.94   410.18  23%
   -0.08    -0.00     36.72    36.80    650.49   650.49  Lorem ipsum dolor sit amet. Cum cumque deserunt quo dolor il
   -0.08    -0.00     36.72    36.80    664.29   664.29  nesciunt veniam. Est velit quibusdam et ducimus fuga ut faci
   -0.08    -0.00     36.72    36.80    678.09   678.09  qui quia maxime. Qui nesciunt voluptas hic beatae adipisci e
   -0.08    -0.00     36.72    36.80    691.89   691.89  dolores qui nulla asperiores qui doloribus repellendus?
   -0.08    -0.00     36.72    36.80    713.69   713.69  Et dolor obcaecati ut veniam voluptates aut laboriosam deser
   -0.08    -0.00     36.72    36.80    727.49   727.49  maiores dolorem aased repellendus modi ad aperiam tempora. E
   -0.08    -0.00     36.72    36.80    741.29   741.29  quod qui delectus perspiciatis. Ea autem esse quo quia debit
   -0.08    -0.00     36.72    36.80    755.09   755.09  aspernatur.
worst |dx| or |dy| over paired spans: 0.64 pt
