path	banked	now	pages_ref	glyphs_ref	pages_ours	glyphs_ours	unemb
sheets/ceiling-001/xlsx/2017-04-27-Lease-Transition-Records-Checklist-FINAL-1.xlsx	match	match	5	13250	5	13250	0
sheets/ceiling-001/xlsx/2020-01-29-Lease-Transition-Records-Checklist-FINAL-1.xlsx	match	match	5	13250	5	13250	0
sheets/ceiling-001/xls/Template Pilot Logbook JAR-FCL V3.0.xls	words	match	38	5643	38	5612	0
sheets/ceiling-001/xlsx/EASA-IFP-WEBLISTNOODATA-ListsofForeignapprovals(WEB)_NewChart_2022-08-05-03-31-32.xlsx	match	match	19	31379	19	31382	0
sheets/ceiling-001/xlsx/EASA-IFP-145Scope(WEB)_ALL_ValidF145SOA_2022-12-16-04-31-58_0.xlsx	match	match	114	189051	114	188829	0
sheets/done-001/xlsx/oltl-bulletin-59-26-03-ptr-sc-registration-form-for-oltl-approved-software.xlsx	match	match	2	477	2	477	0
sheets/done-001/xlsx/Patent Index 2024 - Top 100 applicants 2024.xlsx	match	match	1	1627	1	1627	0
sheets/done-001/xls/REDAC_SCHEDULE_RPD_135.xls	match	match	1	486	1	486	0
sheets/done-001/xlsx/FMMO_NMPF_37C.xlsx	words	words	1	1299	1	1327	0
sheets/done-001/xlsx/einvoice-summary-worksheet.xlsx	match	match	2	589	2	589	0
sheets/done-001/xlsx/Geo_Abschlussarbeiten.xlsx	match	match	3	4734	3	4734	0
sheets/done-001/xlsx/16424782563923.xlsx	match	match	3	4546	3	4546	0
sheets/done-001/xls/Airplanes-MTOW.xls	match	match	6	4501	6	4501	0
sheets/done-001/xls/RPD 155 REDAC SCHEDULE 2014-04-02.xls	match	match	1	492	1	492	0
sheets/done-001/xlsx/ExampleWhiteListData.xlsx	match	match	6	5326	6	5326	0
sheets/done-002/xlsx/WEBSITE-RESOURCE-LIST-by-CATEGORY-4-6-18-341pm.xlsx	match	match	1	3226	1	3226	0
sheets/done-002/xlsx/(5000021142)-(subc0226)-criminology-subject-collection-list.xlsx	match	match	3	4732	3	4732	0
sheets/done-002/xls/P1636e.xls	match	match	2	1515	2	1514	0
sheets/done-002/xlsx/Chicago.List.2025.xlsx	match	match	3	8811	3	8751	0
sheets/done-002/xls/2012-GA-Survey-Chapter-5-Tables-16Dec2013-V2.xls	match	match	3	2459	3	2447	0
sheets/done-002/xls/REDAC_SCHEDULE_RPD_137.xls	match	match	2	1697	2	1697	0
sheets/done-002/xlsx/Upload__hvv_Linie_150_2023.XLSX	match	match	1	932	1	932	0
sheets/done-002/xlsx/e-pass-contact-details-template.xlsx	match	match	4	147	4	147	0
sheets/done-002/xlsx/AIRBUS_station_evaluation_checklist_v2.xlsx	match	match	1	2854	1	2854	0
sheets/done-002/xls/2012-GA-Survey-Chapter-6-Tables-16Dec2013-V2.xls	match	match	5	3010	5	2986	0
