variant	bar_h=R	bar_w=R/2	main_r=R*2/3	bar_box
base	135.40	67.70	67.70	406.20,348.84-484.24
nolabels	184.90	92.50	92.45	443.40,306.79-491.69
nolegend	176.55	88.30	88.28	438.20,297.44-473.99
nolabels-nolegend	215.60	107.80	107.80	467.60,260.74-476.34
outside	135.40	67.70	67.70	450.60,348.84-484.24
ctr	135.40	67.70	67.70	406.20,348.84-484.24
shortcats	204.90	102.50	102.45	459.10,276.79-481.69
longcats	no bar			
onelabel	184.90	92.50	92.45	443.40,306.79-491.69
shortcats-nolegend	215.60	107.80	107.80	467.60,260.74-476.34
frame-half	no bar			
frame-wide	no bar			
frame-tall	57.05	28.50	28.53	196.60,440.39-497.44
