word	avail_x	avail_y	avail_w	avail_h	inner_x	inner_y	inner_w	inner_h
W	9.92	9.92	575.43	432.00	89.83	9.92	432.00	432.00
WWW	9.92	9.92	575.43	432.00	89.83	9.92	432.00	432.00
WWWW	9.92	9.92	575.43	432.00	94.39	9.92	422.87	422.87
WWWWWW	9.92	9.92	575.43	432.00	113.24	16.13	385.20	385.20
WWWWWWWW	9.92	9.92	575.43	432.00	139.46	37.11	332.76	332.76
WWWWWWWWWW	9.92	9.92	575.43	432.00	169.97	66.67	271.73	271.73
WWWWWWWWWWWW	9.92	9.92	575.43	432.00	201.43	98.14	208.80	208.80
WWWWWWWWWWWWWWWW	9.92	9.92	575.43	432.00	233.83	161.06	144.00	144.00
WWWWWWWWWWWWWWWWWWWW	9.92	9.92	575.43	432.00	233.83	206.28	144.00	144.00
WWWWWWWWWWWWWWWWWWWWWWWWWWWWWW	9.92	9.92	575.43	432.00	233.83	206.28	144.00	144.00
WWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWW	9.92	9.92	575.43	432.00	233.83	206.28	144.00	144.00
WWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWW	9.92	9.92	575.43	432.00	233.83	206.28	144.00	144.00
word	avail_x	avail_y	avail_w	avail_h	inner_x	inner_y	inner_w	inner_h
WWWWWWWWWW	9.92	9.92	575.43	432.00	169.97	66.67	271.73	271.73
iiiiiiiiii	9.92	9.92	575.43	432.00	169.97	66.67	271.73	271.73
MMMMMMMMMM	9.92	9.92	575.43	432.00	169.97	66.67	271.73	271.73
iiiiiiiiiiiiiiiiiiiiiiiiiiiiii	9.92	9.92	575.43	432.00	233.83	206.28	144.00	144.00
