word	letter	n	reference	ours
ii	i	2	upright	upright
iii	i	3	upright	upright
iiii	i	4	upright	upright
iiiii	i	5	upright	upright
iiiiii	i	6	upright	upright
iiiiiii	i	7	upright	upright
iiiiiiii	i	8	upright	upright
iiiiiiiii	i	9	upright	upright
iiiiiiiiii	i	10	upright	upright
iiiiiiiiiii	i	11	upright	upright
iiiiiiiiiiii	i	12	upright	upright
iiiiiiiiiiiii	i	13	upright	upright
iiiiiiiiiiiiii	i	14	upright	upright
iiiiiiiiiiiiiii	i	15	upright	upright
iiiiiiiiiiiiiiii	i	16	upright	upright
iiiiiiiiiiiiiiiii	i	17	upright	upright
iiiiiiiiiiiiiiiiii	i	18	upright	upright
nn	n	2	upright	upright
nnn	n	3	upright	upright
nnnn	n	4	upright	upright
nnnnn	n	5	upright	upright
nnnnnn	n	6	upright	upright
nnnnnnn	n	7	upright	upright
nnnnnnnn	n	8	upright	upright
nnnnnnnnn	n	9	turned	upright
nnnnnnnnnn	n	10	turned	turned
nnnnnnnnnnn	n	11	turned	turned
nnnnnnnnnnnn	n	12	turned	turned
nnnnnnnnnnnnn	n	13	turned	turned
nnnnnnnnnnnnnn	n	14	turned	turned
nnnnnnnnnnnnnnn	n	15	turned	turned
nnnnnnnnnnnnnnnn	n	16	turned	turned
nnnnnnnnnnnnnnnnn	n	17	turned	turned
nnnnnnnnnnnnnnnnnn	n	18	turned	turned
WW	W	2	upright	upright
WWW	W	3	upright	upright
WWWW	W	4	upright	upright
WWWWW	W	5	upright	upright
WWWWWW	W	6	turned	turned
WWWWWWW	W	7	turned	turned
WWWWWWWW	W	8	turned	turned
WWWWWWWWW	W	9	turned	turned
WWWWWWWWWW	W	10	turned	turned
WWWWWWWWWWW	W	11	turned	turned
WWWWWWWWWWWW	W	12	turned	turned
WWWWWWWWWWWWW	W	13	turned	turned
WWWWWWWWWWWWWW	W	14	turned	turned
WWWWWWWWWWWWWWW	W	15	turned	turned
WWWWWWWWWWWWWWWW	W	16	turned	turned
WWWWWWWWWWWWWWWWW	W	17	turned	turned
WWWWWWWWWWWWWWWWWW	W	18	turned	turned
