pdf	corpus_path	ref_lines_at_45	ref_lines_turned_other	ours_lines_turned_any	sample
Template Pilot Logbook JAR-FCL V3.0__xls.pdf	sheets/ceiling-001/xls/Template Pilot Logbook JAR-FCL V3.0.xls	70	0	69	30/12/99 | 02/11/03 | 02/09/07
055_Project_timeline_with_milestones_Use_this_template_546cecc0__xlsx.pdf	sheets/chartset-008/xlsx/055_Project_timeline_with_milestones_Use_this_template_546cecc0.xlsx	38	0	0	5 Apr | 5 May | 4 Jun
southern-classic-kennesaw-state-university-final__pptx.pdf	slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	38	0	38	Jan-16 | Feb-16 | Feb-16
052_Manufacturing_output_chart_88570318__xlsx.pdf	sheets/chartset-006/xlsx/052_Manufacturing_output_chart_88570318.xlsx	24	0	24	2/16/2023 | 2/17/2023 | 2/18/2023
058_Social_media_engagement_data_cfa1cb18__xlsx.pdf	sheets/chartset-007/xlsx/058_Social_media_engagement_data_cfa1cb18.xlsx	24	0	24	2/20/2023 | 2/21/2023 | 2/22/2023
001_Contextures_chart_sample_b089bc34__xlsx.pdf	sheets/chartset-013/xlsx/001_Contextures_chart_sample_b089bc34.xlsx	18	0	18	1/1/2019 | 1/3/2019 | 1/5/2019
029_Annual_budget_Use_this_template_30324a97__xlsx.pdf	sheets/chartset-009/xlsx/029_Annual_budget_Use_this_template_30324a97.xlsx	17	0	17	Children | Debt | Dining
064_Small_business_cash_flow_Use_this_template_0a640756__xlsx.pdf	sheets/chartset-014/xlsx/064_Small_business_cash_flow_Use_this_template_0a640756.xlsx	13	0	32	Beginning | Jan-xx | Feb-xx
023_Waterfall_Chart_Template_for_Excel_349f7689__xlsx.pdf	sheets/chartset-008/xlsx/023_Waterfall_Chart_Template_for_Excel_349f7689.xlsx	12	0	12	START | Delta 1 | Delta 2
033_Event_planning_tracker_Use_this_template_f29a848e__xlsx.pdf	sheets/chartset-013/xlsx/033_Event_planning_tracker_Use_this_template_f29a848e.xlsx	12	0	0	ACCOUNT MANAGER | PROJECT MANAGER | STRATEGY MANAGER
171128IPAP__pptx.pdf	slides/done-011/pptx/171128IPAP.pptx	11	0	11	2007Q4 | 2008/12/31 | 2009Q4
046_Cost_analysis_with_Pareto_chart_7db5ef69__xlsx.pdf	sheets/chartset-008/xlsx/046_Cost_analysis_with_Pareto_chart_7db5ef69.xlsx	10	0	10	Parts and materials | Manufacturing equip... | Salaries
027_Simple_personal_cash_flow_statement_675c6584__xlsx.pdf	sheets/chartset-014/xlsx/027_Simple_personal_cash_flow_statement_675c6584.xlsx	8	0	0	$0 | $2,000 | $4,000
047_Date_tracker_Gantt_chart_bf34f3a8__xlsx.pdf	sheets/chartset-010/xlsx/047_Date_tracker_Gantt_chart_bf34f3a8.xlsx	0	5	0	
150_5300_13_chg10__doc.pdf	words/table-001/doc/150_5300_13_chg10.doc	0	2	13	
7-Zulkefli_Part147n66_IKMAS__pptx.pdf	slides/ceiling-001/pptx/7-Zulkefli_Part147n66_IKMAS.pptx	0	14	14	
AC-150-5370-10G-updated-201604__docx.pdf	words/done-016/docx/AC-150-5370-10G-updated-201604.docx	0	1	1	
Ensemble-pour-l-amelioration-de-la-securite-de-lac-AIRBUS__pptx.pdf	slides/done-006/pptx/Ensemble-pour-l-amelioration-de-la-securite-de-lac-AIRBUS.pptx	0	1	1	
FAAAIandtheArtandScienceofV&Vfinal__pptx.pdf	slides/extra-001/pptx/FAAAIandtheArtandScienceofV&Vfinal.pptx	0	6	6	
RPA P4 - Advanced Material__pptx.pdf	slides/done-015/pptx/RPA P4 - Advanced Material.pptx	0	2	2	
Sector_Skills_Insights_Advanced_Manufacturing_summary_slide_pack__pptx.pdf	slides/done-010/pptx/Sector_Skills_Insights_Advanced_Manufacturing_summary_slide_pack.pptx	0	56	56	
Snowbirds_High_Show__pptx.pdf	slides/done-014/pptx/Snowbirds_High_Show.pptx	0	1	1	
TOGAF9-Tool-ConfReqts-CSQ__xls.pdf	sheets/done-010/xls/TOGAF9-Tool-ConfReqts-CSQ.xls	0	1	0	
[Christophe]NLP_reseau_inge_stat__pptx.pdf	slides/done-009/pptx/[Christophe]NLP_reseau_inge_stat.pptx	0	2	2	
airbus-powerpoint-presentation-2019-20-without-video_diy_2019-20__pptx.pdf	slides/done-009/pptx/airbus-powerpoint-presentation-2019-20-without-video_diy_2019-20.pptx	0	16	16	
ghgp-supply-chain-initiative_20100323_wri__pptx.pdf	slides/done-004/pptx/ghgp-supply-chain-initiative_20100323_wri.pptx	0	2	2	
iep-amount-frequency-for-webinar__ppt.pdf	slides/done-009/ppt/iep-amount-frequency-for-webinar.ppt	0	31	30	
iris07.12.12__pptx.pdf	slides/done-006/pptx/iris07.12.12.pptx	0	4	6	
pres_ioc_phuket__ppt.pdf	slides/ceiling-002/ppt/pres_ioc_phuket.ppt	0	10	7	
redac-nasops-201503-RIRP-portfolio-update__pptx.pdf	slides/done-014/pptx/redac-nasops-201503-RIRP-portfolio-update.pptx	0	2	2	
redac-sas-201403-ppt-portfolio-rev-sim__pptx.pdf	slides/done-009/pptx/redac-sas-201403-ppt-portfolio-rev-sim.pptx	0	2	2	
ws_prod-g-doc-Events-2008-February-5-NATO-activities__ppt.pdf	slides/done-013/ppt/ws_prod-g-doc-Events-2008-February-5-NATO-activities.ppt	0	18	18	
