document	ref_pages	base_pages	head_pages	ref_glyphs	base_glyphs	head_glyphs	pages	glyphs
005_Contextures_chart_sample_6e279b08.xlsx	8	8	8	1456	1456	1456	pages-same	glyphs-same
052_Manufacturing_output_chart_88570318.xlsx	1	1	1	484	477	477	pages-same	glyphs-same
061_Regional_sales_chart_cb9eb690.xlsx	1	1	1	424	423	423	pages-same	glyphs-same
003_Contextures_chart_sample_9bda2719.xlsm	6	6	6	1426	1426	1426	pages-same	glyphs-same
037_Personal_money_tracker_a57957bb.xlsx	5	5	5	2497	2476	2476	pages-same	glyphs-same
040_Blood_pressure_tracker_872b6833.xlsx	1	1	1	719	727	727	pages-same	glyphs-same
050_Financial_vision_d44241e1.xlsx	1	1	1	400	400	400	pages-same	glyphs-same
054_Problem_analysis_with_Pareto_chart_11058329.xlsx	1	1	1	299	299	299	pages-same	glyphs-same
058_Social_media_engagement_data_cfa1cb18.xlsx	1	1	1	483	476	476	pages-same	glyphs-same
063_Sales_pipeline_aec57013.xlsx	1	1	1	179	179	179	pages-same	glyphs-same
023_Waterfall_Chart_Template_for_Excel_349f7689.xlsx	5	5	5	3642	3661	3661	pages-same	glyphs-same
034_Personal_net_worth_calculator_f7b8fb57.xlsx	7	7	7	1069	1069	1069	pages-same	glyphs-same
046_Cost_analysis_with_Pareto_chart_7db5ef69.xlsx	1	1	1	625	629	629	pages-same	glyphs-same
051_Manufacturer_defect_analysis_53db27ea.xlsx	1	1	1	320	320	320	pages-same	glyphs-same
055_Project_timeline_with_milestones_Use_this_template_546cecc0.xlsx	2	2	2	1045	960	960	pages-same	glyphs-same
029_Annual_budget_Use_this_template_30324a97.xlsx	2	2	2	914	943	943	pages-same	glyphs-same
041_Business_budget_ef942467.xlsx	4	4	4	1359	1359	1359	pages-same	glyphs-same
062_Run_chart_cb7476ea.xlsx	2	2	2	647	643	643	pages-same	glyphs-same
065_Weight_loss_tracker_ff1c89af.xlsx	2	2	2	320	340	340	pages-same	glyphs-same
028_Budget_summary_report_4aeefd13.xlsx	4	4	4	3038	3038	3038	pages-same	glyphs-same
042_Business_monthly_budget_4e4d092f.xlsx	4	4	4	1567	1567	1567	pages-same	glyphs-same
057_Simple_balance_sheet_Use_this_template_e2d4cbb2.xlsx	3	3	3	1877	2185	2185	pages-same	glyphs-same
060_Monthly_company_budget_47b2a99a.xlsx	4	4	4	1659	1659	1659	pages-same	glyphs-same
026_Monthly_cash_flow_statement_Use_this_template_8aaebea1.xlsx	11	11	11	7852	7864	7864	pages-same	glyphs-same
031_Business_expense_budget_f3a46278.xlsx	8	8	8	7699	7699	7699	pages-same	glyphs-same
032_Business_expenses_budget_d377eaab.xlsx	4	4	4	4873	4873	4873	pages-same	glyphs-same
033_Event_planning_tracker_Use_this_template_f29a848e.xlsx	3	3	3	2650	2720	2720	pages-same	glyphs-same
035_Project_plan_for_law_firms_aa2d4462.xlsx	4	4	4	3879	3923	3923	pages-same	glyphs-same
043_Buy_a_car_vs._rideshare_ff07c7e6.xlsx	7	7	7	1437	1440	1440	pages-same	glyphs-same
049_Expenses_calculator_c351f3d0.xlsx	4	4	4	1548	1558	1558	pages-same	glyphs-same
027_Simple_personal_cash_flow_statement_675c6584.xlsx	10	10	10	7949	7932	7932	pages-same	glyphs-same
038_Baby_growth_chart_bb9cd672.xlsx	2	2	2	554	554	554	pages-same	glyphs-same
039_Baby_growth_tracker_e295ae56.xlsx	2	2	2	583	583	583	pages-same	glyphs-same
045_Check_register_with_chart_4becb8a0.xlsx	1	1	1	764	736	736	pages-same	glyphs-same
048_Expense_trends_budget_18d1e8ba.xlsx	14	14	14	3986	3985	3985	pages-same	glyphs-same
EHEST-Pre-departure-checklist-Rev.-1-06-12-2016.xls	24	24	24	39744	40006	40006	pages-same	glyphs-same
bitesize-writing-a-report.pptx	15	15	15	3791	3791	3791	pages-same	glyphs-same
3495.pptx	26	26	26	4375	4375	4375	pages-same	glyphs-same
pie-chart-result.docx	1	1	1	234	234	234	pages-same	glyphs-same
027_Unit_Circle_Chart_Graphical_Chart_5462a579.docx	1	1	1	1557	1557	1557	pages-same	glyphs-same
028_Unit_Circle_Chart_Optimized_Graph_83d9c756.docx	1	1	1	1218	1220	1220	pages-same	glyphs-same
021_Unit_Circle_Chart_3D_Pie_Chart_404247ab.docx	1	1	1	549	549	549	pages-same	glyphs-same
