path	charts	lineparts
sheets/ceiling-001/ods/Template Pilot Logbook JAR-FCL V3.0.ods	2	0
sheets/chartset-001/ods/001_advanced_excel_bar.ods	1	0
sheets/chartset-001/ods/002_advanced_excel_line.ods	1	1
sheets/chartset-001/ods/005_advanced_excel_area.ods	1	0
sheets/chartset-001/ods/006_advanced_excel_scatter.ods	1	1
sheets/chartset-001/ods/016_advanced_excel_radar.ods	1	0
sheets/chartset-001/ods/022_advanced_excel_scatter.ods	1	1
sheets/chartset-001/ods/025_advanced_excel_bar.ods	1	0
sheets/chartset-001/ods/028_advanced_excel_doughnut.ods	1	0
sheets/chartset-001/ods/032_advanced_excel_radar.ods	1	0
sheets/chartset-001/ods/033_advanced_excel_bar.ods	1	0
sheets/chartset-002/ods/003_advanced_excel_pie.ods	1	0
sheets/chartset-002/ods/007_advanced_excel_bubble.ods	1	0
sheets/chartset-002/ods/011_advanced_excel_pie.ods	1	0
sheets/chartset-002/ods/012_advanced_excel_doughnut.ods	1	0
sheets/chartset-002/ods/013_advanced_excel_area.ods	1	0
sheets/chartset-002/ods/021_advanced_excel_area.ods	1	0
sheets/chartset-002/ods/026_advanced_excel_line.ods	1	1
sheets/chartset-002/ods/027_advanced_excel_pie.ods	1	0
sheets/chartset-002/ods/030_advanced_excel_scatter.ods	1	1
sheets/chartset-002/ods/034_advanced_excel_line.ods	1	1
sheets/chartset-003/ods/004_advanced_excel_doughnut.ods	1	0
sheets/chartset-003/ods/008_advanced_excel_radar.ods	1	0
sheets/chartset-003/ods/014_advanced_excel_scatter.ods	1	1
sheets/chartset-003/ods/015_advanced_excel_bubble.ods	1	0
sheets/chartset-003/ods/017_advanced_excel_bar.ods	1	0
sheets/chartset-003/ods/018_advanced_excel_line.ods	1	1
sheets/chartset-003/ods/020_advanced_excel_doughnut.ods	1	0
sheets/chartset-003/ods/024_advanced_excel_radar.ods	1	0
sheets/chartset-003/ods/029_advanced_excel_area.ods	1	0
sheets/chartset-003/ods/031_advanced_excel_bubble.ods	1	0
sheets/chartset-004/ods/009_advanced_excel_bar.ods	1	0
sheets/chartset-004/ods/010_advanced_excel_line.ods	1	1
sheets/chartset-004/ods/019_advanced_excel_pie.ods	1	0
sheets/chartset-004/ods/023_advanced_excel_bubble.ods	1	0
sheets/chartset-004/ods/DynamicBubbleChart.ods	1	0
sheets/chartset-004/ods/microsoft_learn_multi_chart_examples.ods	5	2
sheets/chartset-005/ods/004_Contextures_chart_sample_de7c0671.ods	1	1
sheets/chartset-005/ods/022_Pareto_Chart_Template_-_Pareto_Analysis_in_Excel_with_Pareto_Diagram_82b5a874.ods	1	1
sheets/chartset-006/ods/005_Contextures_chart_sample_6e279b08.ods	6	0
sheets/chartset-006/ods/006_Contextures_chart_sample_afa23b53.ods	1	1
sheets/chartset-006/ods/014_Contextures_chart_sample_991ecfc5.ods	1	1
sheets/chartset-006/ods/044_Cash_flow_forecast_Use_this_template_b8fa1f35.ods	1	0
sheets/chartset-006/ods/052_Manufacturing_output_chart_88570318.ods	1	0
sheets/chartset-006/ods/061_Regional_sales_chart_cb9eb690.ods	1	1
sheets/chartset-007/ods/003_Contextures_chart_sample_9bda2719.ods	2	0
sheets/chartset-007/ods/037_Personal_money_tracker_a57957bb.ods	2	0
sheets/chartset-007/ods/040_Blood_pressure_tracker_872b6833.ods	1	1
