path	chart	w_pt	h_pt	flags	manplot	useman	primary_framepos
/home/user/sample-files/sheets/ceiling-001/xls/Template Pilot Logbook JAR-FCL V3.0.xls	0	609.00	410.25	0x19	1	1	(2, 2, (170, 335, 3286, 3412))
/home/user/sample-files/sheets/ceiling-001/xls/Template Pilot Logbook JAR-FCL V3.0.xls	1	768.75	410.25	0x19	1	1	(2, 2, (134, 335, 3326, 3412))
/home/user/sample-files/sheets/chartset-006/xls/014_Contextures_chart_sample_991ecfc5.xls	0	507.75	211.50	0x1b	1	1	(2, 2, (205, 394, 3628, 3606))
/home/user/sample-files/sheets/done-002/xls/2012-GA-Survey-Chapter-5-Tables-16Dec2013-V2.xls	0	719.25	521.25	0x1f	1	1	(2, 2, (230, 693, 3404, 2493))
/home/user/sample-files/sheets/done-002/xls/2012-GA-Survey-Chapter-6-Tables-16Dec2013-V2.xls	0	719.25	521.25	0x1f	1	1	(2, 2, (230, 369, 3400, 3496))
/home/user/sample-files/sheets/done-009/xls/EHEST-Pre-departure-checklist-Rev.-1-06-12-2016.xls	0	705.75	302.25	0x1b	1	1	(2, 2, (11, 406, 3951, 3278))
/home/user/sample-files/sheets/done-009/xls/EHEST-Pre-departure-checklist-Rev.-1-06-12-2016.xls	1	705.75	302.25	0x1b	1	1	(2, 2, (11, 406, 3543, 3604))
/home/user/sample-files/sheets/done-009/xls/EHEST-Pre-departure-checklist-Rev.-1-06-12-2016.xls	2	705.75	302.25	0x1b	1	1	(2, 2, (11, 406, 3543, 3604))
/home/user/sample-files/sheets/done-009/xls/EHEST-Pre-departure-checklist-Rev.-1-06-12-2016.xls	3	705.75	302.25	0x1b	1	1	(2, 2, (11, 406, 3543, 3604))
/home/user/sample-files/sheets/done-009/xls/EHEST-Pre-departure-checklist-Rev.-1-06-12-2016.xls	4	705.75	302.25	0x1b	1	1	(2, 2, (11, 407, 3543, 3607))
/home/user/sample-files/sheets/done-009/xls/EHEST-Pre-departure-checklist-Rev.-1-06-12-2016.xls	5	705.75	302.25	0x1b	1	1	(2, 2, (11, 406, 3543, 3604))
/home/user/sample-files/sheets/done-009/xls/EHEST-Pre-departure-checklist-Rev.-1-06-12-2016.xls	6	705.75	302.25	0x1b	1	1	(2, 2, (11, 406, 3543, 3604))
/home/user/sample-files/sheets/done-009/xls/EHEST-Pre-departure-checklist-Rev.-1-06-12-2016.xls	7	705.75	302.25	0x1b	1	1	(2, 2, (11, 406, 3543, 3604))
/home/user/sample-files/sheets/done-009/xls/EHEST-Pre-departure-checklist-Rev.-1-06-12-2016.xls	8	705.75	302.25	0x1b	1	1	(2, 2, (11, 406, 3543, 3604))
/home/user/sample-files/sheets/done-010/xls/Special-Procedures_2025-07-10.xls	-	-	-	('open-failed', 'not an OLE2 structured storage file')
/home/user/sample-files/sheets/done-010/xls/TOGAF9-Tool-ConfReqts-CSQ.xls	0	531.75	249.75	0x1b	1	1	(2, 2, (0, 851, 3341, 3118))
/home/user/sample-files/sheets/missing-001/xls/orbus_togaf_tool_csq.xls	0	676.00	235.00	0x1b	1	1	(2, 2, (0, 1104, 3230, 2889))
