document	pages	over_px	media	emf_clip_recs	wmf_clip_recs	has_vector_media
012_Contextures_chart_sample_9900da76__xlsx	2	8691	emf	102	0	yes
DynamicBubbleChart__xlsx	2	8642	-	0	0	no
013_Contextures_chart_sample_21b98e22__xlsx	2	8578	emf	102	0	yes
EHEST-Pre-departure-checklist-Rev.-1-06-12-2016__xls	6	1322	-	0	0	no
microsoft_learn_multi_chart_examples__xlsx	2	547	-	0	0	no
TDA_Smoke-Detectors__xlsx	3	479	jpg	0	0	no
Template Pilot Logbook JAR-FCL V3.0__xls	1	474	(not a zip)	0	0	no
036_Simple_to-do_list_Use_this_template_ba44373b__xlsx	1	459	-	0	0	no
005_advanced_excel_area__xlsx	1	303	-	0	0	no
029_advanced_excel_area__xlsx	1	301	-	0	0	no
013_advanced_excel_area__xlsx	1	299	-	0	0	no
021_advanced_excel_area__xlsx	1	295	-	0	0	no
005_Contextures_chart_sample_6e279b08__xlsx	1	229	-	0	0	no
Keywords_Mapping_Graphs_and_Charts__xlsx	2	128	-	0	0	no
031_advanced_excel_bubble__xlsx	1	95	-	0	0	no
007_advanced_excel_bubble__xlsx	1	94	-	0	0	no
023_advanced_excel_bubble__xlsx	1	94	-	0	0	no
015_advanced_excel_bubble__xlsx	1	93	-	0	0	no
009_advanced_excel_bar__xlsx	1	27	-	0	0	no
017_advanced_excel_bar__xlsx	1	22	-	0	0	no
002_advanced_excel_line__xlsx	2	18	-	0	0	no
018_advanced_excel_line__xlsx	2	18	-	0	0	no
026_advanced_excel_line__xlsx	2	18	-	0	0	no
SIL_TDB648__xlsx	5	18	jpeg,png	0	0	no
010_advanced_excel_line__xlsx	1	16	-	0	0	no
034_advanced_excel_line__xlsx	1	15	-	0	0	no
001_advanced_excel_bar__xlsx	1	13	-	0	0	no
025_advanced_excel_bar__xlsx	1	13	-	0	0	no
033_advanced_excel_bar__xlsx	1	13	-	0	0	no
006_advanced_excel_scatter__xlsx	1	12	-	0	0	no
022_advanced_excel_scatter__xlsx	1	12	-	0	0	no
014_advanced_excel_scatter__xlsx	1	11	-	0	0	no
030_advanced_excel_scatter__xlsx	1	11	-	0	0	no
CSJU List of Recipients of funds 2013-2020__xlsx	2	8	jpeg	0	0	no
fm-provider-service-measures__xlsx	2	7	png	0	0	no
064_Small_business_cash_flow_Use_this_template_0a640756__xlsx	2	3	-	0	0	no
003_Contextures_chart_sample_9bda2719__xlsm	1	2	png	0	0	no
019_advanced_excel_pie__xlsx	1	2	-	0	0	no
PC1000__xls	1	2	(not a zip)	0	0	no
