doc	part	groups	sets	combined	start	lo	ours	agree	lo_cat_group	first_group
slides/chartset-001/pptx/combo_bar_line_chart.pptx	ppt/charts/chart1.xml	2	2	1	0	612392015	612392015	1	barChart	barChart
slides/done-011/pptx/171128IPAP.pptx	ppt/charts/chart5.xml	2	2	1	0	61837696	61837696	1	barChart	barChart
slides/done-011/pptx/171128IPAP.pptx	ppt/charts/chart9.xml	2	2	1	0	68144128	68144128	1	barChart	barChart
slides/done-011/pptx/171128IPAP.pptx	ppt/charts/chart6.xml	2	2	1	0	61695488	61695488	1	barChart	barChart
slides/done-015/pptx/RPA P4 - Advanced Material.pptx	ppt/charts/chart1.xml	2	2	0	0	42796928	42796928	1	scatterChart	scatterChart
slides/ceiling-002/pptx/Demick_JetBlue.pptx	ppt/charts/chart5.xml	2	2	0	0	95096192	95096192	1	lineChart	lineChart
slides/ceiling-002/pptx/Demick_JetBlue.pptx	ppt/charts/chart4.xml	2	2	0	0	95051776	95051776	1	lineChart	lineChart
slides/ceiling-002/pptx/Demick_JetBlue.pptx	ppt/charts/chart1.xml	2	2	0	0	114665728	114665728	1	lineChart	lineChart
sheets/chartset-005/xlsx/022_Pareto_Chart_Template_-_Pareto_Analysis_in_Excel_with_Pareto_Diagram_82b5a874.xlsx	xl/charts/chart1.xml	2	2	1	0	190088704	190088704	1	barChart	barChart
sheets/chartset-014/xlsx/039_Baby_growth_tracker_e295ae56.xlsx	xl/charts/chart11.xml	2	2	1	1	308026032	308026032	1	lineChart	barChart
sheets/chartset-014/xlsx/038_Baby_growth_chart_bb9cd672.xlsx	xl/charts/chart11.xml	2	2	1	1	308026032	308026032	1	lineChart	barChart
sheets/chartset-007/xlsx/040_Blood_pressure_tracker_872b6833.xlsx	xl/charts/chart11.xml	2	2	1	0	361742040	361742040	1	barChart	barChart
sheets/chartset-008/xlsx/046_Cost_analysis_with_Pareto_chart_7db5ef69.xlsx	xl/charts/chart11.xml	2	2	1	0	310122976	310122976	1	barChart	barChart
sheets/chartset-008/xlsx/023_Waterfall_Chart_Template_for_Excel_349f7689.xlsx	xl/charts/chart2.xml	2	2	1	0	190567936	190567936	1	barChart	barChart
sheets/chartset-008/xlsx/055_Project_timeline_with_milestones_Use_this_template_546cecc0.xlsx	xl/charts/chart11.xml	2	2	1	1	717044496	717044496	1	lineChart	barChart
