doc	part	group	series	dpt	vary
slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	ppt/charts/chart1.xml	barChart	2	1	0
slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	ppt/charts/chart2.xml	barChart	2	1	0
slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	ppt/charts/chart3.xml	barChart	2	2	0
slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	ppt/charts/chart5.xml	barChart	2	1	0
slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	ppt/charts/chart4.xml	barChart	2	1	0
slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	ppt/charts/chart6.xml	barChart	2	2	0
slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	ppt/charts/chart3.xml	barChart	2	1	0
slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	ppt/charts/chart4.xml	barChart	2	1	0
slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	ppt/charts/chart5.xml	barChart	2	1	0
slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	ppt/charts/chart7.xml	barChart	2	1	0
slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	ppt/charts/chart8.xml	barChart	2	1	0
slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	ppt/charts/chart1.xml	barChart	2	1	0
slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	ppt/charts/chart2.xml	barChart	2	1	0
slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	ppt/charts/chart6.xml	barChart	2	1	0
slides/chartset-007/pptx/096_Lab_Flask_Charts_for_PowerPoint_and_Google_Slides_91e3cbb5.pptx	ppt/charts/chart3.xml	barChart	2	1	0
slides/chartset-007/pptx/096_Lab_Flask_Charts_for_PowerPoint_and_Google_Slides_91e3cbb5.pptx	ppt/charts/chart6.xml	barChart	2	1	0
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	ppt/charts/chart4.xml	barChart	2	2	0
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	ppt/charts/chart6.xml	barChart	1	1	0
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	ppt/charts/chart3.xml	barChart	1	1	0
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	ppt/charts/chart16.xml	barChart	3	8	0
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	ppt/charts/chart18.xml	lineChart	1	4	0
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	ppt/charts/chart9.xml	barChart	1	1	0
sheets/chartset-009/xlsx/029_Annual_budget_Use_this_template_30324a97.xlsx	xl/charts/chart31.xml	barChart	1	2	0
sheets/chartset-009/xlsx/018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a.xlsx	xl/charts/chart1.xml	scatterChart	7	1	0
sheets/chartset-014/xlsx/045_Check_register_with_chart_4becb8a0.xlsx	xl/charts/chart11.xml	barChart	1	6	0
sheets/chartset-013/xlsx/031_Business_expense_budget_f3a46278.xlsx	xl/charts/chart21.xml	barChart	2	4	0
sheets/chartset-013/xlsx/059_Milestone_and_task_project_timeline_Use_this_template_24f1e8f1.xlsx	xl/charts/chart11.xml	scatterChart	2	3	0
sheets/chartset-007/xlsm/003_Contextures_chart_sample_9bda2719.xlsm	xl/charts/chart2.xml	barChart	1	11	0
sheets/chartset-007/xlsx/037_Personal_money_tracker_a57957bb.xlsx	xl/charts/chart12.xml	barChart	1	1	0
sheets/chartset-008/xlsx/034_Personal_net_worth_calculator_f7b8fb57.xlsx	xl/charts/chart21.xml	barChart	1	2	0
sheets/chartset-008/xlsx/034_Personal_net_worth_calculator_f7b8fb57.xlsx	xl/charts/chart12.xml	barChart	1	5	0
sheets/chartset-012/xlsx/036_Simple_to-do_list_Use_this_template_ba44373b.xlsx	xl/charts/chart21.xml	barChart	1	2	0
sheets/chartset-012/xlsx/036_Simple_to-do_list_Use_this_template_ba44373b.xlsx	xl/charts/chart12.xml	barChart	1	2	0
