part	groups	axpairs	valax	dateax	catax	plotvisonly	varycolors	dpt	cellrange	dlblrange	strlit	numlit	spacebold	axorder	gaxorder	doc
ppt/charts/chart1.xml	1	1	0	0	0	True	1	2	0	0	0	0	0		pieChart::1	slides/chartset-005/pptx/076_Hexadonut_Charts_for_PowerPoint_and_Google_Slides_2b879835.pptx
ppt/charts/chart2.xml	1	1	0	0	0	True	1	2	0	0	0	0	0		pieChart::1	slides/chartset-005/pptx/076_Hexadonut_Charts_for_PowerPoint_and_Google_Slides_2b879835.pptx
ppt/charts/chart3.xml	1	1	0	0	0	True	1	2	0	0	0	0	0		pieChart::1	slides/chartset-005/pptx/076_Hexadonut_Charts_for_PowerPoint_and_Google_Slides_2b879835.pptx
ppt/charts/chart4.xml	1	1	0	0	0	True	1	2	0	0	0	0	0		pieChart::1	slides/chartset-005/pptx/076_Hexadonut_Charts_for_PowerPoint_and_Google_Slides_2b879835.pptx
ppt/charts/chart5.xml	1	1	0	0	0	True	1	2	0	0	0	0	0		pieChart::1	slides/chartset-005/pptx/076_Hexadonut_Charts_for_PowerPoint_and_Google_Slides_2b879835.pptx
ppt/charts/chart6.xml	1	1	0	0	0	True	1	2	0	0	0	0	0		pieChart::1	slides/chartset-005/pptx/076_Hexadonut_Charts_for_PowerPoint_and_Google_Slides_2b879835.pptx
ppt/charts/chart1.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:257198848;valAx:257201200	barChart:257198848,257201200:1	slides/done-012/pptx/Intersil_Italy_CAN_Bus_Transceiver_Presentation_Final.pptx
ppt/charts/chart1.xml	1	1	2	0	0	True	0	0	0	0	0	0	0	valAx:452699472;valAx:452698488	scatterChart:452699472,452698488:1	slides/done-007/pptx/flying-by-numbers-presentation.pptx
ppt/charts/chart1.xml	1	1	0	0	0	True	1	10	0	0	0	0	0		pieChart::1	slides/done-007/pptx/bitesize-writing-a-report.pptx
ppt/charts/chart2.xml	1	1	0	0	0	True	1	6	0	0	0	0	0		pieChart::1	slides/done-007/pptx/bitesize-writing-a-report.pptx
ppt/charts/chart1.xml	1	1	1	0	1	True	0	1	0	0	0	0	0	catAx:767064575;valAx:767056895	barChart:767064575,767056895:2	slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx
ppt/charts/chart2.xml	1	1	1	0	1	True	0	1	0	0	0	0	0	catAx:767064575;valAx:767056895	barChart:767064575,767056895:2	slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx
ppt/charts/chart3.xml	1	1	1	0	1	True	0	2	0	0	0	0	0	catAx:767064575;valAx:767056895	barChart:767064575,767056895:2	slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx
ppt/charts/chart5.xml	1	1	1	0	1	True	0	1	0	0	0	0	0	catAx:767064575;valAx:767056895	barChart:767064575,767056895:2	slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx
ppt/charts/chart4.xml	1	1	1	0	1	True	0	1	0	0	0	0	0	catAx:767064575;valAx:767056895	barChart:767064575,767056895:2	slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx
ppt/charts/chart6.xml	1	1	1	0	1	True	0	2	0	0	0	0	0	catAx:767064575;valAx:767056895	barChart:767064575,767056895:2	slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx
ppt/charts/chart3.xml	1	1	1	0	1	True	0	1	0	0	0	0	0	catAx:767064575;valAx:767056895	barChart:767064575,767056895:2	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx
ppt/charts/chart4.xml	1	1	1	0	1	True	0	1	0	0	0	0	0	catAx:767064575;valAx:767056895	barChart:767064575,767056895:2	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx
ppt/charts/chart5.xml	1	1	1	0	1	True	0	1	0	0	0	0	0	catAx:767064575;valAx:767056895	barChart:767064575,767056895:2	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx
ppt/charts/chart7.xml	1	1	1	0	1	True	0	1	0	0	0	0	0	catAx:767064575;valAx:767056895	barChart:767064575,767056895:2	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx
ppt/charts/chart8.xml	1	1	1	0	1	True	0	1	0	0	0	0	0	catAx:767064575;valAx:767056895	barChart:767064575,767056895:2	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx
