document	pages	mean	worst
sheets/ceiling-001/xls/Template Pilot Logbook JAR-FCL V3.0.xls	38	0.37	5.19
sheets/chartset-005/xlsx/022_Pareto_Chart_Template_-_Pareto_Analysis_in_Excel_with_Pareto_Diagram_82b5a874.xlsx	2	0.97	1.79
sheets/chartset-006/xls/014_Contextures_chart_sample_991ecfc5.xls	3	2.68	7.84
sheets/chartset-006/xlsx/061_Regional_sales_chart_cb9eb690.xlsx	1	0.30	0.30
sheets/chartset-007/xlsm/003_Contextures_chart_sample_9bda2719.xlsm	6	0.25	0.81
sheets/chartset-007/xlsx/037_Personal_money_tracker_a57957bb.xlsx	5	1.70	3.34
sheets/chartset-007/xlsx/040_Blood_pressure_tracker_872b6833.xlsx	1	4.14	4.14
sheets/chartset-007/xlsx/063_Sales_pipeline_aec57013.xlsx	1	2.95	2.95
sheets/chartset-008/xlsx/021_Control_Chart_Template_-_Create_Control_Charts_in_Excel_fd3b1a5d.xlsx	5	0.61	1.45
sheets/chartset-008/xlsx/023_Waterfall_Chart_Template_for_Excel_349f7689.xlsx	5	0.96	2.23
sheets/chartset-008/xlsx/034_Personal_net_worth_calculator_f7b8fb57.xlsx	7	0.20	1.04
sheets/chartset-008/xlsx/046_Cost_analysis_with_Pareto_chart_7db5ef69.xlsx	1	0.19	0.19
sheets/chartset-008/xlsx/055_Project_timeline_with_milestones_Use_this_template_546cecc0.xlsx	2	0.86	1.64
sheets/chartset-009/xlsx/018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a.xlsx	10	0.54	1.15
sheets/chartset-009/xlsx/029_Annual_budget_Use_this_template_30324a97.xlsx	2	0.65	0.78
sheets/chartset-010/xlsx/047_Date_tracker_Gantt_chart_bf34f3a8.xlsx	5	14.13	63.21
sheets/chartset-010/xlsx/062_Run_chart_cb7476ea.xlsx	2	2.63	2.79
sheets/chartset-012/xlsx/036_Simple_to-do_list_Use_this_template_ba44373b.xlsx	4	1.02	2.09
sheets/chartset-013/xlsx/019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782.xlsx	9	2.08	5.80
sheets/chartset-013/xlsx/031_Business_expense_budget_f3a46278.xlsx	8	0.40	1.09
sheets/chartset-013/xlsx/059_Milestone_and_task_project_timeline_Use_this_template_24f1e8f1.xlsx	3	1.62	2.82
sheets/chartset-014/xlsx/038_Baby_growth_chart_bb9cd672.xlsx	2	0.88	1.48
sheets/chartset-014/xlsx/039_Baby_growth_tracker_e295ae56.xlsx	2	0.73	1.21
sheets/chartset-014/xlsx/045_Check_register_with_chart_4becb8a0.xlsx	1	0.38	0.38
sheets/done-002/xls/2012-GA-Survey-Chapter-5-Tables-16Dec2013-V2.xls	3	1.48	4.00
sheets/done-002/xls/2012-GA-Survey-Chapter-6-Tables-16Dec2013-V2.xls	5	1.03	4.53
sheets/done-009/xls/EHEST-Pre-departure-checklist-Rev.-1-06-12-2016.xls	24	2.69	6.78
sheets/done-010/xls/TOGAF9-Tool-ConfReqts-CSQ.xls	28	1.40	5.51
sheets/missing-001/xls/orbus_togaf_tool_csq.xls	75	1.85	5.02
slides/ceiling-002/pptx/Demick_JetBlue.pptx	10	4.41	9.21
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	23	1.84	3.91
slides/chartset-001/pptx/combo_bar_line_chart.pptx	1	0.33	0.33
slides/chartset-001/pptx/scatter_chart.pptx	1	0.56	0.56
slides/chartset-007/pptx/096_Lab_Flask_Charts_for_PowerPoint_and_Google_Slides_91e3cbb5.pptx	3	1.96	3.70
slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	3	1.44	2.26
slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	3	1.26	1.87
slides/done-010/pptx/Sector_Skills_Insights_Advanced_Manufacturing_summary_slide_pack.pptx	24	2.09	10.41
slides/done-011/pptx/171128IPAP.pptx	40	2.08	5.52
slides/done-015/pptx/RPA P4 - Advanced Material.pptx	20	1.30	5.64
