path	part	group	nser	smooth_flags
slides/ceiling-002/pptx/Demick_JetBlue.pptx	ppt/charts/chart5.xml	lineChart	1	-
slides/ceiling-002/pptx/Demick_JetBlue.pptx	ppt/charts/chart5.xml	lineChart	2	-,-
slides/ceiling-002/pptx/Demick_JetBlue.pptx	ppt/charts/chart4.xml	lineChart	2	-,-
slides/ceiling-002/pptx/Demick_JetBlue.pptx	ppt/charts/chart4.xml	lineChart	1	-
slides/ceiling-002/pptx/Demick_JetBlue.pptx	ppt/charts/chart3.xml	lineChart	4	-,-,-,-
slides/ceiling-002/pptx/Demick_JetBlue.pptx	ppt/charts/chart2.xml	lineChart	3	-,-,-
slides/ceiling-002/pptx/Demick_JetBlue.pptx	ppt/charts/chart1.xml	lineChart	2	-,-
slides/ceiling-002/pptx/Demick_JetBlue.pptx	ppt/charts/chart1.xml	lineChart	1	-
slides/ceiling-002/pptx/8_P-Pavese_AIRBUS-ATB-journee-CRATB.pptx	ppt/charts/chart2.xml	scatterChart	1	0
slides/ceiling-002/pptx/8_P-Pavese_AIRBUS-ATB-journee-CRATB.pptx	ppt/charts/chart3.xml	scatterChart	1	0
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	ppt/charts/chart8.xml	lineChart	2	0,0
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	ppt/charts/chart1.xml	lineChart	4	0,0,0,0
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	ppt/charts/chart18.xml	lineChart	1	0
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	ppt/charts/chart20.xml	lineChart	2	0,0
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	ppt/charts/chart14.xml	lineChart	3	0,0,0
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	ppt/charts/chart10.xml	lineChart	1	0
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	ppt/charts/chart11.xml	lineChart	1	0
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	ppt/charts/chart12.xml	lineChart	2	0,0
slides/done-007/pptx/flying-by-numbers-presentation.pptx	ppt/charts/chart1.xml	scatterChart	1	0
slides/done-011/pptx/171128IPAP.pptx	ppt/charts/chart8.xml	lineChart	13	-,-,-,-,-,-,-,-,-,-,-,-,-
slides/done-011/pptx/171128IPAP.pptx	ppt/charts/chart4.xml	lineChart	2	-,-
slides/done-011/pptx/171128IPAP.pptx	ppt/charts/chart5.xml	lineChart	1	1
slides/done-011/pptx/171128IPAP.pptx	ppt/charts/chart9.xml	lineChart	1	1
slides/done-011/pptx/171128IPAP.pptx	ppt/charts/chart6.xml	lineChart	1	1
slides/done-011/pptx/171128IPAP.pptx	ppt/charts/chart7.xml	lineChart	3	1,1,1
slides/done-011/pptx/171128IPAP.pptx	ppt/charts/chart1.xml	lineChart	4	-,-,-,-
slides/done-011/pptx/171128IPAP.pptx	ppt/charts/chart2.xml	lineChart	3	-,-,-
slides/done-011/pptx/1_Country-Updates_DRC_English.pptx	ppt/charts/chart1.xml	lineChart	1	0
slides/done-011/pptx/1_Country-Updates_DRC_English.pptx	ppt/charts/chart3.xml	lineChart	2	0,0
slides/done-015/pptx/RPA P4 - Advanced Material.pptx	ppt/charts/chart1.xml	scatterChart	6	0,0,0,0,0,0
slides/done-015/pptx/RPA P4 - Advanced Material.pptx	ppt/charts/chart1.xml	scatterChart	1	0
slides/extra-001/pptx/FAAAIandtheArtandScienceofV&Vfinal.pptx	ppt/charts/chart1.xml	scatterChart	1	0
words/ceiling-001/docx/ABCD-FE-01-00 Flight Envelope - v1 08.03.16.docx	word/charts/chart1.xml	scatterChart	4	0,0,0,0
sheets/chartset-001/xlsx/006_advanced_excel_scatter.xlsx	xl/charts/chart1.xml	scatterChart	1	1
sheets/chartset-001/xlsx/002_advanced_excel_line.xlsx	xl/charts/chart1.xml	lineChart	3	1,1,1
sheets/chartset-001/xlsx/022_advanced_excel_scatter.xlsx	xl/charts/chart1.xml	scatterChart	1	1
sheets/chartset-002/xlsx/030_advanced_excel_scatter.xlsx	xl/charts/chart1.xml	scatterChart	1	1
sheets/chartset-002/xlsx/026_advanced_excel_line.xlsx	xl/charts/chart1.xml	lineChart	3	1,1,1
sheets/chartset-002/xlsx/034_advanced_excel_line.xlsx	xl/charts/chart1.xml	lineChart	3	1,1,1
sheets/chartset-003/xlsx/014_advanced_excel_scatter.xlsx	xl/charts/chart1.xml	scatterChart	1	1
sheets/chartset-003/xlsx/018_advanced_excel_line.xlsx	xl/charts/chart1.xml	lineChart	3	1,1,1
sheets/chartset-004/xlsx/010_advanced_excel_line.xlsx	xl/charts/chart1.xml	lineChart	3	1,1,1
sheets/chartset-004/xlsx/microsoft_learn_multi_chart_examples.xlsx	xl/charts/chart1.xml	lineChart	3	-,-,-
sheets/chartset-004/xlsx/microsoft_learn_multi_chart_examples.xlsx	xl/charts/chart5.xml	scatterChart	1	-
slides/chartset-001/pptx/scatter_chart.pptx	ppt/charts/chart1.xml	scatterChart	3	0,0,0
slides/chartset-001/pptx/combo_bar_line_chart.pptx	ppt/charts/chart1.xml	lineChart	1	0
slides/chartset-001/pptx/line_chart.pptx	ppt/charts/chart1.xml	lineChart	3	0,0,0
slides/chartset-003/pptx/019_advanced_powerpoint_line.pptx	ppt/charts/chart19.xml	lineChart	2	0,0
slides/chartset-003/pptx/003_advanced_powerpoint_line.pptx	ppt/charts/chart3.xml	lineChart	2	0,0
slides/chartset-003/pptx/011_advanced_powerpoint_line.pptx	ppt/charts/chart11.xml	lineChart	2	0,0
slides/chartset-003/pptx/027_advanced_powerpoint_line.pptx	ppt/charts/chart27.xml	lineChart	2	0,0
sheets/chartset-005/xlsx/004_Contextures_chart_sample_de7c0671.xlsx	xl/charts/chart1.xml	lineChart	2	0,0
sheets/chartset-005/xlsx/022_Pareto_Chart_Template_-_Pareto_Analysis_in_Excel_with_Pareto_Diagram_82b5a874.xlsx	xl/charts/chart1.xml	lineChart	2	0,0
sheets/chartset-006/xlsx/006_Contextures_chart_sample_afa23b53.xlsx	xl/charts/chart1.xml	lineChart	1	0
sheets/chartset-006/xlsx/061_Regional_sales_chart_cb9eb690.xlsx	xl/charts/chart11.xml	lineChart	8	0,0,0,0,0,0,0,0
sheets/chartset-006/xlsx/061_Regional_sales_chart_cb9eb690.xlsx	xl/charts/chart11.xml	scatterChart	2	0,0
sheets/chartset-007/xlsx/040_Blood_pressure_tracker_872b6833.xlsx	xl/charts/chart11.xml	lineChart	1	0
sheets/chartset-007/xlsx/063_Sales_pipeline_aec57013.xlsx	xl/charts/chart11.xml	scatterChart	7	0,0,0,0,0,0,0
sheets/chartset-008/xlsx/021_Control_Chart_Template_-_Create_Control_Charts_in_Excel_fd3b1a5d.xlsx	xl/charts/chart3.xml	lineChart	4	0,0,0,0
sheets/chartset-008/xlsx/021_Control_Chart_Template_-_Create_Control_Charts_in_Excel_fd3b1a5d.xlsx	xl/charts/chart4.xml	lineChart	4	0,0,0,0
sheets/chartset-008/xlsx/021_Control_Chart_Template_-_Create_Control_Charts_in_Excel_fd3b1a5d.xlsx	xl/charts/chart1.xml	lineChart	4	0,0,0,0
sheets/chartset-008/xlsx/021_Control_Chart_Template_-_Create_Control_Charts_in_Excel_fd3b1a5d.xlsx	xl/charts/chart2.xml	lineChart	4	0,0,0,0
sheets/chartset-008/xlsx/023_Waterfall_Chart_Template_for_Excel_349f7689.xlsx	xl/charts/chart2.xml	scatterChart	3	0,0,0
sheets/chartset-008/xlsx/023_Waterfall_Chart_Template_for_Excel_349f7689.xlsx	xl/charts/chart1.xml	lineChart	3	0,0,0
sheets/chartset-008/xlsx/023_Waterfall_Chart_Template_for_Excel_349f7689.xlsx	xl/charts/chart1.xml	scatterChart	1	0
sheets/chartset-008/xlsx/046_Cost_analysis_with_Pareto_chart_7db5ef69.xlsx	xl/charts/chart11.xml	lineChart	1	0
sheets/chartset-008/xlsx/055_Project_timeline_with_milestones_Use_this_template_546cecc0.xlsx	xl/charts/chart11.xml	lineChart	1	1
sheets/chartset-009/xlsx/018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a.xlsx	xl/charts/chart2.xml	scatterChart	7	0,0,0,0,0,0,0
sheets/chartset-009/xlsx/018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a.xlsx	xl/charts/chart1.xml	scatterChart	7	0,0,0,0,0,0,0
sheets/chartset-010/xlsx/047_Date_tracker_Gantt_chart_bf34f3a8.xlsx	xl/charts/chart11.xml	scatterChart	3	0,0,0
sheets/chartset-010/xlsx/062_Run_chart_cb7476ea.xlsx	xl/charts/chart11.xml	lineChart	2	0,0
sheets/chartset-010/xlsx/065_Weight_loss_tracker_ff1c89af.xlsx	xl/charts/chart11.xml	scatterChart	2	0,0
sheets/chartset-013/xlsx/001_Contextures_chart_sample_b089bc34.xlsx	xl/charts/chart1.xml	lineChart	1	0
sheets/chartset-013/xlsx/019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782.xlsx	xl/charts/chart1.xml	scatterChart	10	0,0,0,0,0,0,0,0,0,0
sheets/chartset-013/xlsx/019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782.xlsx	xl/charts/chart2.xml	scatterChart	10	0,0,0,0,0,0,0,0,0,0
sheets/chartset-013/xlsx/019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782.xlsx	xl/charts/chart3.xml	scatterChart	2	0,0
sheets/chartset-013/xlsx/031_Business_expense_budget_f3a46278.xlsx	xl/charts/chart12.xml	lineChart	1	0
sheets/chartset-013/xlsx/043_Buy_a_car_vs._rideshare_ff07c7e6.xlsx	xl/charts/chart11.xml	lineChart	1	0
sheets/chartset-013/xlsx/059_Milestone_and_task_project_timeline_Use_this_template_24f1e8f1.xlsx	xl/charts/chart11.xml	scatterChart	2	0,0
sheets/chartset-014/xlsx/038_Baby_growth_chart_bb9cd672.xlsx	xl/charts/chart11.xml	lineChart	2	0,0
sheets/chartset-014/xlsx/039_Baby_growth_tracker_e295ae56.xlsx	xl/charts/chart11.xml	lineChart	2	0,0
sheets/chartset-014/xlsx/064_Small_business_cash_flow_Use_this_template_0a640756.xlsx	xl/charts/chart11.xml	lineChart	1	0
