# chart-gap. Measured 2026-09-06 on chart-face-theme-minor.pptx variants
# NOTE: the `ours` rows in this file are the tree BEFORE this round's fix -- they are the design metric at every size, which is what the fix replaced. facts.tsv and textbox.tsv were re-run after it.
# 24.2.7.2: /usr/bin/soffice -> LibreOffice 24.2.7.2 420(Build:2)
# 26.2.4.2: /opt/libreoffice26.2/program/soffice -> LibreOffice 26.2.4.2 0229ac93fcf0d7cbc6376066c6f35021cef002dc
# ours: /home/user/wt-charttext/dotnet/tools/Paperless.Cli/bin/Debug/net10.0/linux-x64/Paperless.Cli
# fonts: system /usr/share/fonts; the 26.2 tarball's Latin metric duplicates, its Latin NotoSans/NotoSerif and opens___.ttf are moved aside
# face: /usr/share/fonts/truetype/liberation/LiberationMono-Regular.ttf, design advance 0.60009766 em for every glyph
# gap_pt is the mean inter-glyph advance of the chart title, read from the PDF's Tm/TJ; ratio is gap_pt / (advance x size_pt)
case	sz	frame_cx	stack	size_pt	glyphs	gap_pt	design_pt	ratio	adjustments
size-600	600	7920000	24.2.7.2	6.009	15	3.6018	3.6060	0.99884	[-27, -23, 99]
size-600	600	7920000	26.2.4.2	6.009	15	3.6054	3.6060	0.99984	[0]
size-600	600	7920000	ours	6.009	15	3.6056	3.6062	0.99984	[0]
size-700	700	7920000	24.2.7.2	7.001	15	4.0470	4.2013	0.96329	[-43, -39, 61, 66]
size-700	700	7920000	26.2.4.2	7.001	15	4.0498	4.2013	0.96395	[21, 25]
size-700	700	7920000	ours	7.002	15	4.2010	4.2016	0.99984	[0]
size-800	800	7920000	24.2.7.2	7.993	15	4.9365	4.7966	1.02917	[-54, 37]
size-800	800	7920000	26.2.4.2	7.993	15	4.9349	4.7966	1.02883	[-19, -15]
size-800	800	7920000	ours	7.994	15	4.7962	4.7970	0.99984	[0]
size-900	900	7920000	24.2.7.2	9.013	15	5.4096	5.4087	1.00017	[-67, 14, 17]
size-900	900	7920000	26.2.4.2	9.013	15	5.4024	5.4087	0.99884	[-1, 2]
size-900	900	7920000	ours	9.014	15	5.4085	5.4094	0.99984	[0]
size-1000	1000	7920000	24.2.7.2	10.005	15	5.8469	6.0040	0.97384	[0, 2, 76]
size-1000	1000	7920000	26.2.4.2	10.005	15	5.8549	6.0040	0.97517	[13, 16]
size-1000	1000	7920000	ours	10.006	15	6.0038	6.0048	0.99984	[0]
size-1100	1100	7920000	24.2.7.2	10.998	15	6.7352	6.5999	1.02050	[-15, -12]
size-1100	1100	7920000	26.2.4.2	10.998	15	6.7352	6.5999	1.02050	[-15, -12]
size-1100	1100	7920000	ours	10.998	15	6.5990	6.6001	0.99984	[0]
size-1200	1200	7920000	24.2.7.2	11.990	15	7.1868	7.1952	0.99884	[-25, -23, 38]
size-1200	1200	7920000	26.2.4.2	11.990	15	7.1940	7.1952	0.99984	[0]
size-1200	1200	7920000	ours	11.991	15	7.1944	7.1955	0.99984	[0]
size-1300	1300	7920000	24.2.7.2	13.010	15	7.6542	7.8073	0.98040	[-33, 22, 24]
size-1300	1300	7920000	26.2.4.2	13.010	15	7.6594	7.8073	0.98106	[11, 13]
size-1300	1300	7920000	ours	13.011	15	7.8066	7.8079	0.99984	[0]
size-1400	1400	7920000	24.2.7.2	14.002	15	8.5440	8.4026	1.01683	[-43, -41, 11]
size-1400	1400	7920000	26.2.4.2	14.002	15	8.5319	8.4026	1.01539	[-10, -8]
