# reach. Measured 2026-09-06. corpus /home/user/sample-files, scored from MANIFEST.tsv
# a prediction from the documents, not a rendering: the reference binaries it is calibrated against are 24.2.7.2 (/usr/bin/soffice) and 26.2.4.2 (/opt/libreoffice26.2/program/soffice, its Latin metric duplicates, its Latin NotoSans/NotoSerif and opens___.ttf moved aside), system fonts /usr/share/fonts
# the rule and its residuals are measured in chart-gap.py and chart-vs-textbox.py
# predicted per-glyph error = round(px96)/px96 - 1 at the chart's declared text sizes, px96 = round(size_pt x 2540/72) x 96/2540
family	path	kind	sizes	worst_error_pct	worst_size_pt
sheets	sheets/done-010/xlsx/Keywords_Mapping_Graphs_and_Charts.xlsx	ooxml	9,14,18	+1.76	14
slides	slides/ceiling-001/pptx/Sylva%20introduction%20session.pptx	ooxml	10	-2.56	10
slides	slides/ceiling-001/pptx/N2_E_Maestroni_Swarm_COP.pptx	ooxml	8,9,12	+3.21	8
slides	slides/ceiling-002/pptx/Demick_JetBlue.pptx	ooxml	10	-2.56	10
slides	slides/ceiling-002/pptx/8_P-Pavese_AIRBUS-ATB-journee-CRATB.pptx	ooxml	9,18	-0.16	9
slides	slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	ooxml	14,15,16,18,20,22,24	+1.76	14
slides	slides/done-007/pptx/flying-by-numbers-presentation.pptx	ooxml	12	+0.08	12
slides	slides/done-007/pptx/bitesize-writing-a-report.pptx	ooxml	9,14,16,20	+1.76	14
slides	slides/done-007/ppt/71393_pp7.ppt	ole		+nan	0
slides	slides/done-010/pptx/Sector_Skills_Insights_Advanced_Manufacturing_summary_slide_pack.pptx	ooxml	12	+0.08	12
slides	slides/done-011/pptx/171128IPAP.pptx	ooxml	9,10,11,12,14,16,18	-2.56	10
slides	slides/done-011/pptx/3495.pptx	ooxml	12,28	-0.92	28
slides	slides/done-011/pptx/1_Country-Updates_DRC_English.pptx	ooxml	9,11.97	+0.32	11.97
slides	slides/done-011/pptx/3492.pptx	ooxml	14,18	+1.76	14
slides	slides/done-012/pptx/Intersil_Italy_CAN_Bus_Transceiver_Presentation_Final.pptx	ooxml	10,11.97	-2.56	10
slides	slides/done-015/pptx/RPA P4 - Advanced Material.pptx	ooxml	9,10	-2.56	10
slides	slides/extra-001/pptx/FAAAIandtheArtandScienceofV&Vfinal.pptx	ooxml	9,10,14	-2.56	10
words	words/ceiling-001/docx/ABCD-FE-01-00 Flight Envelope - v1 08.03.16.docx	ooxml	12	+0.08	12
words	words/chartset-001/docx/clustered-column-template.docx	ooxml	9	-0.16	9
words	words/chartset-001/docx/clustered-column-result.docx	ooxml	9	-0.16	9
words	words/chartset-001/docx/pie-chart-template.docx	ooxml	10,18	-2.56	10
words	words/chartset-001/docx/pie-chart-result.docx	ooxml	10,18	-2.56	10
