# chart-vs-textbox. Measured 2026-09-06
# 24.2.7.2: /usr/bin/soffice -> LibreOffice 24.2.7.2 420(Build:2)
# 26.2.4.2: /opt/libreoffice26.2/program/soffice -> LibreOffice 26.2.4.2 0229ac93fcf0d7cbc6376066c6f35021cef002dc
# ours: /home/user/wt-charttext/dotnet/tools/Paperless.Cli/bin/Debug/net10.0/linux-x64/Paperless.Cli
# fonts: system /usr/share/fonts; the 26.2 tarball's Latin metric duplicates, its Latin NotoSans/NotoSerif and opens___.ttf are moved aside
# face: /usr/share/fonts/truetype/liberation/LiberationMono-Regular.ttf, design advance 0.60009766 em
# both strings are the theme minor face at the same sz, in one deck, one PDF each
# px96 is height_100thmm x 96 / 2540; predicted = round(px96) / px96
sz	stack	where	size_pt	gap_pt	design_pt	ratio	px96	predicted	adjustments
700	24.2.7.2	chart	7.001	4.0470	4.2013	0.96329	9.335	0.96407	[-43, -39, 61, 66]
700	24.2.7.2	textbox	7.002	4.1746	4.2019	0.99350	9.335	0.96407	[-2, 1, 17]
700	26.2.4.2	chart	7.001	4.0498	4.2013	0.96395	9.335	0.96407	[21, 25]
700	26.2.4.2	textbox	7.002	4.1755	4.2019	0.99373	9.335	0.96407	[1, 5]
700	ours	chart	7.002	4.0539	4.2016	0.96484	9.335	0.96407	[21]
700	ours	textbox	7.002	4.1940	4.2016	0.99817	9.335	0.96407	[1]
800	24.2.7.2	chart	7.993	4.9365	4.7966	1.02917	10.658	1.03206	[-54, 37]
800	24.2.7.2	textbox	7.994	4.8188	4.7972	1.00450	10.658	1.03206	[-16, -1, 1]
800	26.2.4.2	chart	7.993	4.9349	4.7966	1.02883	10.658	1.03206	[-19, -15]
800	26.2.4.2	textbox	7.994	4.8108	4.7972	1.00284	10.658	1.03206	[-5, -1]
800	ours	chart	7.994	4.9481	4.7970	1.03150	10.658	1.03206	[-19]
800	ours	textbox	7.994	4.7882	4.7970	0.99817	10.658	1.03206	[1]
1000	24.2.7.2	chart	10.005	5.8469	6.0040	0.97384	13.342	0.97439	[0, 2, 76]
1000	24.2.7.2	textbox	10.006	5.9749	6.0046	0.99506	13.342	0.97439	[0, 2, 10, 13]
1000	26.2.4.2	chart	10.005	5.8549	6.0040	0.97517	13.342	0.97439	[13, 16]
1000	26.2.4.2	textbox	10.006	5.9776	6.0046	0.99550	13.342	0.97439	[2, 5]
1000	ours	chart	10.006	5.8537	6.0048	0.97484	13.342	0.97439	[15]
1000	ours	textbox	10.006	5.9938	6.0048	0.99817	13.342	0.97439	[1]
1300	24.2.7.2	chart	13.010	7.6542	7.8073	0.98040	17.348	0.97994	[-33, 22, 24]
1300	24.2.7.2	textbox	13.011	7.7849	7.8079	0.99706	17.348	0.97994	[-1, 0, 9]
1300	26.2.4.2	chart	13.010	7.6594	7.8073	0.98106	17.348	0.97994	[11, 13]
1300	26.2.4.2	textbox	13.011	7.7806	7.8079	0.99650	17.348	0.97994	[0, 3]
1300	ours	chart	13.011	7.6505	7.8079	0.97984	17.348	0.97994	[12]
1300	ours	textbox	13.011	7.7936	7.8079	0.99817	17.348	0.97994	[1]
1800	24.2.7.2	chart	17.999	10.7922	10.8012	0.99917	24.000	1.00000	[-24, 16, 17]
1800	24.2.7.2	textbox	18.000	10.8000	10.8018	0.99984	24.000	1.00000	[0]
1800	26.2.4.2	chart	17.999	10.7994	10.8012	0.99984	24.000	1.00000	[0]
1800	26.2.4.2	textbox	18.000	10.8000	10.8018	0.99984	24.000	1.00000	[0]
1800	ours	chart	18.000	10.8000	10.8018	0.99984	24.000	1.00000	[0]
1800	ours	textbox	18.000	10.7820	10.8018	0.99817	24.000	1.00000	[1]
2000	24.2.7.2	chart	20.011	12.1413	12.0086	1.01106	26.683	1.01186	[-37, -35, 0, 1]
2000	24.2.7.2	textbox	20.013	12.0291	12.0098	1.00161	26.683	1.01186	[-6, -4, 0]
2000	26.2.4.2	chart	20.011	12.1400	12.0086	1.01095	26.683	1.01186	[-7, -6]
2000	26.2.4.2	textbox	20.013	12.0118	12.0098	1.00017	26.683	1.01186	[-1, 0]
2000	ours	chart	20.013	12.1583	12.0095	1.01239	26.683	1.01186	[-8, -7]
2000	ours	textbox	20.013	12.0076	12.0095	0.99984	26.683	1.01186	[0]
