path	ext	obj	feature
slides/ceiling-001/ppt/Fundamentals_Module_1_basics.ppt	ppt	obj1	CHCHART
slides/ceiling-001/ppt/Fundamentals_Module_1_basics.ppt	ppt	obj1	CHLINE
slides/ceiling-001/ppt/Fundamentals_Module_1_basics.ppt	ppt	obj1	CHTYPEGROUP
slides/ceiling-001/ppt/Fundamentals_Module_1_basics.ppt	ppt	obj1	clsid:00020821-0000-0000-C000-000000000046
slides/ceiling-001/ppt/Fundamentals_Module_1_basics.ppt	ppt	obj2	clsid:C8E9D4E0-181F-11CE-B115-00C0F002D9E5
slides/ceiling-001/ppt/Fundamentals_Module_1_basics.ppt	ppt	obj3	clsid:C8E9D4E0-181F-11CE-B115-00C0F002D9E5
slides/ceiling-001/ppt/Fundamentals_Module_1_basics.ppt	ppt	obj4	clsid:C8E9D4E0-181F-11CE-B115-00C0F002D9E5
slides/ceiling-001/ppt/W3_Case_Study_of_a_Tsunami_Warning_Simulation_Exercise_Ed.ppt	ppt	obj1	clsid:00020906-0000-0000-C000-000000000046
slides/ceiling-001/ppt/Thailand17.ppt	ppt	obj1	clsid:00021A13-0000-0000-C000-000000000046
slides/ceiling-001/ppt/Thailand17.ppt	ppt	obj2	clsid:00020906-0000-0000-C000-000000000046
slides/ceiling-001/ppt/Thailand17.ppt	ppt	obj3	CHCHART
slides/ceiling-001/ppt/Thailand17.ppt	ppt	obj3	CHSCATTER
slides/ceiling-001/ppt/Thailand17.ppt	ppt	obj3	CHSCATTER.plain
slides/ceiling-001/ppt/Thailand17.ppt	ppt	obj3	CHTYPEGROUP
slides/ceiling-001/ppt/Thailand17.ppt	ppt	obj3	clsid:00020821-0000-0000-C000-000000000046
slides/ceiling-001/ppt/Thailand17.ppt	ppt	obj4	clsid:
slides/ceiling-001/ppt/Thailand17.ppt	ppt	obj5	clsid:00021A13-0000-0000-C000-000000000046
slides/ceiling-001/ppt/Thailand17.ppt	ppt	obj6	clsid:00020906-0000-0000-C000-000000000046
slides/ceiling-001/ppt/Thailand17.ppt	ppt	obj7	CHCHART
slides/ceiling-001/ppt/Thailand17.ppt	ppt	obj7	CHSCATTER
slides/ceiling-001/ppt/Thailand17.ppt	ppt	obj7	CHSCATTER.plain
slides/ceiling-001/ppt/Thailand17.ppt	ppt	obj7	CHTYPEGROUP
slides/ceiling-001/ppt/Thailand17.ppt	ppt	obj7	clsid:00020821-0000-0000-C000-000000000046
slides/ceiling-001/ppt/Thailand17.ppt	ppt	obj8	clsid:00021A13-0000-0000-C000-000000000046
slides/ceiling-001/ppt/Thailand17.ppt	ppt	obj9	clsid:00020906-0000-0000-C000-000000000046
slides/ceiling-001/ppt/Thailand17.ppt	ppt	obj10	CHCHART
slides/ceiling-001/ppt/Thailand17.ppt	ppt	obj10	CHSCATTER
slides/ceiling-001/ppt/Thailand17.ppt	ppt	obj10	CHSCATTER.plain
slides/ceiling-001/ppt/Thailand17.ppt	ppt	obj10	CHTYPEGROUP
slides/ceiling-001/ppt/Thailand17.ppt	ppt	obj10	clsid:00020821-0000-0000-C000-000000000046
