family	path	pages	shows	turned	md5
slides	Sylva%20introduction%20session.pptx	15	457	11	d4438e5f0edfc2179f9c1af868886f61
slides	N2_E_Maestroni_Swarm_COP.pptx	30	1779	12	4fd12208a24f7371d9d0f94e89d1e274
slides	Demick_JetBlue.pptx	10	272	76	622b0ba22d7f625b748531064a7bd4fe
slides	8_P-Pavese_AIRBUS-ATB-journee-CRATB.pptx	26	1361	21	aae5ce102be1324dff1f16360ed3a852
slides	southern-classic-kennesaw-state-university-final.pptx	23	1440	39	72079fb08f6b8541da84408d06f6b50a
slides	flying-by-numbers-presentation.pptx	10	169	0	3d0ef3a0731a8040965fa35b3ef00a39
slides	bitesize-writing-a-report.pptx	15	253	2	d81f4fdedbfbf60e413adc8da532e89d
slides	71393_pp7.ppt	39	714	0	634e501451c3950e6923bd06fb5627e1
slides	Sector_Skills_Insights_Advanced_Manufacturing_summary_slide_pack.pptx	24	1120	7	cf70aba54505bb9fe87478a922e186e3
slides	171128IPAP.pptx	40	1242	20	b6d8ee88bdc9bf7668df28f66ab3f44d
slides	3495.pptx	26	254	0	5c2ce45d0472d654ddc2371f376ffc3b
slides	1_Country-Updates_DRC_English.pptx	16	326	0	e3e1aa9e96a0da66206fd34cbe17d7ae
slides	3492.pptx	22	405	2	5d83bfdcf3b006682c41fd7659d4d56e
slides	Intersil_Italy_CAN_Bus_Transceiver_Presentation_Final.pptx	39	1841	18	8201a6beef8d8d2f7b96eac2bdc81872
slides	RPA P4 - Advanced Material.pptx	20	691	4	815341176f2888b23c9e4cf7823ed714
slides	FAAAIandtheArtandScienceofV&Vfinal.pptx	30	396	8	afd1c950e8144a05ab65020460de22d5
words	ABCD-FE-01-00 Flight Envelope - v1 08.03.16.docx	14	1991	37	5e51bd533efd36a33264a2d4d4569f67
words	clustered-column-template.docx	1	25	0	08172f821876e33ca9e84146489401bd
words	clustered-column-result.docx	1	47	0	078c6cafac6b666f2794a49b56db59de
words	pie-chart-template.docx	1	7	0	3b27f8b88c101f3bd54e10d907a9a22e
words	pie-chart-result.docx	1	30	0	17fce9eb84b4e7978c1cadd405ab39f7
slides	scatter_chart.pptx	1	41	1	62d39ed2beb419d2fef55adff2432083
slides	stacked_area_chart.pptx	1	20	0	3b4daebb6ce4cb884e547015cc733b4c
slides	stacked_bar_chart.pptx	1	20	0	6ce8f53a39254504fee2ca907338646a
slides	bar_chart.pptx	1	20	0	0a7499c40a22af7fbf094298ad721070
slides	combo_bar_line_chart.pptx	1	31	0	b9e868e7797ea4cd76c2535aab90b103
slides	line_chart.pptx	1	17	0	0e0d9bbf7c3aaabc81084e37ba049af4
slides	008_advanced_powerpoint_bubble.pptx	1	11	0	f5713da12ead273faee05612cf956b5e
slides	015_advanced_powerpoint_scatter.pptx	1	11	0	91b1fa1c5f822c7e1e5254b2feca577b
slides	016_advanced_powerpoint_bubble.pptx	1	11	0	7a31754c95c041744e179b334c2a7331
slides	031_advanced_powerpoint_scatter.pptx	1	11	0	83ec9fc8d3085815833d84e3acb61faf
slides	007_advanced_powerpoint_scatter.pptx	1	11	0	3377183210b94e5d5750024e2a608fc4
slides	023_advanced_powerpoint_scatter.pptx	1	11	0	e0d0f594f28e4fb346c454d6fbfb462d
slides	032_advanced_powerpoint_bubble.pptx	1	11	0	f4653920004310fec8abb3e11073a135
slides	024_advanced_powerpoint_bubble.pptx	1	11	0	e73a5a5e643aadcc156e9d52e37c241d
slides	006_advanced_powerpoint_area.pptx	1	30	0	f8bad18d59f69b04eef18e6dc1e9ed79
slides	014_advanced_powerpoint_area.pptx	1	30	0	9e6a2ec0b6e19a77b929056c02d29358
slides	030_advanced_powerpoint_area.pptx	1	30	0	f5eaa7cd7a1fa93a8e18802d2c86cae1
slides	001_advanced_powerpoint_bar.pptx	1	30	0	9b54ddabec21381ebbc41f9b49f43d65
slides	017_advanced_powerpoint_bar.pptx	1	30	0	a57b3fdb38759e53b924e360077034ec
slides	033_advanced_powerpoint_bar.pptx	1	30	0	3d49248aa247a33ee4632d0bd064228b
slides	019_advanced_powerpoint_line.pptx	1	30	0	4163a7de2090fa8d003852e680595184
slides	003_advanced_powerpoint_line.pptx	1	30	0	206f15eeff4dc08e79ae823780c6e57e
slides	002_advanced_powerpoint_column.pptx	1	30	0	b99e9360a48124bd43013708b056728c
slides	010_advanced_powerpoint_column.pptx	1	30	0	1d40a9e07a3d23307207fb85619d3dea
slides	011_advanced_powerpoint_line.pptx	1	30	0	46f1f81ce5866c1583f7679060727711
slides	027_advanced_powerpoint_line.pptx	1	30	0	39ee1ca56e27e7f62cb76c8c643e984d
slides	012_advanced_powerpoint_pie.pptx	1	21	0	797a05e84900f869a679db3f03e45b2d
slides	028_advanced_powerpoint_pie.pptx	1	21	0	8e7d7c12625219e854fa8b68b2d54412
slides	005_advanced_powerpoint_doughnut.pptx	1	21	0	78294f14577c02b56b05cfd06cbbb55e
slides	009_advanced_powerpoint_bar.pptx	1	30	0	48447e43028aaa5128159019fb8c4746
slides	021_advanced_powerpoint_doughnut.pptx	1	21	0	2b7cec4ada120b3268b95807fe33dd47
slides	025_advanced_powerpoint_bar.pptx	1	30	0	38e7c81c1680bf274f297154be380547
slides	026_advanced_powerpoint_column.pptx	1	30	0	52697f61bcfccef7aa13579e65dab9a5
slides	013_advanced_powerpoint_doughnut.pptx	1	21	0	a30cc908589bbe5d7b96761ebe70105a
slides	029_advanced_powerpoint_doughnut.pptx	1	21	0	677046bd208b3369f109e5d8ff27aa57
slides	004_advanced_powerpoint_pie.pptx	1	21	0	84fbe35e573b42aba749016b89819222
slides	020_advanced_powerpoint_pie.pptx	1	21	0	74895797e918b4c53cd00aaba1250663
slides	022_advanced_powerpoint_area.pptx	1	30	0	7260bce3099aa0c17ad934bbe5d4ad51
slides	018_advanced_powerpoint_column.pptx	1	30	0	1fd86b67cc3c13126914c6cd41430cbc
words	027_Unit_Circle_Chart_Graphical_Chart_5462a579.docx	1	275	0	564b937aeafe9a8b07a7e5ff4b2795f6
words	023_Unit_Circle_Chart_Circular_Percentage_790f7b75.docx	1	30	0	5f718cafc403aa259565dd3f8304a8c5
words	028_Unit_Circle_Chart_Optimized_Graph_83d9c756.docx	1	58	0	1df31ed28adfa5770d8193a6191c3fd9
words	029_Unit_Circle_Chart_Pie_Theme_8a922142.docx	1	19	0	dd3b2c90fbdf97ff39c88a0c01b7b2b9
words	021_Unit_Circle_Chart_3D_Pie_Chart_404247ab.docx	1	16	0	4d1e83a998532c9daa97f5e0f1c1cdd5
slides	076_Hexadonut_Charts_for_PowerPoint_and_Google_Slides_2b879835.pptx	3	72	0	3c4582dff5233624a46cb299e9b7b9ee
slides	031_Alarm_Clock_Pie-Chart_for_PowerPoint_and_Google_Slides_0b185a05.pptx	3	100	0	fde9ecfb59c18f84aafc81acd04d861d
slides	044_Dual_Mind_Spark_Chart_for_PowerPoint_a83f890a.pptx	4	139	0	fbe89b58c81c8e9dca4b23f60eb53213
slides	035_Chemistry_Column_PowerPoint_Chart_45bf8a76.pptx	3	344	0	e3692acf4781137deeabd11b0db6b255
slides	047_Female_Radar_Brain_for_PowerPoint_and_Google_Slides_c2a541f6.pptx	4	159	0	f35554991702d74595fcf79bae6f8dac
