family	path	pages	shows	turned	md5
slides	Sylva%20introduction%20session.pptx	15	446	0	2a9cef432bcdacf0086e5229482f1beb
slides	N2_E_Maestroni_Swarm_COP.pptx	30	1233	0	820fb462528e0a90de27ddaea3c213a1
slides	Demick_JetBlue.pptx	10	346	149	927b0af25e9462b31214a2a5153e00d3
slides	8_P-Pavese_AIRBUS-ATB-journee-CRATB.pptx	26	1118	15	51526301d756ac71836f10b98860752e
slides	southern-classic-kennesaw-state-university-final.pptx	23	1428	200	62fe0a71fd8e1e89d13d001a2dcfef73
slides	flying-by-numbers-presentation.pptx	10	170	0	587f92070e6820629325dfbfb0f0570b
slides	bitesize-writing-a-report.pptx	15	255	0	9ae54af9d6a4c9e4b6aba5210067cf3f
slides	71393_pp7.ppt	39	773	0	6c8b5c86f019a2d7017a1a1e98d85c04
slides	Sector_Skills_Insights_Advanced_Manufacturing_summary_slide_pack.pptx	24	2231	1203	cdf46b64b93188a6ca08002acae2a368
slides	171128IPAP.pptx	40	1317	300	e74cac0c0b4358cc57a537d2bcde71a7
slides	3495.pptx	26	282	0	af79daf22d24cfb00873e98193201644
slides	1_Country-Updates_DRC_English.pptx	16	321	0	3a91609b72ab095398b82a2dc58491b5
slides	3492.pptx	22	470	69	fcdb1226daeb3ff6d1371ebe7a3c1fc6
slides	Intersil_Italy_CAN_Bus_Transceiver_Presentation_Final.pptx	39	1581	26	c646065c37a3cdc5ba2de55b3b2e1c0a
slides	RPA P4 - Advanced Material.pptx	20	628	51	3191032ddc01f25ec680bf5ca20fc493
slides	FAAAIandtheArtandScienceofV&Vfinal.pptx	30	455	93	e93b34ee8cb1b8f5fe33c5bb507bd03e
words	ABCD-FE-01-00 Flight Envelope - v1 08.03.16.docx	16	2367	96	8ee7c86345bdd6f10bcccafb815e9e0e
words	clustered-column-template.docx	1	25	0	5ba33ce15a6d38c55ccc75fc0b3e5a04
words	clustered-column-result.docx	1	47	0	201bb4b37e34245de78651d6a0439190
words	pie-chart-template.docx	1	7	0	4e9a98c2db247220539715e4f04aedd4
words	pie-chart-result.docx	1	29	0	4eb695da2362dfde11d91ce2c698eb57
slides	scatter_chart.pptx	1	53	14	92de8f6e9ac02741a2ef9b67d7257e68
slides	stacked_area_chart.pptx	1	20	0	0aab46e8b55ccf2c087a604cf4f4719c
slides	stacked_bar_chart.pptx	1	20	0	37fa286f7616c38f851ac696d6d34b44
slides	bar_chart.pptx	1	20	0	fbba501db7010e480b7b9c827d5bf350
slides	combo_bar_line_chart.pptx	1	31	0	66fe67f55ffce0a4323d099ae9a3ca62
slides	line_chart.pptx	1	17	0	5421346f3d9cf17b3d5416b29374509e
slides	008_advanced_powerpoint_bubble.pptx	1	11	0	cfdc1dd104a22cc97b4a900df1bdc6c2
slides	015_advanced_powerpoint_scatter.pptx	1	11	0	8b17c63cda89f55b8e6dbde3ea44dd96
slides	016_advanced_powerpoint_bubble.pptx	1	11	0	4c64eddaa2fdaca5a0c64372380d4c29
slides	031_advanced_powerpoint_scatter.pptx	1	11	0	b5d0f822cf82b544efea073f8aa5dd22
slides	007_advanced_powerpoint_scatter.pptx	1	11	0	3cd21636e7d40a57faeaff80a3ab81cf
slides	023_advanced_powerpoint_scatter.pptx	1	11	0	e3fa7ce0e1f1fb4df8c65addaf144b62
slides	032_advanced_powerpoint_bubble.pptx	1	11	0	89ee3170a4fa767f45f064d2fe7a4a3c
slides	024_advanced_powerpoint_bubble.pptx	1	11	0	6d776aa110ba1341eb8435000a520aa2
slides	006_advanced_powerpoint_area.pptx	1	30	0	58ddba8404320de553a1cd15cdab192e
slides	014_advanced_powerpoint_area.pptx	1	30	0	ec15c568eaa3d0d33c38ae98539fac54
slides	030_advanced_powerpoint_area.pptx	1	30	0	5aee96ff8f5727b54b7d0e3e8c2e3351
slides	001_advanced_powerpoint_bar.pptx	1	30	0	10c539fad491aabad28b14287fb04325
slides	017_advanced_powerpoint_bar.pptx	1	30	0	22a556584e231864286fa5d0ab6b4e7b
slides	033_advanced_powerpoint_bar.pptx	1	30	0	01c5d50c62964435d4e39034d35ae298
slides	019_advanced_powerpoint_line.pptx	1	30	0	9a1e6521c82c78a5063eb9e06d23c5a9
slides	003_advanced_powerpoint_line.pptx	1	30	0	e2667bb368f4b10cbce5a322d7b8148d
slides	002_advanced_powerpoint_column.pptx	1	30	0	113e098aa34336798a09a54df9cc3621
slides	010_advanced_powerpoint_column.pptx	1	30	0	a5b39e5df69fcd2ab28393e34cc9d005
slides	011_advanced_powerpoint_line.pptx	1	30	0	a1e65f95c7c78202184865827f7ccc7e
slides	027_advanced_powerpoint_line.pptx	1	30	0	43c92cb42652b2f64e15b72bdfa9414c
slides	012_advanced_powerpoint_pie.pptx	1	21	0	ed3a98879a5f089c1716ec838ad5a8af
slides	028_advanced_powerpoint_pie.pptx	1	21	0	660a3651773de0b900dfcb64a2b09124
slides	005_advanced_powerpoint_doughnut.pptx	1	21	0	346d6449d9cc38d760a25a5707005f6e
slides	009_advanced_powerpoint_bar.pptx	1	30	0	e3ae42c5e282f207c0566f282a08300c
slides	021_advanced_powerpoint_doughnut.pptx	1	21	0	3b1ac8168afbae5721f4af419e2bbe58
slides	025_advanced_powerpoint_bar.pptx	1	30	0	9f5f0fbf756220ba94e869693b88484c
slides	026_advanced_powerpoint_column.pptx	1	30	0	74577b762d3b4b52d42d7c7afefe5219
slides	013_advanced_powerpoint_doughnut.pptx	1	21	0	7c2b47be2d42570dbe02948676aebbd3
slides	029_advanced_powerpoint_doughnut.pptx	1	21	0	5a6769d29ad7b4302e691686e7888b85
slides	004_advanced_powerpoint_pie.pptx	1	21	0	822ac9cbd2c45270f43c057ca8bb3f84
slides	020_advanced_powerpoint_pie.pptx	1	21	0	848e8265fd75cb019aeeb0ac7da20089
slides	022_advanced_powerpoint_area.pptx	1	30	0	2b996ece9d34006a10b94fba9df3460e
slides	018_advanced_powerpoint_column.pptx	1	30	0	e40d646b32186fd667ea8a244a482be3
words	027_Unit_Circle_Chart_Graphical_Chart_5462a579.docx	1	91	0	660e2f9a85224ff23203e58ef2a7cacd
words	023_Unit_Circle_Chart_Circular_Percentage_790f7b75.docx	1	20	0	bb3181f67b412d11fcf6e73a07978adb
words	028_Unit_Circle_Chart_Optimized_Graph_83d9c756.docx	1	110	0	ae8f8ace582ea672dc4a7a181ba82a14
words	029_Unit_Circle_Chart_Pie_Theme_8a922142.docx	1	20	0	43465ca6fc5ba7bae5843faca85abece
words	021_Unit_Circle_Chart_3D_Pie_Chart_404247ab.docx	1	16	0	82e44a66ea6a3ff943e0fd306399b46b
slides	076_Hexadonut_Charts_for_PowerPoint_and_Google_Slides_2b879835.pptx	3	58	0	8614575427cd9cbfbc4c4f1bd924554f
slides	031_Alarm_Clock_Pie-Chart_for_PowerPoint_and_Google_Slides_0b185a05.pptx	3	84	0	8851319f23d77154765dbf7d6f462e10
slides	044_Dual_Mind_Spark_Chart_for_PowerPoint_a83f890a.pptx	4	117	0	8c1ff4d110193b2c7784a6ea6cff65f2
slides	035_Chemistry_Column_PowerPoint_Chart_45bf8a76.pptx	3	122	0	d99e1155500b8d8e82911fdee45b6ee2
slides	047_Female_Radar_Brain_for_PowerPoint_and_Google_Slides_c2a541f6.pptx	4	117	0	2ed2cc0cd6d940bfea874f777b801986
slides	096_Lab_Flask_Charts_for_PowerPoint_and_Google_Slides_91e3cbb5.pptx	3	52	0	6f39d65bc07deb30afa9eef249af8ab8
slides	038_Competitive_Advantage_Card_for_PowerPoint_and_Google_Slides_373720f6.pptx	3	108	0	baa3618f590f204ed6944819273ae39c
slides	072_Gear_Pie_Chart_for_PowerPoint_and_Google_Slides_d464d3a0.pptx	3	52	0	39149bd132a9f0c26e4d585f4a67cd12
slides	100_Lime_and_Lemon_Data-Driven_Chart_for_PowerPoint_d7bb4a44.pptx	5	154	0	51d72c27c4e2b689081880d2f78a79c3
slides	033_Battery_Percentage_Chart_c99c24b5.pptx	3	63	0	c493acf439f26d60eb5b8a90bfaf2265
slides	052_Flame_Percentage_Chart_d27d49c4.pptx	3	87	0	bbdcccd89175d4d2d713f216b16a1645
slides	093_Insightful_Zoom_Chart_22b5464e.pptx	3	77	0	5b3454b5c4dec48e83b2266bba184bc0
slides	061_Four-Stage_Serpentine_Chart_05699efe.pptx	3	41	0	a263fcebecb3ff9da0c3bf5df4518470
