track	face	size	pitch	pitch_pixel	pitch_exact	offset	offset_pixel	offset_exact
slides	Liberation Sans	7	7.5118	7.5118	8.0493	2.2512	2.2535	2.3123
slides	Liberation Sans	8	9.0142	9.0142	9.1992	3.0038	3.0047	2.6426
slides	Liberation Sans	9	10.4881	10.4882	10.3491	3.0095	3.0047	2.9729
slides	Liberation Sans	10	11.2535	11.2535	11.4990	3.3851	3.3874	3.3032
slides	Liberation Sans	11	12.7559	12.7559	12.6489	4.1093	4.1102	3.6335
slides	Liberation Sans	12	12.7559	12.7559	13.7988	4.1093	4.1102	3.9639
slides	Liberation Sans	13	14.2583	14.2583	14.9487	4.1221	4.1244	4.2942
slides	Liberation Sans	14	15.7606	15.7606	16.0986	4.8803	4.8756	4.6245
slides	Liberation Sans	16	17.2630	17.2630	18.3984	5.6244	5.6268	5.2852
slides	Liberation Sans	18	20.2394	20.2394	20.6982	6.3770	6.3780	5.9458
slides	Liberation Sans	20	22.5070	22.5071	22.9980	6.7484	6.7465	6.6064
slides	Liberation Sans	24	27.0142	27.0142	27.5977	8.2351	8.2346	7.9277
slides	Liberation Serif	7	7.5118	7.5118	8.0493	2.2512	2.2535	2.2131
slides	Liberation Serif	8	9.0142	9.0142	9.1992	3.0038	3.0047	2.5293
slides	Liberation Serif	9	10.4881	10.4882	10.3491	3.0095	3.0047	2.8455
slides	Liberation Serif	10	11.2535	11.2535	11.4990	3.3851	3.3874	3.1616
slides	Liberation Serif	11	11.9905	11.9906	12.6489	3.7536	3.7559	3.4778
slides	Liberation Serif	12	12.7559	12.7559	13.7988	4.1093	4.1102	3.7939
slides	Liberation Serif	13	14.2583	14.2583	14.9487	4.1221	4.1244	4.1101
slides	Liberation Serif	14	15.7606	15.7606	16.0986	4.8803	4.8756	4.4263
slides	Liberation Serif	16	18.0000	18.0000	18.3984	5.2559	5.2583	5.0586
slides	Liberation Serif	18	19.5023	19.5024	20.6982	6.0142	6.0094	5.6909
slides	Liberation Serif	20	22.5070	22.5071	22.9980	6.7484	6.7465	6.3232
slides	Liberation Serif	24	27.0142	27.0142	27.5977	8.2351	8.2346	7.5879
slides	Carlito	7	8.2489	8.2488	8.5449	2.6197	2.6220	2.3926
slides	Carlito	8	9.7511	9.7512	9.7656	2.6409	2.6362	2.7344
slides	Carlito	9	10.4881	10.4882	10.9863	3.0066	3.0047	3.0762
slides	Carlito	10	11.2535	11.2535	12.2070	3.3879	3.3874	3.4180
slides	Carlito	11	13.4929	13.4929	13.4277	3.7465	3.7417	3.7598
slides	Carlito	12	14.2583	14.2583	14.6484	4.1249	4.1244	4.1016
slides	Carlito	13	15.7606	15.7606	15.8691	4.1121	4.1102	4.4434
slides	Carlito	14	17.2630	17.2630	17.0898	4.8591	4.8614	4.7852
slides	Carlito	16	19.5024	19.5024	19.5312	5.2460	5.2441	5.4688
slides	Carlito	18	21.7700	21.7701	21.9727	6.3770	6.3780	6.1523
slides	Carlito	20	24.7464	24.7465	24.4141	7.1325	7.1291	6.8359
slides	Carlito	24	29.2536	29.2535	29.2969	7.8850	7.8803	8.2031
words	Liberation Sans	7	7.5118	7.5118	8.0493	2.2535	2.2535	2.3123
words	Liberation Sans	8	9.0142	9.0142	9.1992	3.0047	3.0047	2.6426
words	Liberation Sans	9	10.4882	10.4882	10.3491	3.0047	3.0047	2.9729
words	Liberation Sans	10	11.2536	11.2535	11.4990	3.3874	3.3874	3.3032
words	Liberation Sans	11	12.7559	12.7559	12.6489	4.1102	4.1102	3.6335
words	Liberation Sans	12	12.7559	12.7559	13.7988	4.1102	4.1102	3.9639
words	Liberation Sans	13	14.2583	14.2583	14.9487	4.1244	4.1244	4.2942
words	Liberation Sans	14	15.7606	15.7606	16.0986	4.8756	4.8756	4.6245
words	Liberation Sans	16	17.2630	17.2630	18.3984	5.6268	5.6268	5.2852
words	Liberation Sans	18	20.2394	20.2394	20.6982	6.3780	6.3780	5.9458
words	Liberation Sans	20	22.5071	22.5071	22.9980	6.7465	6.7465	6.6064
words	Liberation Sans	24	27.0141	27.0142	27.5977	8.2347	8.2346	7.9277
words	Liberation Serif	7	7.5118	7.5118	8.0493	2.2535	2.2535	2.2131
words	Liberation Serif	8	9.0142	9.0142	9.1992	3.0047	3.0047	2.5293
words	Liberation Serif	9	10.4882	10.4882	10.3491	3.0047	3.0047	2.8455
words	Liberation Serif	10	11.2536	11.2535	11.4990	3.3874	3.3874	3.1616
words	Liberation Serif	11	11.9905	11.9906	12.6489	3.7559	3.7559	3.4778
words	Liberation Serif	12	12.7559	12.7559	13.7988	4.1102	4.1102	3.7939
words	Liberation Serif	13	14.2583	14.2583	14.9487	4.1244	4.1244	4.1101
words	Liberation Serif	14	15.7606	15.7606	16.0986	4.8756	4.8756	4.4263
words	Liberation Serif	16	18.0000	18.0000	18.3984	5.2583	5.2583	5.0586
words	Liberation Serif	18	19.5024	19.5024	20.6982	6.0094	6.0094	5.6909
words	Liberation Serif	20	22.5071	22.5071	22.9980	6.7465	6.7465	6.3232
words	Liberation Serif	24	27.0141	27.0142	27.5977	8.2347	8.2346	7.5879
words	Carlito	7	8.2489	8.2488	8.5449	2.6221	2.6220	2.3926
words	Carlito	8	9.7512	9.7512	9.7656	2.6362	2.6362	2.7344
words	Carlito	9	10.4882	10.4882	10.9863	3.0047	3.0047	3.0762
words	Carlito	10	11.2536	11.2535	12.2070	3.3874	3.3874	3.4180
words	Carlito	11	13.4930	13.4929	13.4277	3.7417	3.7417	3.7598
words	Carlito	12	14.2582	14.2583	14.6484	4.1244	4.1244	4.1016
