track	face	size	pitch	pitch_pixel	pitch_exact	offset	offset_pixel	offset_exact
slides	Liberation Sans	7	7.7953	7.5118	8.0493	2.4525	2.2535	2.3123
slides	Liberation Sans	8	9.0142	9.0142	9.1992	2.8082	3.0047	2.6426
slides	Liberation Sans	9	10.0914	10.4882	10.3491	3.1200	3.0047	2.9729
slides	Liberation Sans	10	11.1685	11.2535	11.4990	3.4233	3.3874	3.3032
slides	Liberation Sans	11	12.2457	12.7559	12.6489	3.8287	4.1102	3.6335
slides	Liberation Sans	12	13.4362	12.7559	13.7988	4.1972	4.1102	3.9639
slides	Liberation Sans	13	14.5134	14.2583	14.9487	4.5090	4.1244	4.2942
slides	Liberation Sans	14	15.7322	15.7606	16.0986	4.8619	4.8756	4.6245
slides	Liberation Sans	16	17.7732	17.2630	18.3984	5.5139	5.6268	5.2852
slides	Liberation Sans	18	20.1543	20.2394	20.6982	6.2509	6.3780	5.9458
slides	Liberation Sans	20	22.3087	22.5071	22.9980	6.9567	6.7465	6.6064
slides	Liberation Sans	24	26.7591	27.0142	27.5977	8.3386	8.2346	7.9277
slides	Liberation Serif	7	7.7953	7.5118	8.0493	2.3391	2.2535	2.2131
slides	Liberation Serif	8	8.8725	9.0142	9.1992	2.7643	3.0047	2.5293
slides	Liberation Serif	9	9.9779	10.4882	10.3491	3.0633	3.0047	2.8455
slides	Liberation Serif	10	11.0268	11.2535	11.4990	3.3595	3.3874	3.1616
slides	Liberation Serif	11	12.2457	11.9906	12.6489	3.7068	3.7559	3.4778
slides	Liberation Serif	12	13.3229	12.7559	13.7988	4.0271	4.1102	3.7939
slides	Liberation Serif	13	14.2866	14.2583	14.9487	4.3588	4.1244	4.1101
slides	Liberation Serif	14	15.4772	15.7606	16.0986	4.7272	4.8756	4.4263
slides	Liberation Serif	16	17.7732	18.0000	18.3984	5.3977	5.2583	5.0586
slides	Liberation Serif	18	19.9276	19.5024	20.6982	6.1091	6.0094	5.6909
slides	Liberation Serif	20	22.1952	22.5071	22.9980	6.7866	6.7465	6.3232
slides	Liberation Serif	24	26.5323	27.0142	27.5977	8.1118	8.2346	7.5879
slides	Carlito	7	8.5323	8.2488	8.5449	2.3362	2.6220	2.3926
slides	Carlito	8	9.8362	9.7512	9.7656	2.7614	2.6362	2.7344
slides	Carlito	9	10.9418	10.4882	10.9863	3.0633	3.0047	3.0762
slides	Carlito	10	12.1322	11.2535	12.2070	3.4034	3.3874	3.4180
slides	Carlito	11	13.5779	13.4929	13.4277	3.7819	3.7417	3.7598
slides	Carlito	12	14.6267	14.2583	14.6484	4.0810	4.1244	4.1016
slides	Carlito	13	15.8457	15.7606	15.8691	4.4339	4.1102	4.4434
slides	Carlito	14	17.0362	17.2630	17.0898	4.8024	4.8614	4.7852
slides	Carlito	16	19.5590	19.5024	19.5312	5.4699	5.2441	5.4688
slides	Carlito	18	21.9685	21.7701	21.9727	6.1630	6.3780	6.1523
slides	Carlito	20	24.4914	24.7465	24.4141	6.8277	7.1291	6.8359
slides	Carlito	24	29.2819	29.2535	29.2969	8.1501	7.8803	8.2031
words	Liberation Sans	7	8.0493	7.5118	8.0493	2.3123	2.2535	2.3123
words	Liberation Sans	8	9.1992	9.0142	9.1992	2.6426	3.0047	2.6426
words	Liberation Sans	9	10.3492	10.4882	10.3491	2.9729	3.0047	2.9729
words	Liberation Sans	10	11.4991	11.2535	11.4990	3.3032	3.3874	3.3032
words	Liberation Sans	11	12.6489	12.7559	12.6489	3.6336	4.1102	3.6335
words	Liberation Sans	12	13.7988	12.7559	13.7988	3.9639	4.1102	3.9639
words	Liberation Sans	13	14.9488	14.2583	14.9487	4.2943	4.1244	4.2942
words	Liberation Sans	14	16.0987	15.7606	16.0986	4.6246	4.8756	4.6245
words	Liberation Sans	16	18.3985	17.2630	18.3984	5.2852	5.6268	5.2852
words	Liberation Sans	18	20.6982	20.2394	20.6982	5.9458	6.3780	5.9458
words	Liberation Sans	20	22.9980	22.5071	22.9980	6.6064	6.7465	6.6064
words	Liberation Sans	24	27.5976	27.0142	27.5977	7.9277	8.2346	7.9277
words	Liberation Serif	7	8.0493	7.5118	8.0493	2.2131	2.2535	2.2131
words	Liberation Serif	8	9.1992	9.0142	9.1992	2.5293	3.0047	2.5293
words	Liberation Serif	9	10.3491	10.4882	10.3491	2.8455	3.0047	2.8455
words	Liberation Serif	10	11.4991	11.2535	11.4990	3.1616	3.3874	3.1616
words	Liberation Serif	11	12.6489	11.9906	12.6489	3.4779	3.7559	3.4778
words	Liberation Serif	12	13.7989	12.7559	13.7988	3.7940	4.1102	3.7939
words	Liberation Serif	13	14.9488	14.2583	14.9487	4.1102	4.1244	4.1101
words	Liberation Serif	14	16.0987	15.7606	16.0986	4.4263	4.8756	4.4263
words	Liberation Serif	16	18.3984	18.0000	18.3984	5.0586	5.2583	5.0586
words	Liberation Serif	18	20.6983	19.5024	20.6982	5.6909	6.0094	5.6909
words	Liberation Serif	20	22.9980	22.5071	22.9980	6.3232	6.7465	6.3232
words	Liberation Serif	24	27.5976	27.0142	27.5977	7.5879	8.2346	7.5879
words	Carlito	7	8.5450	8.2488	8.5449	2.3926	2.6220	2.3926
words	Carlito	8	9.7656	9.7512	9.7656	2.7343	2.6362	2.7344
words	Carlito	9	10.9863	10.4882	10.9863	3.0762	3.0047	3.0762
words	Carlito	10	12.2070	11.2535	12.2070	3.4180	3.3874	3.4180
words	Carlito	11	13.4277	13.4929	13.4277	3.7597	3.7417	3.7598
words	Carlito	12	14.6484	14.2583	14.6484	4.1015	4.1244	4.1016
words	Carlito	13	15.8691	15.7606	15.8691	4.4434	4.1102	4.4434
words	Carlito	14	17.0899	17.2630	17.0898	4.7852	4.8614	4.7852
words	Carlito	16	19.5312	19.5024	19.5312	5.4688	5.2441	5.4688
words	Carlito	18	21.9726	21.7701	21.9727	6.1524	6.3780	6.1523
words	Carlito	20	24.4141	24.7465	24.4141	6.8359	7.1291	6.8359
words	Carlito	24	29.2969	29.2535	29.2969	8.2032	7.8803	8.2031
