track   binary    face               sz  hpx    pitch  pixel law     err    exact     err
slides  24.2.7.2  Liberation Sans     7    9    7.511      7.512  -0.001    8.049  -0.538
slides  26.2.4.2  Liberation Sans     7    9    7.511      7.512  -0.001    8.049  -0.538
slides  24.2.7.2  Liberation Sans     8   11    9.013      9.014  -0.001    9.199  -0.186
slides  26.2.4.2  Liberation Sans     8   11    9.013      9.014  -0.001    9.199  -0.186
slides  24.2.7.2  Liberation Sans     9   12   10.488     10.488  -0.001   10.349  +0.138
slides  26.2.4.2  Liberation Sans     9   12   10.488     10.488  -0.001   10.349  +0.138
slides  24.2.7.2  Liberation Sans    10   13   11.253     11.254  -0.001   11.499  -0.246
slides  26.2.4.2  Liberation Sans    10   13   11.252     11.254  -0.001   11.499  -0.247
slides  24.2.7.2  Liberation Sans    11   15   12.755     12.756  -0.001   12.649  +0.106
slides  26.2.4.2  Liberation Sans    11   15   12.755     12.756  -0.001   12.649  +0.106
slides  24.2.7.2  Liberation Sans    12   16   12.755     12.756  -0.001   13.799  -1.044
slides  26.2.4.2  Liberation Sans    12   16   12.755     12.756  -0.001   13.799  -1.044
slides  24.2.7.2  Liberation Sans    13   17   14.257     14.258  -0.001   14.949  -0.692
slides  26.2.4.2  Liberation Sans    13   17   14.257     14.258  -0.001   14.949  -0.692
slides  24.2.7.2  Liberation Sans    14   19   15.760     15.761  -0.001   16.099  -0.339
slides  26.2.4.2  Liberation Sans    14   19   15.760     15.761  -0.001   16.099  -0.339
slides  24.2.7.2  Liberation Sans    16   21   17.261     17.263  -0.001   18.398  -1.137
slides  26.2.4.2  Liberation Sans    16   21   17.262     17.263  -0.001   18.398  -1.137
slides  24.2.7.2  Liberation Sans    18   24   20.238     20.239  -0.001   20.698  -0.460
slides  26.2.4.2  Liberation Sans    18   24   20.238     20.239  -0.001   20.698  -0.460
slides  24.2.7.2  Liberation Sans    20   27   22.505     22.507  -0.002   22.998  -0.493
slides  26.2.4.2  Liberation Sans    20   27   22.505     22.507  -0.002   22.998  -0.493
slides  24.2.7.2  Liberation Sans    24   32   27.012     27.014  -0.002   27.598  -0.586
slides  26.2.4.2  Liberation Sans    24   32   27.012     27.014  -0.002   27.598  -0.586
slides  24.2.7.2  Liberation Serif    7    9    7.511      7.512  -0.001    8.049  -0.538
slides  26.2.4.2  Liberation Serif    7    9    7.511      7.512  -0.001    8.049  -0.538
slides  24.2.7.2  Liberation Serif    8   11    9.013      9.014  -0.001    9.199  -0.186
slides  26.2.4.2  Liberation Serif    8   11    9.013      9.014  -0.001    9.199  -0.186
slides  24.2.7.2  Liberation Serif    9   12   10.488     10.488  -0.001   10.349  +0.138
slides  26.2.4.2  Liberation Serif    9   12   10.488     10.488  -0.001   10.349  +0.138
