track   binary    face               sz   n   offset    pixel     err    exact     err  spread
slides  24.2.7.2  Liberation Sans     7  10    2.264    2.254  +0.011    2.312  -0.048   0.026
slides  26.2.4.2  Liberation Sans     7  10    2.293    2.254  +0.039    2.312  -0.020   0.026
slides  24.2.7.2  Liberation Sans     8  10    3.001    3.005  -0.003    2.643  +0.359   0.026
slides  26.2.4.2  Liberation Sans     8  10    3.030    3.005  +0.025    2.643  +0.387   0.026
slides  24.2.7.2  Liberation Sans     9  10    3.001    3.005  -0.003    2.973  +0.028   0.027
slides  26.2.4.2  Liberation Sans     9  10    3.030    3.005  +0.025    2.973  +0.057   0.027
slides  24.2.7.2  Liberation Sans    10  10    3.398    3.387  +0.011    3.303  +0.095   0.026
slides  26.2.4.2  Liberation Sans    10  10    3.426    3.387  +0.039    3.303  +0.123   0.027
slides  24.2.7.2  Liberation Sans    11  10    4.107    4.110  -0.003    3.634  +0.473   0.026
slides  26.2.4.2  Liberation Sans    11  10    4.135    4.110  +0.025    3.634  +0.502   0.026
slides  24.2.7.2  Liberation Sans    12  10    4.107    4.110  -0.003    3.964  +0.143   0.026
slides  26.2.4.2  Liberation Sans    12  10    4.135    4.110  +0.025    3.964  +0.171   0.026
slides  24.2.7.2  Liberation Sans    13  10    4.135    4.124  +0.011    4.294  -0.159   0.027
slides  26.2.4.2  Liberation Sans    13  10    4.163    4.124  +0.039    4.294  -0.131   0.027
slides  24.2.7.2  Liberation Sans    14  10    4.872    4.876  -0.004    4.625  +0.247   0.026
slides  26.2.4.2  Liberation Sans    14  10    4.900    4.876  +0.024    4.625  +0.275   0.026
slides  24.2.7.2  Liberation Sans    16  10    5.637    5.627  +0.010    5.285  +0.352   0.026
slides  26.2.4.2  Liberation Sans    16  10    5.666    5.627  +0.039    5.285  +0.381   0.026
slides  24.2.7.2  Liberation Sans    18  10    6.374    6.378  -0.004    5.946  +0.428   0.026
slides  26.2.4.2  Liberation Sans    18  10    6.402    6.378  +0.024    5.946  +0.457   0.026
slides  24.2.7.2  Liberation Sans    20  10    6.743    6.746  -0.004    6.606  +0.136   0.026
slides  26.2.4.2  Liberation Sans    20  10    6.771    6.746  +0.024    6.606  +0.164   0.026
slides  24.2.7.2  Liberation Sans    24   5    8.247    8.235  +0.012    7.928  +0.319   0.023
slides  26.2.4.2  Liberation Sans    24   5    8.275    8.235  +0.040    7.928  +0.347   0.023
slides  24.2.7.2  Liberation Serif    7  10    2.264    2.254  +0.011    2.213  +0.051   0.026
slides  26.2.4.2  Liberation Serif    7  10    2.293    2.254  +0.039    2.213  +0.080   0.026
slides  24.2.7.2  Liberation Serif    8  10    3.001    3.005  -0.003    2.529  +0.472   0.026
slides  26.2.4.2  Liberation Serif    8  10    3.030    3.005  +0.025    2.529  +0.501   0.026
