# glyphs = sum(1 for c in pdftotext(pdf) if c.isalnum()), the gate's own column 9
# keeping = SheetPageGraphics ClipPathKeepingText (this tree); hiding = the same line as ClipPath
# in_band = NOT (|glyphs-ref| > 2% of ref AND |glyphs-ref| > 15), batch-check.sh:298-302
document	refglyphs	keeping	hiding	lost	in_band_keeping	in_band_hiding
001_advanced_excel_bar__xlsx	472	472	463	9	1	1
002_advanced_excel_line__xlsx	466	466	456	10	1	1
003_Contextures_chart_sample_9bda2719__xlsm	1426	1426	1419	7	1	1
003_advanced_excel_pie__xlsx	479	479	466	13	1	1
004_advanced_excel_doughnut__xlsx	375	375	372	3	1	1
005_Contextures_chart_sample_6e279b08__xlsx	1456	1456	1434	22	1	1
005_advanced_excel_area__xlsx	447	447	438	9	1	1
006_Contextures_chart_sample_afa23b53__xlsx	816	822	810	12	1	1
006_advanced_excel_scatter__xlsx	420	420	412	8	1	1
007_advanced_excel_bubble__xlsx	418	418	410	8	1	1
008_Contextures_chart_sample_7ea7a1d7__xlsx	807	807	795	12	1	1
008_advanced_excel_radar__xlsx	415	415	406	9	1	1
009_advanced_excel_bar__xlsx	495	495	486	9	1	1
010_Contextures_chart_sample_e6ea06a3__xlsx	1044	1044	1039	5	1	1
010_advanced_excel_line__xlsx	461	461	451	10	1	1
011_advanced_excel_pie__xlsx	457	457	452	5	1	1
012_Contextures_chart_sample_9900da76__xlsx	648	648	622	26	1	0
012_advanced_excel_doughnut__xlsx	400	400	400	0	1	1
013_Contextures_chart_sample_21b98e22__xlsx	830	830	814	16	1	1
013_advanced_excel_area__xlsx	433	433	426	7	1	1
014_Contextures_chart_sample_991ecfc5__xls	561	564	564	0	1	1
014_advanced_excel_scatter__xlsx	432	432	424	8	1	1
015_advanced_excel_bubble__xlsx	428	428	419	9	1	1
016_Free_Organizational_Chart_Template_-_Company_Organization_Chart_db913144__xlsx	1419	1419	1419	0	1	1
016_advanced_excel_radar__xlsx	422	422	418	4	1	1
017_advanced_excel_bar__xlsx	488	488	479	9	1	1
018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a__xlsx	4809	4812	4760	52	1	1
018_advanced_excel_line__xlsx	447	447	434	13	1	1
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782__xlsx	3660	3664	3522	142	1	0
019_advanced_excel_pie__xlsx	476	476	458	18	1	0
020_advanced_excel_doughnut__xlsx	374	374	372	2	1	1
021_advanced_excel_area__xlsx	455	455	449	6	1	1
022_Pareto_Chart_Template_-_Pareto_Analysis_in_Excel_with_Pareto_Diagram_82b5a874__xlsx	937	941	941	0	1	1
022_advanced_excel_scatter__xlsx	423	422	415	7	1	1
023_advanced_excel_bubble__xlsx	425	425	416	9	1	1
024_advanced_excel_radar__xlsx	423	423	419	4	1	1
025_advanced_excel_bar__xlsx	440	440	430	10	1	1
026_advanced_excel_line__xlsx	454	454	440	14	1	1
027_advanced_excel_pie__xlsx	451	451	446	5	1	1
028_advanced_excel_doughnut__xlsx	374	374	372	2	1	1
029_advanced_excel_area__xlsx	444	444	435	9	1	1
030_Basic_balance_sheet_Use_this_template_10ed9144__xlsx	1624	1727	1638	89	0	1
030_advanced_excel_scatter__xlsx	421	421	415	6	1	1
031_advanced_excel_bubble__xlsx	404	404	398	6	1	1
032_advanced_excel_radar__xlsx	412	412	403	9	1	1
033_advanced_excel_bar__xlsx	454	454	442	12	1	1
034_advanced_excel_line__xlsx	465	465	455	10	1	1
036_Simple_to-do_list_Use_this_template_ba44373b__xlsx	349	354	346	8	1	1
044_Cash_flow_forecast_Use_this_template_b8fa1f35__xlsx	2336	2332	2261	71	1	0
053_Personal_asset_inventory_5446d84b__xlsx	226	257	239	18	0	1
056_Quarterly_sale_report_baa6bb0d__xlsx	629	629	624	5	1	1
064_Small_business_cash_flow_Use_this_template_0a640756__xlsx	1776	1801	1701	100	1	0
068_Blue_inventory_list_Use_this_template_f9908489__xlsx	1199	1199	1199	0	1	1
076_Inventory_list_accessibility_guide_Use_this_template_f43dab19__xlsx	4782	4793	4793	0	1	1
AFS-400_Contacts__xlsx	43685	43685	43685	0	1	1
Air_Boss_Master_List__xlsx	2820	2821	2821	0	1	1
CSJU List of Recipients of funds 2013-2020__xlsx	270627	270623	270623	0	1	1
DynamicBubbleChart__xlsx	1728	1723	1712	11	1	1
EHEST-Pre-departure-checklist-Rev.-1-06-12-2016__xls	39744	39506	38538	968	1	0
Foreign_SA-CAT-I_and_CAT-II-III_Pub_0__xlsx	7846	7846	7835	11	1	1
INDEX_Digital_Transformation_Toolkits__xls	14956	14956	14956	0	1	1
Keywords_Mapping_Graphs_and_Charts__xlsx	27201	27295	26166	1129	1	0
PC1000__xls	3831	3783	3783	0	1	1
SIL_TDB605__xls	18693	18688	18688	0	1	1
SIL_TDB609__xls	22688	22685	22685	0	1	1
SIL_TDB648__xlsx	30896	30893	30893	0	1	1
SSRO_Quarterly_Statistical_Bulletin_Q3201617_DATA__xlsx	2799	2798	2791	7	1	1
TDA_Smoke-Detectors__xlsx	18137	18138	18138	0	1	1
TOGAF9-Tool-ConfReqts-CSQ__xls	155723	156426	156426	0	1	1
Template Pilot Logbook JAR-FCL V3.0__xls	5643	5612	5589	23	1	1
arp-sop-300-Exhibit-A-Table-Templates__xlsx	19812	19533	19533	0	1	1
