identity	path	ext	status	pages_ours	pages_ref	size_diff_pages	chars_ours	chars_ref	draws_ours	draws_ref	fills_ours	fills_ref	strokes_ours	strokes_ref	images_ours	images_ref
2020-01-29-Lease-Transition-Records-Checklist-FINAL-1__xlsx	sheets/ceiling-001/xlsx/2020-01-29-Lease-Transition-Records-Checklist-FINAL-1.xlsx	xlsx	ok	5	5	0	13858	13855	475	202	304	25	171	177	0	0
2017-04-27-Lease-Transition-Records-Checklist-FINAL-1__xlsx	sheets/ceiling-001/xlsx/2017-04-27-Lease-Transition-Records-Checklist-FINAL-1.xlsx	xlsx	ok	5	5	0	13858	13855	475	202	304	25	171	177	0	0
Template Pilot Logbook JAR-FCL V3.0__xls	sheets/ceiling-001/xls/Template Pilot Logbook JAR-FCL V3.0.xls	xls	ok	38	38	0	6243	6239	6112	3689	2628	147	3484	3558	0	0
EASA-IFP-WEBLISTNOODATA-ListsofForeignapprovals(WEB)_NewChart_2022-08-05-03-31-32__xlsx	sheets/ceiling-001/xlsx/EASA-IFP-WEBLISTNOODATA-ListsofForeignapprovals(WEB)_NewChart_2022-08-05-03-31-32.xlsx	xlsx	ok	19	19	0	33641	33639	0	0	0	0	0	0	0	0
001_advanced_excel_bar__xlsx	sheets/chartset-001/xlsx/001_advanced_excel_bar.xlsx	xlsx	ok	3	3	0	474	474	124	124	100	100	26	26	0	0
005_advanced_excel_area__xlsx	sheets/chartset-001/xlsx/005_advanced_excel_area.xlsx	xlsx	ok	3	3	0	454	454	60	60	34	34	28	28	0	0
006_advanced_excel_scatter__xlsx	sheets/chartset-001/xlsx/006_advanced_excel_scatter.xlsx	xlsx	ok	3	3	0	431	431	64	64	22	22	44	44	0	0
EASA-IFP-145Scope(WEB)_ALL_ValidF145SOA_2022-12-16-04-31-58_0__xlsx	sheets/ceiling-001/xlsx/EASA-IFP-145Scope(WEB)_ALL_ValidF145SOA_2022-12-16-04-31-58_0.xlsx	xlsx	ok	114	114	0	199306	199306	0	0	0	0	0	0	0	0
022_advanced_excel_scatter__xlsx	sheets/chartset-001/xlsx/022_advanced_excel_scatter.xlsx	xlsx	ok	3	3	0	434	434	64	64	22	22	44	44	0	0
025_advanced_excel_bar__xlsx	sheets/chartset-001/xlsx/025_advanced_excel_bar.xlsx	xlsx	ok	3	3	0	447	447	126	126	100	100	28	28	0	0
002_advanced_excel_line__xlsx	sheets/chartset-001/xlsx/002_advanced_excel_line.xlsx	xlsx	ok	3	3	0	466	466	58	58	22	22	38	38	0	0
