path	brs_in_txbx	br_run_states_size	br_run_smaller_than_mark
words/chartset-011/docx/065_Work_Breakdown_Structure_Template_Blue_Theme_2b207f62.docx	98	98	96
words/chartset-010/docx/067_Work_Breakdown_Structure_Template_Gray_Theme_89f8be8b.docx	62	62	62
words/chartset-010/docx/066_Work_Breakdown_Structure_Template_Colored_Background_c27ff248.docx	56	56	56
words/chartset-011/docx/068_Work_Breakdown_Structure_Template_Green_Theme_63e69ed8.docx	36	36	33
words/chartset-006/docx/086_Printable_Graph_Paper_Template_Gray_Theme_7300e5d7.docx	16	16	16
words/chartset-005/docx/084_Printable_Graph_Paper_Template_Editable_Layout_d66c6820.docx	12	12	12
words/chartset-013/docx/069_Work_Breakdown_Structure_Template_Professional_Format_1e02dce1.docx	15	11	3
words/done-013/docx/gpp-pr-top-7-office-markets-4q-2023.docx	2	2	0
words/extra-001/docx/ABCD-WB-08-00 Weight and Balance Report - v1 08.03.16.docx	8	8	0
words/ceiling-001/docx/ABCD-FE-01-00 Flight Envelope - v1 08.03.16.docx	8	8	0
words/extra-001/docx/ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1.docx	22	22	0
words/chartset-010/docx/090_Business_Case_Template_Blue_Theme_108ff0f1.docx	9	9	0
words/chartset-012/docx/095_Business_Case_Template_Easy_Format_61de7128.docx	9	6	0
