label	count	rules
P0	1	0.7000@0.3000
P1	2	0.4000@0.2000 1.3000@0.2000
P2	1	-1.5000@0.3000
P3	1	0.9000@0.4000
P4	2	0.5000@0.3000 1.6000@0.3000
P5	1	-2.1000@0.4000
P6	1	1.1000@0.5000
P7	2	0.7000@0.3000 1.8000@0.3000
P8	1	-2.6000@0.5000
P9	1	1.3000@0.6000
P10	2	0.9000@0.4000 2.2000@0.4000
P11	1	-3.1000@0.6000
P12	1	1.8000@0.9000
P13	2	1.3000@0.5000 2.8000@0.5000
P14	1	-4.2000@0.9000
P15	1	2.6000@1.3000
P16	2	1.8000@0.8000 4.2000@0.8000
P17	1	-6.3000@1.3000
P18	1	5.2000@2.6000
P19	2	3.6000@1.6000 8.4000@1.6000
P20	1	-12.6000@2.6000
P21	1	0.7000@0.3000
P22	2	0.4000@0.2000 1.3000@0.2000
P23	1	-1.5000@0.3000
P24	1	0.9000@0.4000
P25	2	0.5000@0.3000 1.6000@0.2999
P26	1	-2.1000@0.4000
P27	1	1.2000@0.6000
P28	2	0.8000@0.4000 2.1000@0.4000
P29	1	-2.6000@0.6000
P30	1	1.4000@0.7000
P31	2	1.0000@0.4000 2.3000@0.4000
P32	1	-3.1000@0.7000
P33	1	1.8000@0.9000
P34	2	1.2000@0.6000 3.0000@0.6000
P35	1	-4.1000@0.9000
P36	1	2.7000@1.3000
P37	2	1.9000@0.8000 4.3000@0.8000
P38	1	-6.2000@1.3000
P39	1	5.3000@2.6000
P40	2	3.6000@1.7000 8.7000@1.7000
P41	1	-12.5000@2.6000
P42	1	1.0000@0.4000
P43	2	0.6000@0.3000 1.7000@0.3000
P44	1	-1.4000@0.4000
P45	1	1.3000@0.6000
P46	2	0.9000@0.4000 2.2000@0.4000
P47	1	-1.8000@0.6000
P48	1	1.6000@0.7000
P49	2	1.2000@0.4000 2.5000@0.4000
P50	1	-2.3000@0.7000
P51	1	1.9000@0.8000
P52	2	1.4000@0.5000 2.9000@0.5000
P53	1	-2.8000@0.8000
P54	1	2.5000@1.1000
P55	2	1.8000@0.7000 3.9000@0.7000
P56	1	-3.7000@1.1000
P57	1	3.7000@1.7000
P58	2	2.6000@1.1000 5.9000@1.1000
P59	1	-5.6000@1.7000
P60	1	7.3000@3.3000
P61	2	5.2000@2.1000 11.5000@2.1000
P62	1	-11.2000@3.3000
P63	1	0.7000@0.6000
P64	2	0.3000@0.4000 1.5000@0.4000
P65	1	-1.3000@0.4000
P66	1	0.9000@0.8000
P67	2	0.4000@0.6000 2.2000@0.6000
P68	1	-1.7000@0.6000
P69	1	1.1000@1.0000
P70	2	0.4000@0.7000 2.5000@0.7000
P71	1	-2.2000@0.7000
P72	1	1.3000@1.2000
P73	2	0.5000@0.8000 2.9000@0.8000
P74	1	-2.6000@0.8000
P75	1	1.7000@1.6000
P76	2	0.6000@1.1000 3.9000@1.1000
P77	1	-3.4999@1.1000
P78	1	2.4000@2.3000
P79	2	0.9000@1.6000 5.7000@1.6000
P80	1	-5.2000@1.6000
P81	1	4.8000@4.6000
P82	2	1.7000@3.1000 11.0001@3.1000
P83	1	-10.4000@3.2000
P84	1	0.6000@0.3000
P85	2	0.4000@0.2000 1.0000@0.2000
P86	1	-1.5000@0.3000
P87	1	0.8000@0.4000
P88	2	0.5000@0.3000 1.4000@0.3000
P89	1	-2.0000@0.4000
P90	1	1.0000@0.5000
P91	2	0.7000@0.4000 1.9000@0.4000
P92	1	-2.6000@0.5000
P93	1	1.2000@0.6000
P94	2	0.8000@0.4000 2.0000@0.4000
P95	1	-3.0000@0.6000
P96	1	1.6000@0.8000
P97	2	1.1000@0.6000 2.9000@0.6000
P98	1	-4.0000@0.8000
P99	1	2.4000@1.2000
P100	2	1.6000@0.8000 4.0000@0.8000
P101	1	-6.1000@1.2000
P102	1	4.8000@2.4000
P103	2	3.2000@1.6000 8.0000@1.6000
P104	1	-12.2000@2.4000
P105	1	0.3000@0.3000
P106	2	0.1000@0.2000 0.7000@0.2000
P107	1	-1.4000@0.3000
P108	1	0.4000@0.4000
P109	2	0.1000@0.3000 1.0000@0.3000
P110	1	-1.8000@0.4000
P111	1	0.4000@0.5000
P112	2	0.1000@0.3000 1.0000@0.3000
P113	1	-2.3000@0.5000
P114	1	0.6000@0.6000
P115	2	0.2000@0.4000 1.4000@0.4000
P116	1	-2.8000@0.6000
P117	1	0.8000@0.8000
P118	2	0.2000@0.5000 1.7000@0.5000
P119	1	-3.7000@0.8000
P120	1	1.0000@1.1000
P121	2	0.4000@0.8000 2.8000@0.8000
P122	1	-5.6000@1.2000
P123	1	2.1000@2.2000
P124	2	0.6000@1.5000 5.1000@1.5000
P125	1	-11.2000@2.4000
