label	face	size	kind
P0	Liberation Sans	6	single
P1	Liberation Sans	6	double
P2	Liberation Sans	6	strike
P3	Liberation Sans	8	single
P4	Liberation Sans	8	double
P5	Liberation Sans	8	strike
P6	Liberation Sans	10	single
P7	Liberation Sans	10	double
P8	Liberation Sans	10	strike
P9	Liberation Sans	12	single
P10	Liberation Sans	12	double
P11	Liberation Sans	12	strike
P12	Liberation Sans	16	single
P13	Liberation Sans	16	double
P14	Liberation Sans	16	strike
P15	Liberation Sans	24	single
P16	Liberation Sans	24	double
P17	Liberation Sans	24	strike
P18	Liberation Sans	48	single
P19	Liberation Sans	48	double
P20	Liberation Sans	48	strike
P21	Liberation Serif	6	single
P22	Liberation Serif	6	double
P23	Liberation Serif	6	strike
P24	Liberation Serif	8	single
P25	Liberation Serif	8	double
P26	Liberation Serif	8	strike
P27	Liberation Serif	10	single
P28	Liberation Serif	10	double
P29	Liberation Serif	10	strike
P30	Liberation Serif	12	single
P31	Liberation Serif	12	double
P32	Liberation Serif	12	strike
P33	Liberation Serif	16	single
P34	Liberation Serif	16	double
P35	Liberation Serif	16	strike
P36	Liberation Serif	24	single
P37	Liberation Serif	24	double
P38	Liberation Serif	24	strike
P39	Liberation Serif	48	single
P40	Liberation Serif	48	double
P41	Liberation Serif	48	strike
P42	Liberation Mono	6	single
P43	Liberation Mono	6	double
P44	Liberation Mono	6	strike
P45	Liberation Mono	8	single
P46	Liberation Mono	8	double
P47	Liberation Mono	8	strike
P48	Liberation Mono	10	single
P49	Liberation Mono	10	double
P50	Liberation Mono	10	strike
P51	Liberation Mono	12	single
P52	Liberation Mono	12	double
P53	Liberation Mono	12	strike
P54	Liberation Mono	16	single
P55	Liberation Mono	16	double
P56	Liberation Mono	16	strike
P57	Liberation Mono	24	single
P58	Liberation Mono	24	double
P59	Liberation Mono	24	strike
P60	Liberation Mono	48	single
P61	Liberation Mono	48	double
P62	Liberation Mono	48	strike
P63	Carlito	6	single
P64	Carlito	6	double
P65	Carlito	6	strike
P66	Carlito	8	single
P67	Carlito	8	double
P68	Carlito	8	strike
P69	Carlito	10	single
P70	Carlito	10	double
P71	Carlito	10	strike
P72	Carlito	12	single
P73	Carlito	12	double
P74	Carlito	12	strike
P75	Carlito	16	single
P76	Carlito	16	double
P77	Carlito	16	strike
P78	Carlito	24	single
P79	Carlito	24	double
P80	Carlito	24	strike
P81	Carlito	48	single
P82	Carlito	48	double
P83	Carlito	48	strike
P84	Caladea	6	single
P85	Caladea	6	double
P86	Caladea	6	strike
P87	Caladea	8	single
P88	Caladea	8	double
P89	Caladea	8	strike
P90	Caladea	10	single
P91	Caladea	10	double
P92	Caladea	10	strike
P93	Caladea	12	single
P94	Caladea	12	double
P95	Caladea	12	strike
P96	Caladea	16	single
P97	Caladea	16	double
P98	Caladea	16	strike
P99	Caladea	24	single
P100	Caladea	24	double
P101	Caladea	24	strike
P102	Caladea	48	single
P103	Caladea	48	double
P104	Caladea	48	strike
P105	DejaVu Sans	6	single
P106	DejaVu Sans	6	double
P107	DejaVu Sans	6	strike
P108	DejaVu Sans	8	single
P109	DejaVu Sans	8	double
P110	DejaVu Sans	8	strike
P111	DejaVu Sans	10	single
P112	DejaVu Sans	10	double
P113	DejaVu Sans	10	strike
P114	DejaVu Sans	12	single
P115	DejaVu Sans	12	double
P116	DejaVu Sans	12	strike
P117	DejaVu Sans	16	single
P118	DejaVu Sans	16	double
P119	DejaVu Sans	16	strike
P120	DejaVu Sans	24	single
P121	DejaVu Sans	24	double
P122	DejaVu Sans	24	strike
P123	DejaVu Sans	48	single
P124	DejaVu Sans	48	double
P125	DejaVu Sans	48	strike
