label	count	rules
P0	1	0.7090@0.3120
P1	2	0.3970@0.1980 1.3040@0.1980
P2	1	-1.5020@0.3120
P3	1	0.9070@0.3970
P4	2	0.5100@0.3120 1.6160@0.3120
P5	1	-2.0980@0.3970
P6	1	1.1060@0.5100
P7	2	0.7090@0.3120 1.8140@0.3120
P8	1	-2.6080@0.5100
P9	1	1.3040@0.5950
P10	2	0.9070@0.3970 2.2110@0.3970
P11	1	-3.0900@0.5950
P12	1	1.8140@0.9070
P13	2	1.3040@0.5100 2.8060@0.5100
P14	1	-4.1950@0.9070
P15	1	2.6080@1.3040
P16	2	1.8140@0.7940 4.1950@0.7940
P17	1	-6.2930@1.3040
P18	1	5.1870@2.6080
P19	2	3.6000@1.5870 8.3910@1.5870
P20	1	-12.6140@2.6080
P21	1	0.7090@0.3120
P22	2	0.3970@0.1980 1.3040@0.1980
P23	1	-1.5020@0.3120
P24	1	0.9070@0.3970
P25	2	0.5100@0.3120 1.6160@0.3120
P26	1	-2.0980@0.3970
P27	1	1.1910@0.5950
P28	2	0.7940@0.3970 2.0980@0.3970
P29	1	-2.6080@0.5950
P30	1	1.3890@0.7090
P31	2	0.9920@0.3970 2.2960@0.3970
P32	1	-3.0900@0.7090
P33	1	1.8140@0.9070
P34	2	1.1910@0.5950 3.0050@0.5950
P35	1	-4.1100@0.9070
P36	1	2.6930@1.3040
P37	2	1.8990@0.7940 4.2800@0.7940
P38	1	-6.2080@1.3040
P39	1	5.3010@2.6080
P40	2	3.6000@1.7010 8.7020@1.7010
P41	1	-12.5010@2.6080
P42	1	0.9920@0.3970
P43	2	0.5950@0.3120 1.7010@0.3120
P44	1	-1.3890@0.3970
P45	1	1.3040@0.5950
P46	2	0.9070@0.3970 2.2110@0.3970
P47	1	-1.8140@0.5950
P48	1	1.5870@0.7090
P49	2	1.1910@0.3970 2.4940@0.3970
P50	1	-2.2960@0.7090
P51	1	1.8990@0.7940
P52	2	1.3890@0.5100 2.9200@0.5100
P53	1	-2.8060@0.7940
P54	1	2.4940@1.1060
P55	2	1.8140@0.7090 3.9120@0.7090
P56	1	-3.7130@1.1060
P57	1	3.7130@1.7010
P58	2	2.6080@1.1060 5.8960@1.1060
P59	1	-5.6130@1.7010
P60	1	7.3130@3.2880
P61	2	5.1870@2.0980 11.5090@2.0980
P62	1	-11.1970@3.2880
P63	1	0.7090@0.5950
P64	2	0.3120@0.3970 1.5020@0.3970
P65	1	-1.3040@0.3970
P66	1	0.9070@0.7940
P67	2	0.3970@0.5950 2.1830@0.5950
P68	1	-1.7010@0.5950
P69	1	1.1060@0.9920
P70	2	0.3970@0.7090 2.5230@0.7090
P71	1	-2.2110@0.7090
P72	1	1.3040@1.1910
P73	2	0.5100@0.7940 2.8910@0.7940
P74	1	-2.6080@0.7940
P75	1	1.7010@1.5870
P76	2	0.5950@1.1060 3.9120@1.1060
P77	1	-3.4870@1.1060
P78	1	2.4090@2.2960
P79	2	0.9070@1.5870 5.6980@1.5870
P80	1	-5.1870@1.5870
P81	1	4.7910@4.5920
P82	2	1.7010@3.0900 10.9980@3.0900
P83	1	-10.4030@3.2030
P84	1	0.5950@0.3120
P85	2	0.3970@0.1980 0.9920@0.1980
P86	1	-1.5020@0.3120
P87	1	0.7940@0.3970
P88	2	0.5100@0.3120 1.4170@0.3120
P89	1	-2.0130@0.3970
P90	1	0.9920@0.5100
P91	2	0.7090@0.3970 1.8990@0.3970
P92	1	-2.6080@0.5100
P93	1	1.1910@0.5950
P94	2	0.7940@0.3970 1.9840@0.3970
P95	1	-3.0050@0.5950
P96	1	1.5870@0.7940
P97	2	1.1060@0.5950 2.8910@0.5950
P98	1	-3.9970@0.7940
P99	1	2.4090@1.1910
P100	2	1.5870@0.7940 3.9970@0.7940
P101	1	-6.0940@1.1910
P102	1	4.7910@2.4090
P103	2	3.2030@1.5870 7.9940@1.5870
P104	1	-12.1890@2.4090
P105	1	0.3120@0.3120
P106	2	0.1130@0.1980 0.7090@0.1980
P107	1	-1.3890@0.3120
P108	1	0.3970@0.3970
P109	2	0.1130@0.3120 1.0200@0.3120
P110	1	-1.8140@0.3970
P111	1	0.3970@0.5100
P112	2	0.1130@0.3120 1.0200@0.3120
P113	1	-2.2960@0.5100
P114	1	0.5950@0.5950
P115	2	0.1980@0.3970 1.3890@0.3970
P116	1	-2.8060@0.5950
P117	1	0.7940@0.7940
P118	2	0.1980@0.5100 1.7010@0.5100
P119	1	-3.7130@0.7940
P120	1	0.9920@1.1060
P121	2	0.3970@0.7940 2.8060@0.7940
P122	1	-5.6130@1.1910
P123	1	2.0980@2.2110
P124	2	0.5950@1.5020 5.1020@1.5020
P125	1	-11.1970@2.4090
