label	count	thickness_pt
Q0	1	0.3118
Q1	2	0.1984
Q2	1	0.3118
Q3	1	0.3969
Q4	2	0.1984
Q5	1	0.3969
Q6	1	0.3969
Q7	2	0.3118
Q8	1	0.3969
Q9	1	0.5102
Q10	2	0.3118
Q11	1	0.5102
Q12	1	0.5102
Q13	2	0.3118
Q14	1	0.5102
Q15	1	0.5953
Q16	2	0.3969
Q17	1	0.5953
Q18	1	0.5953
Q19	2	0.3969
Q20	1	0.5953
Q21	1	0.7937
Q22	2	0.5102
Q23	1	0.7937
Q24	1	0.9071
Q25	2	0.5102
Q26	1	0.9071
Q27	1	0.9921
Q28	2	0.5953
Q29	1	0.9921
Q30	1	1.1055
Q31	2	0.7087
Q32	1	1.1055
Q33	1	1.3039
Q34	2	0.7937
Q35	1	1.3038
Q36	1	1.5024
Q37	2	0.9071
Q38	1	1.5024
Q39	1	1.8992
Q40	2	1.1906
Q41	1	1.8992
Q42	1	2.6079
Q43	2	1.5874
Q44	1	2.6079
Q45	1	0.3118
Q46	2	0.1984
Q47	1	0.3118
Q48	1	0.3969
Q49	2	0.1984
Q50	1	0.3969
Q51	1	0.3969
Q52	2	0.3118
Q53	1	0.3969
Q54	1	0.5102
Q55	2	0.3118
Q56	1	0.5102
Q57	1	0.5953
Q58	2	0.3970
Q59	1	0.5953
Q60	1	0.5953
Q61	2	0.3969
Q62	1	0.5953
Q63	1	0.7087
Q64	2	0.3969
Q65	1	0.7087
Q66	1	0.7937
Q67	2	0.5102
Q68	1	0.7937
Q69	1	0.9071
Q70	2	0.5953
Q71	1	0.9071
Q72	1	0.9921
Q73	2	0.5953
Q74	1	0.9921
Q75	1	1.1055
Q76	2	0.7087
Q77	1	1.1055
Q78	1	1.3039
Q79	2	0.7937
Q80	1	1.3039
Q81	1	1.5024
Q82	2	0.9921
Q83	1	1.5024
Q84	1	2.0126
Q85	2	1.1906
Q86	1	2.0126
Q87	1	2.6079
Q88	2	1.7008
Q89	1	2.6079
Q90	1	0.3969
Q91	2	0.3118
Q92	1	0.3969
Q93	1	0.5103
Q94	2	0.3118
Q95	1	0.5102
Q96	1	0.5953
Q97	2	0.3969
Q98	1	0.5953
Q99	1	0.5953
Q100	2	0.3969
Q101	1	0.5953
Q102	1	0.7087
Q103	2	0.3969
Q104	1	0.7087
Q105	1	0.7937
Q106	2	0.5102
Q107	1	0.7937
Q108	1	0.7937
Q109	2	0.5102
Q110	1	0.7937
Q111	1	0.9921
Q112	2	0.5953
Q113	1	0.9921
Q114	1	1.1055
Q115	2	0.7087
Q116	1	1.1055
Q117	1	1.3039
Q118	2	0.7937
Q119	1	1.3039
Q120	1	1.3890
Q121	2	0.9071
Q122	1	1.3890
Q123	1	1.7008
Q124	2	1.1055
Q125	1	1.7008
Q126	1	1.8992
Q127	2	1.1906
Q128	1	1.8992
Q129	1	2.4945
Q130	2	1.5874
Q131	1	2.4945
Q132	1	3.2882
Q133	2	2.0976
Q134	1	3.2882
Q135	1	0.5953
Q136	2	0.3969
Q137	1	0.3969
Q138	1	0.7087
Q139	2	0.5102
Q140	1	0.5102
Q141	1	0.7937
Q142	2	0.5953
Q143	1	0.5953
Q144	1	0.9071
Q145	2	0.5953
Q146	1	0.5953
Q147	1	0.9921
Q148	2	0.7087
Q149	1	0.7087
Q150	1	1.1055
Q151	2	0.7087
Q152	1	0.7937
Q153	1	1.1906
Q154	2	0.7937
Q155	1	0.7937
Q156	1	1.3890
Q157	2	0.9071
Q158	1	0.9921
Q159	1	1.5874
Q160	2	1.1055
Q161	1	1.1055
Q162	1	1.8142
Q163	2	1.1906
Q164	1	1.1906
Q165	1	1.8992
Q166	2	1.3039
Q167	1	1.3890
Q168	1	2.2961
Q169	2	1.5874
Q170	1	1.5874
Q171	1	2.6929
Q172	2	1.8142
Q173	1	1.8992
Q174	1	3.4866
Q175	2	2.2961
Q176	1	2.4094
Q177	1	4.5921
Q178	2	3.0898
Q179	1	3.2031
Q180	1	0.3118
Q181	2	0.1984
Q182	1	0.3118
Q183	1	0.3969
Q184	2	0.3118
Q185	1	0.3969
Q186	1	0.3969
Q187	2	0.3118
Q188	1	0.3969
Q189	1	0.5101
Q190	2	0.3118
Q191	1	0.5102
Q192	1	0.5102
Q193	2	0.3969
Q194	1	0.5102
Q195	1	0.5953
Q196	2	0.3969
Q197	1	0.5953
Q198	1	0.5953
Q199	2	0.3969
Q200	1	0.5953
Q201	1	0.7937
Q202	2	0.5102
Q203	1	0.7937
Q204	1	0.7937
Q205	2	0.5953
Q206	1	0.7937
Q207	1	0.9071
Q208	2	0.5953
Q209	1	0.9071
Q210	1	0.9921
Q211	2	0.7087
Q212	1	0.9921
Q213	1	1.1906
Q214	2	0.7937
Q215	1	1.1906
Q216	1	1.5024
Q217	2	0.9921
Q218	1	1.5024
Q219	1	1.8142
Q220	2	1.1906
Q221	1	1.8142
