118 movers scored; spans that moved between the legs: 5808
  of those, CLOSER to 26.2.4.2 3372, FURTHER 2406, level 30
  documents net better 51, net worse 50, net level 17

    moved  closer further  document
      451     347     104  24-25_FAA_Holdover_Tables.docx
      296     250      46  9a0dd0c6025a-24-25_FAA_Holdover_Tables.rtf
     1782     968     808  FAA 2025-26 Holdover Tables.docx
      305     219      86  d97cdeea9a38-FAA 2025-26 Holdover Tables.odt
      581     327     248  150-5370-10H.docx
      205     137      68  9a0dd0c6025a-24-25_FAA_Holdover_Tables.odt
       80      56      24  a7dcf358bceb-AirbusCallouts.rtf
      445     236     205  AC-150-5370-10G-updated-201604.docx
       30      30       0  e3fcd2815598-150_5300_13_chg8.rtf
       30      26       4  150_5300_13_chg10.doc
       41      31      10  dadea16e85b1-ABCD-WB-08-00 Weight and Balance Report - v1 08
       37      27       9  ABCD-WB-08-00 Weight and Balance Report - v1 08.03.16.docx
       63      39      23  ABCD-FE-01-00 Flight Envelope - v1 08.03.16.docx
       79      46      33  49befd6540a9-150-5370-10H.rtf
       41      26      14  dadea16e85b1-ABCD-WB-08-00 Weight and Balance Report - v1 08
       13      12       1  d97cdeea9a38-FAA 2025-26 Holdover Tables.rtf
       70      39      30  993ca203e5af-ABCD-FE-01-00 Flight Envelope - v1 08.03.16.odt
        8       8       0  03_Technical_Report_(progress)_template.docx
        6       6       0  b1eeaf9dec9c-150_5300_13_chg10.rtf
        6       6       0  b1eeaf9dec9c-150_5300_13_chg10.odt
        6       6       0  e3fcd2815598-150_5300_13_chg8.odt
       10       7       3  2a51cf09436e-easa-regulations-update-20.odt
       10       7       3  easa-regulations-update-20.docx
        3       3       0  3e0300952bd6-316r_a_e.rtf
        7       5       2  61ee696a1536-bulletin.rtf
      236     118     115  49befd6540a9-150-5370-10H.odt
        7       5       2  61ee696a1536-bulletin.odt
       11       7       4  316r_a_f.doc
        8       5       3  2a51cf09436e-easa-regulations-update-20.rtf
        8       5       3  43377491730e-0c662f5c948a7d81d32ffd833c5cc59421a5f522.rtf
        2       2       0  9d289f4d021d-EHEST-SMS-Safety-Management-Manual-V2.rtf
        2       2       0  a264c06f8a6b-300502-Mecenat-Airbus-Simusante_CHU-Amiens-Pica
        4       3       1  f61819845751-template---tpr-technical-progress-report-with-g
        4       3       1  3c6d04065221-review-welsh-government-communications-mister-p
        8       5       3  43377491730e-0c662f5c948a7d81d32ffd833c5cc59421a5f522.odt
        2       2       0  9d289f4d021d-EHEST-SMS-Safety-Management-Manual-V2.odt
        2       2       0  a264c06f8a6b-300502-Mecenat-Airbus-Simusante_CHU-Amiens-Pica
        8       5       3  d99c9f54ed6d-draft-variation-notice-airbus-bm3965ia-v006-vs-
       30      16      14  150_5300_13_chg8.doc
        8       5       3  0c662f5c948a7d81d32ffd833c5cc59421a5f522.docx
        8       5       3  bulletin.docx
        2       2       0  300502-Mecenat-Airbus-Simusante_CHU-Amiens-Picardie.doc
        2       2       0  PES-Technical-Report-Template_Jan_2019.docx
        4       3       1  review-welsh-government-communications-mister-peter-mandelso
        2       2       0  ESPN-R - MCF - Manual - Ed1.0 - For Publication.docx
        2       2       0  EHEST-SMS-Safety-Management-Manual-V2.docx
