hp	base	ref_sup	ours_sup	tw-trunc	tw-round	tenth	mm100
4	2.00	1.200	1.150	1.150	1.150	1.200	1.150
5	2.50	1.500	1.450	1.450	1.450	1.500	1.450
6	3.00	1.700	1.750	1.700	1.750	1.700	1.750
7	3.50	2.000	2.050	2.000	2.050	2.000	2.000
8	4.00	2.300	2.300	2.300	2.300	2.300	2.300
9	4.50	2.600	2.600	2.600	2.600	2.600	2.600
10	5.00	2.900	2.900	2.900	2.900	2.900	2.900
11	5.50	3.200	3.200	3.150	3.200	3.200	3.200
12	6.00	3.500	3.500	3.450	3.500	3.500	3.500
13	6.50	3.800	3.750	3.750	3.750	3.800	3.750
14	7.00	4.100	4.050	4.050	4.050	4.100	4.050
15	7.50	4.400	4.350	4.350	4.350	4.400	4.350
16	8.00	4.600	4.650	4.600	4.650	4.600	4.650
17	8.50	4.900	4.950	4.900	4.950	4.900	4.950
18	9.00	5.200	5.200	5.200	5.200	5.200	5.200
19	9.50	5.500	5.500	5.500	5.500	5.500	5.500
20	10.00	5.800	5.800	5.800	5.800	5.800	5.800
21	10.50	6.100	6.100	6.050	6.100	6.100	6.100
22	11.00	6.400	6.400	6.350	6.400	6.400	6.400
23	11.50	6.700	6.650	6.650	6.650	6.700	6.650
24	12.00	7.000	6.950	6.950	6.950	7.000	6.950
25	12.50	7.300	7.250	7.250	7.250	7.300	7.250
26	13.00	7.500	7.550	7.500	7.550	7.500	7.550
27	13.50	7.800	7.850	7.800	7.850	7.800	7.800
28	14.00	8.100	8.100	8.100	8.100	8.100	8.150
29	14.50	8.400	8.400	8.400	8.400	8.400	8.400
30	15.00	8.700	8.700	8.700	8.700	8.700	8.700
31	15.50	9.000	9.000	8.950	9.000	9.000	9.000
32	16.00	9.300	9.300	9.250	9.300	9.300	9.250
33	16.50	9.600	9.550	9.550	9.550	9.600	9.600
34	17.00	9.900	9.850	9.850	9.850	9.900	9.850
35	17.50	10.200	10.150	10.150	10.150	10.200	10.150
36	18.00	10.400	10.450	10.400	10.450	10.400	10.450
37	18.50	10.700	10.750	10.700	10.750	10.700	10.750
38	19.00	11.000	11.000	11.000	11.000	11.000	11.050
39	19.50	11.300	11.300	11.300	11.300	11.300	11.300
40	20.00	11.600	11.600	11.600	11.600	11.600	11.600
41	20.50	11.900	11.900	11.850	11.900	11.900	11.900
42	21.00	12.200	12.200	12.150	12.200	12.200	12.200
43	21.50	12.500	12.450	12.450	12.450	12.500	12.450
44	22.00	12.800	12.750	12.750	12.750	12.800	12.750
45	22.50	13.100	13.050	13.050	13.050	13.100	13.050
46	23.00	13.300	13.350	13.300	13.350	13.300	13.300
47	23.50	13.600	13.650	13.600	13.650	13.600	13.650
48	24.00	13.900	13.900	13.900	13.900	13.900	13.900
49	24.50	14.200	14.200	14.200	14.200	14.200	14.200
50	25.00	14.500	14.500	14.500	14.500	14.500	14.500
51	25.50	14.800	14.800	14.750	14.800	14.800	14.800
52	26.00	15.100	15.100	15.050	15.100	15.100	15.100
53	26.50	15.400	15.350	15.350	15.350	15.400	15.350
54	27.00	15.700	15.650	15.650	15.650	15.700	15.700
55	27.50	16.000	15.950	15.950	15.950	16.000	15.950
56	28.00	16.200	16.250	16.200	16.250	16.200	16.250
57	28.50	16.500	16.550	16.500	16.550	16.500	16.550
58	29.00	16.800	16.800	16.800	16.800	16.800	16.800
59	29.50	17.100	17.100	17.100	17.100	17.100	17.100
60	30.00	17.400	17.400	17.400	17.400	17.400	17.400

rule	matches ref	matches ours	(of 57)
tw-trunc	30	35
tw-round	28	57
tenth	57	28
mm100	30	49
