arm	lines	widest_pt	content
S1245	2	37.636	Not | Available19
S1246	2	37.636	Not | Available19
S1247	2	37.636	Not | Available19
S1248	2	37.636	Not | Available19
S1249	2	37.636	Not | Available19
S1250	2	37.636	Not | Available19
S1251	2	37.636	Not | Available19
S1252	2	37.636	Not | Available19
S1253	2	37.636	Not | Available19
S1254	2	37.636	Not | Available19
S1255	2	37.636	Not | Available19
S1256	2	37.636	Not | Available19
S1257	2	37.636	Not | Available19
S1258	2	37.636	Not | Available19
S1259	2	37.636	Not | Available19
S1260	2	37.636	Not | Available19
S1261	2	37.636	Not | Available19
S1262	2	37.636	Not | Available19
S1263	1	52.307	Not Available19
S1264	1	52.307	Not Available19
S1265	1	52.307	Not Available19
S1266	1	52.307	Not Available19
S1267	1	52.307	Not Available19
S1268	1	52.307	Not Available19
S1269	1	52.307	Not Available19
S1270	1	52.307	Not Available19
S1271	1	52.307	Not Available19
S1272	1	52.307	Not Available19
S1273	1	52.307	Not Available19
S1274	1	52.307	Not Available19
S1275	1	52.307	Not Available19
S1276	1	52.307	Not Available19
S1277	1	52.307	Not Available19
S1278	1	52.307	Not Available19
S1279	1	52.307	Not Available19
S1280	1	52.307	Not Available19
Z1245	2	37.469	Not | Available19
Z1246	2	37.469	Not | Available19
Z1247	2	37.469	Not | Available19
Z1248	2	37.469	Not | Available19
Z1249	2	37.469	Not | Available19
Z1250	2	37.469	Not | Available19
Z1251	2	37.469	Not | Available19
Z1252	2	37.469	Not | Available19
Z1253	2	37.469	Not | Available19
Z1254	2	37.469	Not | Available19
Z1255	2	37.469	Not | Available19
Z1256	2	37.469	Not | Available19
Z1257	2	37.469	Not | Available19
Z1258	2	37.469	Not | Available19
Z1259	1	52.141	Not Available19
Z1260	1	52.141	Not Available19
Z1261	1	52.141	Not Available19
Z1262	1	52.141	Not Available19
Z1263	1	52.141	Not Available19
Z1264	1	52.141	Not Available19
Z1265	1	52.141	Not Available19
Z1266	1	52.141	Not Available19
Z1267	1	52.141	Not Available19
Z1268	1	52.141	Not Available19
Z1269	1	52.141	Not Available19
Z1270	1	52.141	Not Available19
Z1271	1	52.141	Not Available19
Z1272	1	52.141	Not Available19
Z1273	1	52.141	Not Available19
Z1274	1	52.141	Not Available19
Z1275	1	52.141	Not Available19
Z1276	1	52.141	Not Available19
Z1277	1	52.141	Not Available19
Z1278	1	52.141	Not Available19
Z1279	1	52.141	Not Available19
Z1280	1	52.141	Not Available19
N1245	1	47.128	Not Available
N1246	1	47.128	Not Available
N1247	1	47.128	Not Available
N1248	1	47.128	Not Available
N1249	1	47.128	Not Available
N1250	1	47.128	Not Available
N1251	1	47.128	Not Available
N1252	1	47.128	Not Available
N1253	1	47.128	Not Available
N1254	1	47.128	Not Available
N1255	1	47.128	Not Available
N1256	1	47.128	Not Available
N1257	1	47.128	Not Available
N1258	1	47.128	Not Available
N1259	1	47.128	Not Available
N1260	1	47.128	Not Available
N1261	1	47.128	Not Available
N1262	1	47.128	Not Available
N1263	1	47.128	Not Available
N1264	1	47.128	Not Available
N1265	1	47.128	Not Available
N1266	1	47.128	Not Available
N1267	1	47.128	Not Available
N1268	1	47.128	Not Available
N1269	1	47.128	Not Available
N1270	1	47.128	Not Available
N1271	1	47.128	Not Available
N1272	1	47.128	Not Available
N1273	1	47.128	Not Available
N1274	1	47.128	Not Available
N1275	1	47.128	Not Available
N1276	1	47.128	Not Available
N1277	1	47.128	Not Available
N1278	1	47.128	Not Available
N1279	1	47.128	Not Available
N1280	1	47.128	Not Available
E12	1	11.890	Mx19
E14	1	13.835	Mx19
E16	1	15.835	Mx19
E18	1	17.779	Mx19
E20	1	19.780	Mx19
E22	1	21.780	Mx19
E24	1	23.724	Mx19
E26	1	25.725	Mx19
E28	1	27.669	Mx19
E30	1	29.670	Mx19
