i	string	text	exact_tw	ceil_W	round_W
0	i Reference	i Reference	818.2031	1035	1034
1	m Mississippi	m Mississippi	951.1719	1168	1167
2	m Hamburgefonstiv	m Hamburgefonstiv	1387.1875	1604	1603
3	i Viscosity	i Viscosity	711.2500	928	927
4	i Alternate	i Alternate	720.3906	937	936
5	i Available	i Available	729.2969	946	945
6	i Xylophone	i Xylophone	836.1719	1053	1052
7	a Temperature	a Temperature	1049.3750	1266	1265
8	a Objective	a Objective	800.3906	1017	1016
9	a Kilometres	a Kilometres	889.2188	1106	1105
10	a Wavelength	a Wavelength	978.3594	1195	1194
11	a Quicksand	a Quicksand	889.3750	1106	1105
