pages	167	167
page	ref_w	ref_h	ref_o	ours_w	ours_h	ours_o	ref_an	ours_an	same_o
1	612.0	792.0	P	612.0	792.0	P	1104	1104	yes
2	612.0	792.0	P	612.0	792.0	P	503	503	yes
3	612.0	792.0	P	612.0	792.0	P	3330	3330	yes
4	612.0	792.0	P	612.0	792.0	P	1107	1107	yes
5	612.0	792.0	P	612.0	792.0	P	3071	3071	yes
6	612.0	792.0	P	612.0	792.0	P	444	444	yes
7	612.0	792.0	P	612.0	792.0	P	2025	2005	yes
8	612.0	792.0	P	612.0	792.0	P	203	203	yes
9	612.0	792.0	P	612.0	792.0	P	788	788	yes
10	792.0	612.0	L	792.0	612.0	L	1580	1580	yes
11	612.0	792.0	P	612.0	792.0	P	1061	1063	yes
12	792.0	612.0	L	792.0	612.0	L	2212	2216	yes
13	792.0	612.0	L	792.0	612.0	L	2214	2222	yes
14	612.0	792.0	P	612.0	792.0	P	1246	1248	yes
15	792.0	612.0	L	792.0	612.0	L	2541	2548	yes
16	792.0	612.0	L	792.0	612.0	L	2530	2530	yes
17	792.0	612.0	L	792.0	612.0	L	2489	2489	yes
18	792.0	612.0	L	792.0	612.0	L	2542	2542	yes
19	792.0	612.0	L	792.0	612.0	L	2537	2537	yes
20	792.0	612.0	L	792.0	612.0	L	2423	2431	yes
21	792.0	612.0	L	792.0	612.0	L	2333	2341	yes
22	792.0	612.0	L	792.0	612.0	L	2411	2419	yes
23	792.0	612.0	L	792.0	612.0	L	2458	2458	yes
24	792.0	612.0	L	792.0	612.0	L	2247	2255	yes
25	792.0	612.0	L	792.0	612.0	L	2542	2550	yes
26	792.0	612.0	L	792.0	612.0	L	2540	2548	yes
27	612.0	792.0	P	612.0	792.0	P	1063	1065	yes
28	792.0	612.0	L	792.0	612.0	L	2499	2507	yes
29	792.0	612.0	L	792.0	612.0	L	2506	2520	yes
30	792.0	612.0	L	792.0	612.0	L	2648	2666	yes
31	612.0	792.0	P	612.0	792.0	P	1246	1248	yes
32	792.0	612.0	L	792.0	612.0	L	2861	2878	yes
33	792.0	612.0	L	792.0	612.0	L	2478	2496	yes
34	792.0	612.0	L	792.0	612.0	L	2415	2433	yes
35	792.0	612.0	L	792.0	612.0	L	2422	2440	yes
36	792.0	612.0	L	792.0	612.0	L	2422	2440	yes
37	792.0	612.0	L	792.0	612.0	L	2355	2373	yes
38	792.0	612.0	L	792.0	612.0	L	2482	2500	yes
39	792.0	612.0	L	792.0	612.0	L	2409	2427	yes
40	792.0	612.0	L	792.0	612.0	L	2479	2497	yes
41	792.0	612.0	L	792.0	612.0	L	2484	2502	yes
42	792.0	612.0	L	792.0	612.0	L	2485	2497	yes
43	792.0	612.0	L	792.0	612.0	L	2478	2490	yes
44	792.0	612.0	L	792.0	612.0	L	2482	2494	yes
45	792.0	612.0	L	792.0	612.0	L	2488	2506	yes
46	792.0	612.0	L	792.0	612.0	L	2614	2626	yes
47	792.0	612.0	L	792.0	612.0	L	2617	2629	yes
48	792.0	612.0	L	792.0	612.0	L	2613	2625	yes
49	792.0	612.0	L	792.0	612.0	L	2486	2498	yes
50	792.0	612.0	L	792.0	612.0	L	2493	2505	yes
51	792.0	612.0	L	792.0	612.0	L	2488	2500	yes
52	792.0	612.0	L	792.0	612.0	L	2421	2433	yes
53	792.0	612.0	L	792.0	612.0	L	2491	2503	yes
54	792.0	612.0	L	792.0	612.0	L	2487	2499	yes
55	792.0	612.0	L	792.0	612.0	L	2488	2500	yes
56	792.0	612.0	L	792.0	612.0	L	2603	2615	yes
57	792.0	612.0	L	792.0	612.0	L	2428	2440	yes
58	792.0	612.0	L	792.0	612.0	L	2489	2501	yes
59	792.0	612.0	L	792.0	612.0	L	2488	2500	yes
60	792.0	612.0	L	792.0	612.0	L	2422	2434	yes
61	792.0	612.0	L	792.0	612.0	L	2426	2438	yes
62	792.0	612.0	L	792.0	612.0	L	2438	2451	yes
63	612.0	792.0	P	612.0	792.0	P	848	848	yes
64	612.0	792.0	P	612.0	792.0	P	2060	2060	yes
65	612.0	792.0	P	612.0	792.0	P	2370	2380	yes
66	612.0	792.0	P	612.0	792.0	P	1700	1700	yes
67	612.0	792.0	P	612.0	792.0	P	1804	1812	yes
68	612.0	792.0	P	612.0	792.0	P	1689	1689	yes
69	612.0	792.0	P	612.0	792.0	P	1949	1963	yes
70	612.0	792.0	P	612.0	792.0	P	545	545	yes
71	792.0	612.0	L	792.0	612.0	L	2032	2032	yes
72	792.0	612.0	L	792.0	612.0	L	445	445	yes
73	792.0	612.0	L	792.0	612.0	L	1285	1285	yes
74	792.0	612.0	L	792.0	612.0	L	1461	1461	yes
75	792.0	612.0	L	792.0	612.0	L	1188	1188	yes
76	792.0	612.0	L	792.0	612.0	L	961	961	yes
77	792.0	612.0	L	792.0	612.0	L	1745	1745	yes
78	792.0	612.0	L	792.0	612.0	L	1227	1227	yes
79	792.0	612.0	L	792.0	612.0	L	659	659	yes
80	792.0	612.0	L	792.0	612.0	L	1832	1832	yes
81	792.0	612.0	L	792.0	612.0	L	1693	1693	yes
82	792.0	612.0	L	792.0	612.0	L	1830	1830	yes
