row	ref_top	ref_bot	ref_height_pt	ours_top	ours_bot	ours_height_pt	delta_pt
0	101.20	116.30	15.10	101.15	116.30	15.15	+0.05
1	116.30	128.70	12.40	116.30	128.65	12.35	-0.05
2	128.70	152.20	23.50	128.65	151.15	22.50	-1.00
3	152.20	164.50	12.30	151.15	162.50	11.35	-0.95
4	164.50	181.30	16.80	162.50	179.25	16.75	-0.05
5	181.30	193.60	12.30	179.25	191.60	12.35	+0.05
6	193.60	206.00	12.40	191.60	203.95	12.35	-0.05
7	206.00	218.30	12.30	203.95	216.30	12.35	+0.05
8	218.30	230.70	12.40	216.30	228.65	12.35	-0.05
9	230.70	243.00	12.30	228.65	241.00	12.35	+0.05
10	243.00	255.40	12.40	241.00	253.35	12.35	-0.05
11	255.40	272.10	16.70	253.35	270.10	16.75	+0.05
12	272.10	284.50	12.40	270.10	282.45	12.35	-0.05
13	284.50	296.80	12.30	282.45	294.80	12.35	+0.05
14	296.80	309.20	12.40	294.80	307.15	12.35	-0.05
15	309.20	321.50	12.30	307.15	319.50	12.35	+0.05
16	321.50	333.90	12.40	319.50	331.85	12.35	-0.05
17	333.90	346.20	12.30	331.85	344.20	12.35	+0.05
18	346.20	363.00	16.80	344.20	360.95	16.75	-0.05
19	363.00	375.30	12.30	360.95	373.30	12.35	+0.05
20	375.30	387.70	12.40	373.30	385.65	12.35	-0.05
21	387.70	400.00	12.30	385.65	398.00	12.35	+0.05
22	400.00	416.80	16.80	398.00	414.75	16.75	-0.05
23	416.80	429.10	12.30	414.75	427.10	12.35	+0.05
24	429.10	441.50	12.40	427.10	439.45	12.35	-0.05
25	441.50	453.80	12.30	439.45	451.80	12.35	+0.05
26	453.80	470.60	16.80	451.80	468.55	16.75	-0.05
27	470.60	482.90	12.30	468.55	480.90	12.35	+0.05
28	482.90	495.17	12.27	480.90	493.12	12.23	-0.05
29	495.17	507.60	12.43	493.12	505.60	12.48	+0.05
30	507.60	520.00	12.40	505.60	517.95	12.35	-0.05
31	520.00	532.17	12.17	517.95	530.17	12.22	+0.05
32	532.17	544.70	12.53	530.17	542.65	12.48	-0.05
