family	table_class	resolved
901	Unknown	DejaVu Sans
??	Unknown	DejaVu Sans
?????	Unknown	DejaVu Sans
AKFJD O+ Courier	Unknown	DejaVu Sans
AR CENA	Unknown	DejaVu Sans
Abril Fatface	Unknown	DejaVu Sans
Adobe Fan Heiti Std B	Unknown	DejaVu Sans
Adobe Gothic Std B	Unknown	DejaVu Sans
Adobe Myungjo Std M	Unknown	DejaVu Sans
Aharoni	Unknown	DejaVu Sans
Alegreya Sans Bold	Unknown	DejaVu Sans
Alegreya Sans Bold Bold	Unknown	DejaVu Sans
Alegreya Sans Regular Bold	Unknown	DejaVu Sans
Amasis MT Pro Black	Unknown	DejaVu Sans
American Typewriter	Unknown	DejaVu Sans
Angsana New	Unknown	DejaVu Sans
Aparajita	Unknown	DejaVu Sans
Aptos	Unknown	DejaVu Sans
Aptos Display	Unknown	DejaVu Sans
Aptos Narrow	Unknown	DejaVu Sans
Arial	SansSerif	Liberation Sans
Arial (Headings)	Unknown	DejaVu Sans
Arial Black	Unknown	DejaVu Sans
Arial Bold	Unknown	DejaVu Sans
Arial Gras	Unknown	DejaVu Sans
Arial MT	Unknown	DejaVu Sans
Arial Narrow	SansSerif	DejaVu Sans
Arial Rounded MT Bold	Unknown	DejaVu Sans
Arial Unicode MS	Unknown	DejaVu Sans
Arial-BoldMT	Unknown	DejaVu Sans
ArialMT	Unknown	DejaVu Sans
AvantGarde Bk BT	Unknown	DejaVu Sans
Avenir Black	Unknown	DejaVu Sans
Avenir Book	Unknown	DejaVu Sans
Avenir LT Std 35 Light	Unknown	DejaVu Sans
Avenir Next LT Pro	Unknown	DejaVu Sans
Avenir Next LT Pro Demi	Unknown	DejaVu Sans
BMJOPD+Arial,Bold	Unknown	DejaVu Sans
BONIOO+Arial	Unknown	DejaVu Sans
Barcode 3 of 9 by request	Unknown	DejaVu Sans
Bell MT	Unknown	DejaVu Sans
Bierstadt	Unknown	DejaVu Sans
Blackadder ITC	Unknown	DejaVu Sans
Bodoni MT	Unknown	DejaVu Sans
Book Antiqua	Serif	DejaVu Sans
Bookman Old Style	Serif	DejaVu Sans
Bradley Hand ITC	Unknown	DejaVu Sans
Browallia New	Unknown	DejaVu Sans
CG Times	Serif	DejaVu Sans
CG Times (W1)	Unknown	DejaVu Sans
CWFZGM+Myriad-BoldItalic	Unknown	DejaVu Sans
Calibri	SansSerif	Carlito
Calibri (Body)	Unknown	DejaVu Sans
Calibri Bold	Unknown	DejaVu Sans
Calibri Light	Unknown	DejaVu Sans
Calibri-Bold	Unknown	DejaVu Sans
Calisto MT	Unknown	DejaVu Sans
Cambria	Serif	Caladea
Cambria Math	Unknown	DejaVu Sans
Candara	SansSerif	DejaVu Sans
Castellar	Unknown	DejaVu Sans
Century	Serif	DejaVu Sans
Century Gothic	SansSerif	DejaVu Sans
Century Schoolbook	Serif	DejaVu Sans
Charlotte Sans Book	Unknown	DejaVu Sans
Comic Sans MS	Unknown	DejaVu Sans
ConduitITCStd Light	Unknown	DejaVu Sans
Consolas	Fixed	DejaVu Sans Mono
Constantia	Serif	DejaVu Serif
Copperplate Gothic Bold	Unknown	DejaVu Sans
Copperplate Gothic Light	Unknown	DejaVu Sans
Corbel	SansSerif	DejaVu Sans
Cordia New	Unknown	DejaVu Sans
Corpid E1s SCd Heavy	Unknown	DejaVu Sans
Corpid E1s SCd Light	Unknown	DejaVu Sans
CorpidOffice	Unknown	DejaVu Sans
CorpoS	Unknown	DejaVu Sans
Courier	Fixed	Liberation Mono
Courier New	Fixed	Liberation Mono
Courier Standard	Unknown	DejaVu Sans
DINPro-Medium	Unknown	DejaVu Sans
DINPro-Regular	Unknown	DejaVu Sans
DaunPenh	Unknown	DejaVu Sans
David	Unknown	DejaVu Sans
DejaVu Sans	SansSerif	DejaVu Sans
DengXian	Unknown	DejaVu Sans
DengXian Light	Unknown	DejaVu Sans
Dialog	Unknown	DejaVu Sans
DilleniaUPC	Unknown	DejaVu Sans
DokChampa	Unknown	DejaVu Sans
Dutch	Unknown	DejaVu Sans
EK03Plain-B01	Unknown	DejaVu Sans
EUAlbertina	Unknown	DejaVu Sans
Ebrima	Unknown	DejaVu Sans
Estrangelo Edessa	Unknown	DejaVu Sans
Euphemia	Unknown	DejaVu Sans
Eurostile	Unknown	DejaVu Sans
FontAwesome	Unknown	DejaVu Sans
Franklin Gothic Book	Unknown	DejaVu Sans
Franklin Gothic Heavy	Unknown	DejaVu Sans
Franklin Gothic Medium	Unknown	DejaVu Sans
Frutiger 45 Light	Unknown	DejaVu Sans
Futura	Unknown	DejaVu Sans
Futura Std Book	Unknown	DejaVu Sans
Futura Std Light	Unknown	DejaVu Sans
Futura Std Medium	Unknown	DejaVu Sans
Gadugi	Unknown	DejaVu Sans
Garamond	Serif	DejaVu Serif
Gautami	SansSerif	DejaVu Sans
Georgia	Serif	DejaVu Serif
Gill Sans	Unknown	DejaVu Sans
Gill Sans MT	Unknown	DejaVu Sans
Gisha	Unknown	DejaVu Sans
HGP明朝E	Unknown	DejaVu Sans
HGS明朝E	Unknown	DejaVu Sans
HG創英角ｺﾞｼｯｸUB	Unknown	DejaVu Sans
HG明朝E	Unknown	DejaVu Sans
HGｺﾞｼｯｸE	Unknown	DejaVu Sans
HGｺﾞｼｯｸM	Unknown	DejaVu Sans
HP Simplified	Unknown	DejaVu Sans
