decorative__05D0	FreeSans
decorative__0E01	FreeSerif
decorative__2022	Carlito-Regular
decorative__2190	Carlito-Regular
decorative__2500	Carlito-Regular
decorative__25CF	Carlito-Regular
decorative__2611	NotoColorEmoji
decorative__263A	NotoColorEmoji
decorative__2713	FreeSerif
decorative__2714	NotoColorEmoji
decorative__27A2	FreeSerif
decorative__4E00	WenQuanYiZenHei
modern__05D0	FreeSans
modern__0E01	FreeSerif
modern__2022	Carlito-Regular
modern__2190	Carlito-Regular
modern__2500	Carlito-Regular
modern__25CF	Carlito-Regular
modern__2611	NotoColorEmoji
modern__263A	NotoColorEmoji
modern__2713	FreeSerif
modern__2714	NotoColorEmoji
modern__27A2	FreeSerif
modern__4E00	WenQuanYiZenHei
none__05D0	FreeSans
none__0E01	FreeSerif
none__2022	Carlito-Regular
none__2190	Carlito-Regular
none__2500	Carlito-Regular
none__25CF	Carlito-Regular
none__2611	NotoColorEmoji
none__263A	NotoColorEmoji
none__2713	FreeSerif
none__2714	NotoColorEmoji
none__27A2	FreeSerif
none__4E00	WenQuanYiZenHei
roman__05D0	FreeSans
roman__0E01	FreeSerif
roman__2022	Carlito-Regular
roman__2190	Carlito-Regular
roman__2500	Carlito-Regular
roman__25CF	Carlito-Regular
roman__2611	NotoColorEmoji
roman__263A	NotoColorEmoji
roman__2713	FreeSerif
roman__2714	NotoColorEmoji
roman__27A2	FreeSerif
roman__4E00	WenQuanYiZenHei
script__05D0	FreeSans
script__0E01	FreeSerif
script__2022	Carlito-Regular
script__2190	Carlito-Regular
script__2500	Carlito-Regular
script__25CF	Carlito-Regular
script__2611	NotoColorEmoji
script__263A	NotoColorEmoji
script__2713	FreeSerif
script__2714	NotoColorEmoji
script__27A2	FreeSerif
script__4E00	WenQuanYiZenHei
swiss__05D0	FreeSans
swiss__0E01	FreeSerif
swiss__2022	Carlito-Regular
swiss__2190	Carlito-Regular
swiss__2500	Carlito-Regular
swiss__25CF	Carlito-Regular
swiss__2611	NotoColorEmoji
swiss__263A	NotoColorEmoji
swiss__2713	DejaVuSans
swiss__2714	NotoColorEmoji
swiss__27A2	DejaVuSans
swiss__4E00	WenQuanYiZenHei
