WordArt_Shapes_Arrows_Catalog1.docx: pages 24.2 52  26.2 52  ours 52
ink columns at 200 dpi, in points
 page  24.2 xMin  24.2 xMax  26.2 xMin  26.2 xMax  ours xMin  ours xMax
    1      72.36     539.64      72.36     539.64      72.36     539.64
    2      72.00     539.64      72.00     539.64      72.00     539.64
    3      72.00     539.64      72.00     540.00      72.00     539.64
    4      72.00     540.00      72.00     540.00      72.00     540.00
    5      72.00     539.64      72.00     539.64      72.00     539.28
    6      72.00     539.64      72.00     540.00      72.00     539.64
    7      72.00     539.64      72.00     540.00      72.00     539.64
    8      72.00     539.64      72.00     539.64      72.00     539.64
    9      72.00     539.64      72.00     540.00      72.00     539.64
   10      72.00     540.00      72.00     540.00      72.00     539.64
   11      72.00     539.64      72.00     539.64      72.00     539.64
   12      72.00     539.64      72.00     539.64      72.00     539.64
   13      72.00     539.64      72.00     539.64      72.00     539.64
   14      72.00     540.00      72.00     540.00      72.00     540.00
   15      72.00     539.64      72.00     539.64      72.00     539.28
   16      72.00     539.64      72.00     539.64      72.00     539.64
   17      72.00     539.64      72.00     539.64      72.00     539.64
   18      72.00     539.64      72.00     539.64      72.00     539.64
   19      72.00     539.64      72.00     539.64      72.00     539.64
   20      72.00     540.00      72.00     540.00      72.00     539.64
   21      72.00     539.64      72.00     539.64      72.00     539.64
   22      72.00     539.64      72.00     539.64      72.00     539.64
   23      72.36     539.64      72.36     539.64      72.36     539.64
   24      72.36     540.00      72.36     540.00      72.36     540.00
   25      72.36     539.64      72.36     539.64      72.36     539.28
   26      72.36     539.64      72.36     539.64      72.36     539.64
   27      72.36     539.64      72.36     539.64      72.36     539.64
   28      72.36     539.64      72.36     539.64      72.36     539.64
   29      72.36     539.64      72.36     539.64      72.36     539.64
   30      72.36     540.00      72.36     540.00      72.36     539.64
   31      72.36     539.64      72.36     539.64      72.36     539.64
   32      72.36     539.64      72.36     539.64      72.36     539.64
   33      72.36     539.64      72.36     539.64      72.36     539.64
   34      72.36     540.00      72.36     540.00      72.36     540.00
   35      72.36     539.64      72.36     539.64      72.36     539.28
   36      72.36     539.64      72.36     539.64      72.36     539.64
   37      72.36     539.64      72.36     539.64      72.36     539.64
   38      72.36     539.64      72.36     539.64      72.36     539.64
   39      72.36     539.64      72.36     539.64      72.36     539.64
   40      72.36     540.00      72.36     540.00      72.36     539.64
   41      72.36     539.64      72.36     539.64      72.36     539.64
   42      72.36     539.64      72.36     539.64      72.36     539.64
   43      72.36     539.64      72.36     539.64      72.36     539.64
   44      72.36     540.00      72.36     540.00      72.36     540.00
   45      72.00     539.64      72.00     539.64      72.00     539.28
   46      72.36     539.64      72.36     539.64      72.36     539.64
   47      72.00     539.64      72.00     539.64      72.00     539.64
   48      72.00     539.64      72.00     539.64      72.00     539.64
   49      72.00     539.64      72.00     539.64      72.00     539.64
   50      72.00     540.00      72.00     540.00      72.00     539.64
   51      72.00     539.64      72.00     539.64      72.00     539.64
   52      72.00     539.64      72.00     539.64      72.00     539.64
pages whose ink columns differ from 26.2 by more than the raster quantum: 0 of 52
