fixture       who     bandTop  bandBot   centre  HEADERA  BODYLINE  FOOTERC
ftr-3line     24.2     375.25   425.25   400.25        -     35.91   793.21
ftr-3line     26.2     375.25   425.25   400.25        -     35.91   793.21
ftr-3line     ours     375.25   425.25   400.25        -     35.91   793.21

hdr-1line     24.2     384.50   434.50   409.50    35.91     49.71        -
hdr-1line     26.2     384.50   434.50   409.50    35.91     49.71        -
hdr-1line     ours     384.50   434.50   409.50    35.91     49.71        -

hdr-3line     24.2     398.50   448.25   423.38    35.91     77.31        -
hdr-3line     26.2     398.50   448.25   423.38    35.91     77.31        -
hdr-3line     ours     398.25   448.25   423.25    35.91     77.31        -

hdr-empty     24.2     384.50   434.25   409.38        -     49.36        -
hdr-empty     26.2     384.50   434.25   409.38        -     49.36        -
hdr-empty     ours     384.50   434.50   409.50        -     49.36        -

hdr-roomy     24.2     410.00   460.00   435.00    35.91    100.51        -
hdr-roomy     26.2     410.00   460.00   435.00    35.91    100.51        -
hdr-roomy     ours     410.00   460.00   435.00    35.91    100.51        -

hdr3-ftr3     24.2     396.00   446.00   421.00    35.91     77.31   793.21
hdr3-ftr3     26.2     396.00   446.00   421.00    35.91     77.31   793.21
hdr3-ftr3     ours     396.00   446.00   421.00    35.91     77.31   793.21

inhdr-3line   24.2     405.00   455.00   430.00    35.91     90.76        -
inhdr-3line   26.2     405.00   455.00   430.00    35.91     90.76        -
inhdr-3line   ours     405.00   455.00   430.00    35.91     90.76        -

none          24.2     377.75   427.50   402.62        -     35.91        -
none          26.2     377.75   427.50   402.62        -     35.91        -
none          ours     377.75   427.75   402.75        -     35.91        -

