track	path	ext	rawO	rawR	alnumO	alnumR	nonO	nonR
words	words/batch-001/doc/FAA-2013-0422-0009_attachment_1.doc	doc	1907	1907	1845	1845	62	62
words	words/batch-001/doc/GLACIERBG.ETT.doc	doc	411	411	408	408	3	3
words	words/batch-001/doc/LENTOBUSSIAIKATAULU.-31.10.-31.12.2022.doc	doc	128	128	104	104	24	24
words	words/batch-001/doc/advert-for-draft-decision-airbus-epr-bm3965ia-v006.doc	doc	387	387	385	385	2	2
words	words/batch-001/doc/foca_form_1.doc	doc	1687	1687	1672	1672	15	15
words	words/batch-001/docx/CMTA_Airport_Transportation.docx	docx	260	260	255	255	5	5
words	words/batch-001/docx/Pre-Application_Letter_of_Intent_Example.docx	docx	350	350	350	350	0	0
words	words/batch-001/docx/Sample_PAO-PSO_91-113_Letter.docx	docx	317	317	307	307	10	10
words	words/batch-001/docx/Service-Bulletin-SDFNR5-April-25-2023-FNR-TRANSMISSION-LUBRICATION.docx	docx	300	300	297	297	3	3
words	words/batch-001/docx/private-hire-operators-licensed.docx	docx	239	239	237	237	2	2
words	words/batch-002/doc/Bull01-06-Reserve Training Standards.doc	doc	1483	1483	1482	1482	1	1
words	words/batch-002/doc/FMRBullletinB-28.doc	doc	461	461	461	461	0	0
words	words/batch-002/doc/prison-population-bulletin-june.doc	doc	1440	1440	1425	1425	15	15
words	words/batch-002/docx/AUWG min 4-3-24 final.docx	docx	649	649	647	647	2	2
words	words/batch-002/docx/CSCRS_Technical-Report-Documentation-Page-with-instructions.docx	docx	720	720	719	719	1	1
words	words/batch-002/docx/FAA-High-Level-Org-Chart.docx	docx	812	812	673	673	139	139
words	words/batch-002/docx/Interview-mit-Manfred1-Müller.docx	docx	805	805	801	801	4	4
words	words/batch-002/docx/easa-form-1.docx	docx	1434	1433	1421	1421	13	12
words	words/batch-002/docx/lk03_17.docx	docx	373	373	367	367	6	6
words	words/batch-002/docx/s33song-beverlyactproductionofdocuments.docx	docx	572	572	571	571	1	1
