identity	ext	path	npages	ours_overlaps	ref_overlaps	ours_pages	ref_pages	worst_page
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782__xlsx	xlsx	sheets/chartset-013/xlsx/019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782.xlsx	9	0	2	0	1	0
076_Inventory_list_accessibility_guide_Use_this_template_f43dab19__xlsx	xlsx	sheets/chartset-014/xlsx/076_Inventory_list_accessibility_guide_Use_this_template_f43dab19.xlsx	9	0	10	0	4	0
apron-area__xls	xls	sheets/done-005/xls/apron-area.xls	3	20	38	2	2	2
Aircraft_Database__xlsx	xlsx	sheets/done-014/xlsx/Aircraft_Database.xlsx	134	6	6	1	1	0
SIL_TDB648__xlsx	xlsx	sheets/pagination-001/xlsx/SIL_TDB648.xlsx	90	1	1	1	1	0
7-Zulkefli_Part147n66_IKMAS__pptx	pptx	slides/ceiling-001/pptx/7-Zulkefli_Part147n66_IKMAS.pptx	18	0	4	0	2	0
Sylva%20introduction%20session__pptx	pptx	slides/ceiling-001/pptx/Sylva%20introduction%20session.pptx	15	5	5	2	2	0
WiGr_2021W_1_Angebot-Nachfrage-Elastizität-211017-171222__pptx	pptx	slides/ceiling-002/pptx/WiGr_2021W_1_Angebot-Nachfrage-Elastizität-211017-171222.pptx	51	0	1	0	1	0
pres_ioc_phuket__ppt	ppt	slides/ceiling-002/ppt/pres_ioc_phuket.ppt	26	2	3	2	2	0
Fundamentals_Module_1_basics__ppt	ppt	slides/ceiling-001/ppt/Fundamentals_Module_1_basics.ppt	26	315	11	7	5	6
N2_E_Maestroni_Swarm_COP__pptx	pptx	slides/ceiling-001/pptx/N2_E_Maestroni_Swarm_COP.pptx	30	45	41	30	30	1
solog_orientation_august_2019__pptx	pptx	slides/ceiling-001/pptx/solog_orientation_august_2019.pptx	15	3	3	2	2	0
036_Chevron_Process_Cards_3c8f0ea1__pptx	pptx	slides/chartset-014/pptx/036_Chevron_Process_Cards_3c8f0ea1.pptx	3	0	10	0	2	0
ws_prod-g-doc-Events-Part-M-presentation__ppt	ppt	slides/done-002/ppt/ws_prod-g-doc-Events-Part-M-presentation.ppt	30	0	47	0	17	0
ws_prod-g-doc-Events-2007-september-M.017-(French)-France__ppt	ppt	slides/done-003/ppt/ws_prod-g-doc-Events-2007-september-M.017-(French)-France.ppt	55	0	180	0	52	0
DOE Interactive Exercise Presentation draft rev 2__pptx	pptx	slides/done-004/pptx/DOE Interactive Exercise Presentation draft rev 2.pptx	10	1	1	1	1	0
redac-fullComm-201705-EE-FRs-briefing__pptx	pptx	slides/done-004/pptx/redac-fullComm-201705-EE-FRs-briefing.pptx	8	0	8	0	8	0
029_8-Step_Neumorphic_Cycle_Diagram_b9b75044__pptx	pptx	slides/chartset-014/pptx/029_8-Step_Neumorphic_Cycle_Diagram_b9b75044.pptx	3	0	16	0	2	0
ANG C-1 ATC-TO Core Program - HF REDAC briefing September 7 2016__pptx	pptx	slides/done-005/pptx/ANG C-1 ATC-TO Core Program - HF REDAC briefing September 7 2016.pptx	19	1	1	1	1	0
014_3D_Radial_Block_List_for_PowerPoint_and_Google_Slides_0773075e__pptx	pptx	slides/chartset-013/pptx/014_3D_Radial_Block_List_for_PowerPoint_and_Google_Slides_0773075e.pptx	3	0	4	0	2	0
REDAC HF briefing Sep 2016_LARD_ATC_TO_FE_v2__pptx	pptx	slides/done-006/pptx/REDAC HF briefing Sep 2016_LARD_ATC_TO_FE_v2.pptx	18	1	1	1	1	0
nabiyeleul_1_aviation_service_28_july_2020__pptx	pptx	slides/done-006/pptx/nabiyeleul_1_aviation_service_28_july_2020.pptx	9	0	3	0	1	0
010605Vul__ppt	ppt	slides/done-003/ppt/010605Vul.ppt	21	2	2	2	2	0
1-secretariat__ppt	ppt	slides/done-007/ppt/1-secretariat.ppt	10	4	13	2	9	0
