identity	ext	track	path	npages	ink_sum	ink_per_page	ink_max_page	max_page_no	major_pages	note	max_page_hint
(5000021142)-(subc0226)-criminology-subject-collection-list__xlsx	xlsx	sheets	sheets/done-002/xlsx/(5000021142)-(subc0226)-criminology-subject-collection-list.xlsx	3	0.00	0.0000	0.00	1	0	ok	
001_1-2-3_Horizontal_Hierarchy_39795b4d__pptx	pptx	slides	slides/chartset-006/pptx/001_1-2-3_Horizontal_Hierarchy_39795b4d.pptx	3	0.87	0.2900	0.48	1	1	ok	
001_Contextures_chart_sample_b089bc34__xlsx	xlsx	sheets	sheets/chartset-013/xlsx/001_Contextures_chart_sample_b089bc34.xlsx	15	0.08	0.0053	0.07	12	1	ok	top-left: a fill or background shading we draw and the reference does not (0.55% of page, x 0.13-0.53, y 0.10-0.11)
001_Free_Genogram_Diagram_Template_Blue_and_Gray_Theme_7c9e01a7__docx	docx	words	words/chartset-006/docx/001_Free_Genogram_Diagram_Template_Blue_and_Gray_Theme_7c9e01a7.docx	1	0.27	0.2700	0.27	1	0	ok	
001_advanced_excel_bar__xlsx	xlsx	sheets	sheets/chartset-001/xlsx/001_advanced_excel_bar.xlsx	3	0.06	0.0200	0.06	1	0	ok	
001_advanced_powerpoint_bar__pptx	pptx	slides	slides/chartset-002/pptx/001_advanced_powerpoint_bar.pptx	1	0.06	0.0600	0.06	1	0	ok	
001_advanced_word_chart_report__docx	docx	words	words/chartset-003/docx/001_advanced_word_chart_report.docx	1	0.51	0.5100	0.51	1	0	ok	
002_10-Point_Dual_Hub_Comparison_4ee242c9__pptx	pptx	slides	slides/chartset-010/pptx/002_10-Point_Dual_Hub_Comparison_4ee242c9.pptx	3	0.67	0.2233	0.58	1	1	ok	top-centre: marks displaced or reshaped (5.71% of page, x 0.07-0.94, y 0.03-0.11)
002_Contextures_chart_sample_f605e7bc__xlsx	xlsx	sheets	sheets/chartset-012/xlsx/002_Contextures_chart_sample_f605e7bc.xlsx	8	0.13	0.0163	0.09	3	0	ok	
002_Free_Genogram_Diagram_Template_Customizable_Format_2219584b__docx	docx	words	words/chartset-006/docx/002_Free_Genogram_Diagram_Template_Customizable_Format_2219584b.docx	1	0.75	0.7500	0.75	1	1	ok	top-left: a fill or background shading we draw and the reference does not (0.48% of page, x 0.10-0.11, y 0.03-0.38)
002_advanced_excel_line__xlsx	xlsx	sheets	sheets/chartset-001/xlsx/002_advanced_excel_line.xlsx	3	0.00	0.0000	0.00	1	0	ok	
002_advanced_powerpoint_column__pptx	pptx	slides	slides/chartset-003/pptx/002_advanced_powerpoint_column.pptx	1	0.00	0.0000	0.00	1	0	ok	
002_advanced_word_chart_report__docx	docx	words	words/chartset-001/docx/002_advanced_word_chart_report.docx	1	0.37	0.3700	0.37	1	0	ok	
003_2-Circle_Venn_Diagram_7ab74e5c__pptx	pptx	slides	slides/chartset-012/pptx/003_2-Circle_Venn_Diagram_7ab74e5c.pptx	3	0.03	0.0100	0.01	1	0	ok	
003_Contextures_chart_sample_9bda2719__xlsm	xlsm	sheets	sheets/chartset-007/xlsm/003_Contextures_chart_sample_9bda2719.xlsm	6	0.20	0.0333	0.13	4	0	ok	
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42__docx	docx	words	words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	1	0.12	0.1200	0.12	1	0	ok	
003__doc	doc	words	words/done-006/doc/003.doc	5	0.19	0.0380	0.15	1	0	ok	
003_advanced_excel_pie__xlsx	xlsx	sheets	sheets/chartset-002/xlsx/003_advanced_excel_pie.xlsx	3	0.00	0.0000	0.00	1	0	ok	
003_advanced_powerpoint_line__pptx	pptx	slides	slides/chartset-003/pptx/003_advanced_powerpoint_line.pptx	1	0.02	0.0200	0.02	1	0	ok	
003_advanced_word_chart_report__docx	docx	words	words/chartset-003/docx/003_advanced_word_chart_report.docx	1	0.55	0.5500	0.55	1	0	ok	
004_2-Stage_Vertical_Funnel_Diagram_for_PowerPoint_593f4c80__pptx	pptx	slides	slides/chartset-005/pptx/004_2-Stage_Vertical_Funnel_Diagram_for_PowerPoint_593f4c80.pptx	1	0.76	0.7600	0.76	1	1	ok	top-left: ink missing from ours — a graphic, glyphs or a fill (2.13% of page, x 0.07-0.43, y 0.09-0.17)
004_Contextures_chart_sample_de7c0671__xlsx	xlsx	sheets	sheets/chartset-005/xlsx/004_Contextures_chart_sample_de7c0671.xlsx	4	0.39	0.0975	0.39	1	1	ok	middle-centre: ink missing from ours — a graphic, glyphs or a fill (0.93% of page, x 0.31-0.39, y 0.55-0.70)
004_Free_Genogram_Diagram_Template_Editable_Format_b82b6152__docx	docx	words	words/chartset-008/docx/004_Free_Genogram_Diagram_Template_Editable_Format_b82b6152.docx	1	0.24	0.2400	0.24	1	1	ok	top-left: ink we draw that the reference does not (0.57% of page, x 0.04-0.13, y 0.21-0.34)
004_advanced_excel_doughnut__xlsx	xlsx	sheets	sheets/chartset-003/xlsx/004_advanced_excel_doughnut.xlsx	3	0.32	0.1067	0.32	1	0	ok	
004_advanced_powerpoint_pie__pptx	pptx	slides	slides/chartset-004/pptx/004_advanced_powerpoint_pie.pptx	1	0.07	0.0700	0.07	1	0	ok	
004_advanced_word_chart_report__docx	docx	words	words/chartset-003/docx/004_advanced_word_chart_report.docx	1	0.49	0.4900	0.49	1	0	ok	
00514292__xlsx	xlsx	sheets	sheets/done-003/xlsx/00514292.xlsx	9	0.19	0.0211	0.15	3	0	ok	
005_2-Step_Funnel_On_left_With_Text_767f0490__pptx	pptx	slides	slides/chartset-005/pptx/005_2-Step_Funnel_On_left_With_Text_767f0490.pptx	1	0.78	0.7800	0.78	1	1	ok	top-left: ink missing from ours — a graphic, glyphs or a fill (2.13% of page, x 0.07-0.43, y 0.09-0.17)
005_Contextures_chart_sample_6e279b08__xlsx	xlsx	sheets	sheets/chartset-006/xlsx/005_Contextures_chart_sample_6e279b08.xlsx	8	0.74	0.0925	0.42	1	0	ok	
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0__docx	docx	words	words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	1	0.40	0.4000	0.40	1	0	ok	
005_advanced_excel_area__xlsx	xlsx	sheets	sheets/chartset-001/xlsx/005_advanced_excel_area.xlsx	3	0.07	0.0233	0.06	2	0	ok	
005_advanced_powerpoint_doughnut__pptx	pptx	slides	slides/chartset-003/pptx/005_advanced_powerpoint_doughnut.pptx	1	0.17	0.1700	0.17	1	0	ok	
005_advanced_word_chart_report__docx	docx	words	words/chartset-002/docx/005_advanced_word_chart_report.docx	1	0.31	0.3100	0.31	1	0	ok	
006_2-Way_Horizontal_Hierarchy_for_PowerPoint_and_Google_Slides_7c1e5084__pptx	pptx	slides	slides/chartset-005/pptx/006_2-Way_Horizontal_Hierarchy_for_PowerPoint_and_Google_Slides_7c1e5084.pptx	3	0.53	0.1767	0.35	2	1	ok	top-centre: ink we draw that the reference does not (0.83% of page, x 0.35-0.49, y 0.09-0.17)
006_Contextures_chart_sample_afa23b53__xlsx	xlsx	sheets	sheets/chartset-006/xlsx/006_Contextures_chart_sample_afa23b53.xlsx	5	0.13	0.0260	0.10	2	0	ok	
006_Free_Genogram_Diagram_Template_Fillable_Format_7ca08541__docx	docx	words	words/chartset-008/docx/006_Free_Genogram_Diagram_Template_Fillable_Format_7ca08541.docx	1	0.50	0.5000	0.50	1	1	ok	top-centre: a fill or background shading we draw and the reference does not (0.57% of page, x 0.45-0.54, y 0.15-0.21)
006_advanced_excel_scatter__xlsx	xlsx	sheets	sheets/chartset-001/xlsx/006_advanced_excel_scatter.xlsx	3	0.00	0.0000	0.00	1	0	ok	
006_advanced_powerpoint_area__pptx	pptx	slides	slides/chartset-002/pptx/006_advanced_powerpoint_area.pptx	1	0.00	0.0000	0.00	1	0	ok	
006_advanced_word_chart_report__docx	docx	words	words/chartset-002/docx/006_advanced_word_chart_report.docx	1	0.51	0.5100	0.51	1	0	ok	
007_3_Circles_Diagram_for_PowerPoint_dac9f170__pptx	pptx	slides	slides/chartset-006/pptx/007_3_Circles_Diagram_for_PowerPoint_dac9f170.pptx	3	0.06	0.0200	0.03	1	0	ok	
007_Contextures_chart_sample_667d8e47__xlsm	xlsm	sheets	sheets/chartset-011/xlsm/007_Contextures_chart_sample_667d8e47.xlsm	7	0.13	0.0186	0.09	3	0	ok	
007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829__docx	docx	words	words/chartset-009/docx/007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829.docx	1	0.29	0.2900	0.29	1	0	ok	
007_advanced_excel_bubble__xlsx	xlsx	sheets	sheets/chartset-002/xlsx/007_advanced_excel_bubble.xlsx	3	0.02	0.0067	0.01	1	0	ok	
007_advanced_powerpoint_scatter__pptx	pptx	slides	slides/chartset-002/pptx/007_advanced_powerpoint_scatter.pptx	1	0.00	0.0000	0.00	1	0	ok	
