mentions	stem	ext	where
0	(5000021142)-(subc0226)-criminology-subject-collection-list	xlsx	
1	001_1-2-3_Horizontal_Hierarchy_39795b4d	pptx	pptx-field-r82
3	001_Contextures_chart_sample_b089bc34	xlsx	chart-label-anchor;odf-gate-01;sheets-r63
1	001_Free_Genogram_Diagram_Template_Blue_and_Gray_Theme_7c9e01a7	docx	words-group-transform
1	001_advanced_excel_bar	xlsx	chart-text-metafile
9	001_advanced_powerpoint_bar	pptx	slides-r60;slides-r62
0	001_advanced_word_chart_report	docx	
0	002_10-Point_Dual_Hub_Comparison_4ee242c9	pptx	
0	002_Contextures_chart_sample_f605e7bc	xlsx	
1	002_Free_Genogram_Diagram_Template_Customizable_Format_2219584b	docx	words-group-transform
1	002_advanced_excel_line	xlsx	chart-axis-r87
5	002_advanced_powerpoint_column	pptx	chart-cat-reverse;slides-r60;slides-r62
0	002_advanced_word_chart_report	docx	
395	003	doc	L1-text-metrics;L4-doc-legacy;L5-slides;L8-drawing;chart-cat-reverse;chart-inner-r110
0	003_2-Circle_Venn_Diagram_7ab74e5c	pptx	
7	003_Contextures_chart_sample_9bda2719	xlsm	chart-inner-r110;sheets-r58;sheets-r59;sheets-r61;slides-r59
1	003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42	docx	words-group-transform
61	003_advanced_excel_pie	xlsx	chart-text-metafile;dotnet;ods-track-r88;sheets-r50-chartex;sheets-r51-bands;sheets-r53-totalsrow
11	003_advanced_powerpoint_line	pptx	slides-r60;slides-r62;slides-r63
0	003_advanced_word_chart_report	docx	
0	004_2-Stage_Vertical_Funnel_Diagram_for_PowerPoint_593f4c80	pptx	
1	004_Contextures_chart_sample_de7c0671	xlsx	chart-axis-r87
0	004_Free_Genogram_Diagram_Template_Editable_Format_b82b6152	docx	
0	004_advanced_excel_doughnut	xlsx	
0	004_advanced_powerpoint_pie	pptx	
0	004_advanced_word_chart_report	docx	
4	00514292	xlsx	odf-gate-01;sheets-d-01;sheets-r52-condvalue
0	005_2-Step_Funnel_On_left_With_Text_767f0490	pptx	
12	005_Contextures_chart_sample_6e279b08	xlsx	chart-inner-r110;probes;sheets-r54;sheets-r59;sheets-r60;sheets-r61
0	005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0	docx	
0	005_advanced_excel_area	xlsx	
1	005_advanced_powerpoint_doughnut	pptx	slides-r53
1	005_advanced_word_chart_report	docx	words-r63
0	006_2-Way_Horizontal_Hierarchy_for_PowerPoint_and_Google_Slides_7c1e5084	pptx	
1	006_Contextures_chart_sample_afa23b53	xlsx	chart-axis-r87
0	006_Free_Genogram_Diagram_Template_Fillable_Format_7ca08541	docx	
0	006_advanced_excel_scatter	xlsx	
10	006_advanced_powerpoint_area	pptx	dotnet;slides-r60;slides-r62
0	006_advanced_word_chart_report	docx	
0	007_3_Circles_Diagram_for_PowerPoint_dac9f170	pptx	
1	007_Contextures_chart_sample_667d8e47	xlsm	slides-r59
0	007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829	docx	
0	007_advanced_excel_bubble	xlsx	
0	007_advanced_powerpoint_scatter	pptx	
1	007_advanced_word_chart_report	docx	words-r63
0	008_3-Circle_Venn_Diagram_024a12c5	pptx	
1	008_Contextures_chart_sample_7ea7a1d7	xlsx	stroke-resid-r117
1	008_Free_Genogram_Diagram_Template_Green_and_Yellow_Theme_9017c1a8	docx	words-group-transform
0	008_advanced_excel_radar	xlsx	
1	008_advanced_powerpoint_bubble	pptx	chart-vertical
0	008_advanced_word_chart_report	docx	
1	009_3-Circle_Venn_PowerPoint_Diagram_2e59baa9	pptx	slides-r52
0	009_Contextures_chart_sample_adcb3f6c	xlsx	
1	009_Free_Genogram_Diagram_Template_Handy_Format_4bb900f0	docx	words-group-transform
1	009_advanced_excel_bar	xlsx	slides-r63
0	009_advanced_powerpoint_bar	pptx	
0	009_advanced_word_chart_report	docx	
39	010605Vul	ppt	dotnet;ppt-spacing-r115;slides-arch-01;slides-bullet2-r112;slides-r39;slides-r52
0	010_3-Group_Hierarchy_for_PowerPoint_and_Google_Slides_20476ce0	pptx	
0	010_Contextures_chart_sample_e6ea06a3	xlsx	
1	010_Free_Genogram_Diagram_Template_Yellow_Theme_6ee4f818	docx	words-group-transform
1	010_advanced_excel_line	xlsx	chart-smooth-r102
0	010_advanced_powerpoint_column	pptx	
0	010_advanced_word_chart_report	docx	
0	011_3-Stage_Vertical_Funnel_Diagram_for_PowerPoint_10ce23dd	pptx	
3	011_Contextures_chart_sample_599b4392	xls	ods-band-r75;quantise-r120
0	011_Project_Timeline_Template_Beautiful_Theme_2336e680	docx	
17	011_advanced_excel_pie	xlsx	dotnet;ods-track-r88;sheets-r59;sheets-r60;sheets-r61;sheets-r62
0	011_advanced_powerpoint_line	pptx	
0	011_advanced_word_chart_report	docx	
0	012_3-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_982482b5	pptx	
2	012_Contextures_chart_sample_9900da76	xlsx	clip-seats-r97;sheets-r55
2	012_Project_Timeline_Template_Black_and_Brown_Theme_35c76550	docx	words-r62
0	012_advanced_excel_doughnut	xlsx	
1	012_advanced_powerpoint_pie	pptx	slides-r53
0	012_advanced_word_chart_report	docx	
0	013_3-Step_Segmented_Cycle_Process_5232f82d	pptx	
3	013_Contextures_chart_sample_21b98e22	xlsx	sheets-r54;sheets-r55
0	013_Project_Timeline_Template_Blue_Background_4ea3475e	docx	
1	013_advanced_excel_area	xlsx	sheets-r58
0	013_advanced_powerpoint_doughnut	pptx	
0	013_advanced_word_chart_report	docx	
0	014_3D_Radial_Block_List_for_PowerPoint_and_Google_Slides_0773075e	pptx	
19	014_Contextures_chart_sample_991ecfc5	xls	chart-geom-r108;chart-inner-r110;chart-resid-r99;chart-secaxis;chart-slide-r117;dotnet
0	014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1	docx	
2	014_advanced_excel_scatter	xlsx	chart-smooth-r102;sheets-r58
0	014_advanced_powerpoint_area	pptx	
0	014_advanced_word_chart_report	docx	
0	015_4-Option_Color_Wheel_Diagram_df7e4b8f	pptx	
0	015_Free_Gantt_Chart_Template_for_Excel_414e86bf	xlsx	
3	015_Project_Timeline_Template_Colored_Background_6434b0e8	docx	chart-label-anchor;words-r62
0	015_advanced_excel_bubble	xlsx	
0	015_advanced_powerpoint_scatter	pptx	
0	015_advanced_word_chart_report	docx	
0	016_4-Position_Org_Chart_1d3640b6	pptx	
0	016_Free_Organizational_Chart_Template_-_Company_Organization_Chart_db913144	xlsx	
0	016_Project_Timeline_Template_Complete_Guide_7d36d09c	docx	
0	016_advanced_excel_radar	xlsx	
0	016_advanced_powerpoint_bubble	pptx	
0	016_advanced_word_chart_report	docx	
0	017_4-Stage_Vertical_Funnel_Diagram_for_PowerPoint_61e7bde5	pptx	
0	017_Project_Timeline_Template_Customizable_Format_5d5ca2e8	docx	
4	017_Timeline_Templates_for_Excel_b88faee6	xlsx	ods-notes-r92;ods-residue-r95
0	017_advanced_excel_bar	xlsx	
0	017_advanced_powerpoint_bar	pptx	
0	017_advanced_word_chart_report	docx	
0	018_4-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_19957cce	pptx	
0	018_Project_Timeline_Template_Editable_Format_e1cf1df5	docx	
0	018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a	xlsx	
0	018_advanced_excel_line	xlsx	
0	018_advanced_powerpoint_column	pptx	
0	018_advanced_word_chart_report	docx	
0	019_4-Step_Segmented_Cycle_Process_2ff93c19	pptx	
1	019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782	xlsx	sheets-r53-totalsrow
0	019_Project_Timeline_Template_Excellent_Layout_4ee62967	docx	
15	019_advanced_excel_pie	xlsx	clip-seats-r97;dotnet;ods-track-r88;sheets-r59;sheets-r60;sheets-r61
0	019_advanced_powerpoint_line	pptx	
0	019_advanced_word_chart_report	docx	
0	020_5-Option_Color_Wheel_Diagram_104ea3b0	pptx	
1	020_Free_Blood_Pressure_Chart_and_Printable_Blood_Pressure_Log_8f8dcc39	xlsx	sheets-r51-bands
0	020_Project_Timeline_Template_Modern_Theme_0c215d87	docx	
0	020_advanced_excel_doughnut	xlsx	
0	020_advanced_powerpoint_pie	pptx	
0	020_advanced_word_chart_report	docx	
0	021_5-Position_Org_Chart_cb042559	pptx	
0	021_Control_Chart_Template_-_Create_Control_Charts_in_Excel_fd3b1a5d	xlsx	
1	021_Unit_Circle_Chart_3D_Pie_Chart_404247ab	docx	chart-3d-r110
0	021_advanced_excel_area	xlsx	
0	021_advanced_powerpoint_doughnut	pptx	
0	021_advanced_word_chart_report	docx	
0	022_5-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_eda9895e	pptx	
0	022_Pareto_Chart_Template_-_Pareto_Analysis_in_Excel_with_Pareto_Diagram_82b5a874	xlsx	
0	022_Unit_Circle_Chart_Circle_A_and_B_19dbf275	docx	
2	022_advanced_excel_scatter	xlsx	sheets-r58;slides-r63
0	022_advanced_powerpoint_area	pptx	
0	022_advanced_word_chart_report	docx	
0	023_5-Step_Progress_Cards_91d5ff57	pptx	
0	023_Unit_Circle_Chart_Circular_Percentage_790f7b75	docx	
1	023_Waterfall_Chart_Template_for_Excel_349f7689	xlsx	sheets-r62
0	023_advanced_excel_bubble	xlsx	
0	023_advanced_powerpoint_scatter	pptx	
0	023_advanced_word_chart_report	docx	
0	024_5-Step_Segmented_Cycle_Process_c8ca37ef	pptx	
0	024_Free_Kids_Chore_Chart_Template_ad74bb34	xlsx	
0	024_Unit_Circle_Chart_Colorful_Circles_7c92601e	docx	
0	024_advanced_excel_radar	xlsx	
0	024_advanced_powerpoint_bubble	pptx	
0	024_advanced_word_chart_report	docx	
0	025_6-Option_Color_Wheel_Diagram_27e1c74d	pptx	
0	025_Printable_Reward_Charts_for_Kids_-_Reward_Chart_Template_aabacd93	xlsx	
1	025_Unit_Circle_Chart_Cos_and_Sin_Model_1ed01892	docx	words-r51-flies
1	025_advanced_excel_bar	xlsx	sheets-r58
0	025_advanced_powerpoint_bar	pptx	
0	025_advanced_word_chart_report	docx	
0	026_6-Part_Hexagon_Radial_Diagram_b8ca3f40	pptx	
0	026_Monthly_cash_flow_statement_Use_this_template_8aaebea1	xlsx	
1	026_Unit_Circle_Chart_Four_Quadrants_09bf3ed1	docx	words-group-transform
0	026_advanced_excel_line	xlsx	
1	026_advanced_powerpoint_column	pptx	slides-r62
0	026_advanced_word_chart_report	docx	
0	027_6-Point_Dual_Hub_Comparison_13f9af30	pptx	
0	027_Simple_personal_cash_flow_statement_675c6584	xlsx	
2	027_Unit_Circle_Chart_Graphical_Chart_5462a579	docx	chart-inner-r110;words-r52
