identity	ext	path	npages	ours_solo	ours_solo_pt	ours_solo_pages	ref_solo	ref_solo_pt	ref_solo_pages	worst_page
AW-104D-RVSM-Aircraft-Approval-Checklist.pdf__docx	docx	words/ceiling-001/docx/AW-104D-RVSM-Aircraft-Approval-Checklist.pdf.docx	2	8	2980	2	8	2980	2	1
014_advanced_word_chart_report__docx	docx	words/chartset-001/docx/014_advanced_word_chart_report.docx	1	4	2043	1	2	1023	1	1
032_advanced_word_chart_report__docx	docx	words/chartset-001/docx/032_advanced_word_chart_report.docx	1	4	2043	1	2	1023	1	1
pie-chart-result__docx	docx	words/chartset-001/docx/pie-chart-result.docx	1	0	0	0	21	1239	1	0
006_advanced_word_chart_report__docx	docx	words/chartset-002/docx/006_advanced_word_chart_report.docx	1	4	2043	1	2	1023	1	1
017_advanced_word_chart_report__docx	docx	words/chartset-002/docx/017_advanced_word_chart_report.docx	1	4	2043	1	2	1023	1	1
029_advanced_word_chart_report__docx	docx	words/chartset-002/docx/029_advanced_word_chart_report.docx	1	4	2043	1	2	1023	1	1
001_advanced_word_chart_report__docx	docx	words/chartset-003/docx/001_advanced_word_chart_report.docx	1	4	2043	1	2	1023	1	1
007_advanced_word_chart_report__docx	docx	words/chartset-003/docx/007_advanced_word_chart_report.docx	1	4	2043	1	2	1023	1	1
019_advanced_word_chart_report__docx	docx	words/chartset-003/docx/019_advanced_word_chart_report.docx	1	4	2043	1	2	1023	1	1
028_advanced_word_chart_report__docx	docx	words/chartset-003/docx/028_advanced_word_chart_report.docx	1	4	2043	1	2	1023	1	1
013_advanced_word_chart_report__docx	docx	words/chartset-004/docx/013_advanced_word_chart_report.docx	1	4	2043	1	2	1023	1	1
024_advanced_word_chart_report__docx	docx	words/chartset-004/docx/024_advanced_word_chart_report.docx	1	4	2043	1	2	1023	1	1
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0__docx	docx	words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	1	0	0	0	33	923	1	0
001_Free_Genogram_Diagram_Template_Blue_and_Gray_Theme_7c9e01a7__docx	docx	words/chartset-006/docx/001_Free_Genogram_Diagram_Template_Blue_and_Gray_Theme_7c9e01a7.docx	1	1	20	1	29	726	1	1
057_Organogram_Template_Vertical_Colorful_Theme_724b143c__docx	docx	words/chartset-006/docx/057_Organogram_Template_Vertical_Colorful_Theme_724b143c.docx	1	0	0	0	75	5032	1	0
002_advanced_word_chart_report__docx	docx	words/chartset-001/docx/002_advanced_word_chart_report.docx	1	4	2043	1	2	1023	1	1
020_advanced_word_chart_report__docx	docx	words/chartset-001/docx/020_advanced_word_chart_report.docx	1	4	2043	1	2	1023	1	1
clustered-column-result__docx	docx	words/chartset-001/docx/clustered-column-result.docx	1	0	0	0	3	862	1	0
pie-chart-template__docx	docx	words/chartset-001/docx/pie-chart-template.docx	1	0	0	0	3	763	1	0
058_Organogram_Template_With_Picture_Theme_44b79368__docx	docx	words/chartset-007/docx/058_Organogram_Template_With_Picture_Theme_44b79368.docx	1	0	0	0	42	3411	1	0
011_advanced_word_chart_report__docx	docx	words/chartset-002/docx/011_advanced_word_chart_report.docx	1	4	2043	1	2	1023	1	1
021_advanced_word_chart_report__docx	docx	words/chartset-002/docx/021_advanced_word_chart_report.docx	1	4	2043	1	2	1023	1	1
030_advanced_word_chart_report__docx	docx	words/chartset-002/docx/030_advanced_word_chart_report.docx	1	4	2043	1	2	1023	1	1
006_Free_Genogram_Diagram_Template_Fillable_Format_7ca08541__docx	docx	words/chartset-008/docx/006_Free_Genogram_Diagram_Template_Fillable_Format_7ca08541.docx	1	0	0	0	31	1010	1	0
003_advanced_word_chart_report__docx	docx	words/chartset-003/docx/003_advanced_word_chart_report.docx	1	4	2043	1	2	1023	1	1
009_advanced_word_chart_report__docx	docx	words/chartset-003/docx/009_advanced_word_chart_report.docx	1	4	2043	1	2	1023	1	1
092_Business_Case_Template_Convenient_Format_00786cce__docx	docx	words/chartset-008/docx/092_Business_Case_Template_Convenient_Format_00786cce.docx	7	27	3276	1	0	0	0	2
025_advanced_word_chart_report__docx	docx	words/chartset-003/docx/025_advanced_word_chart_report.docx	1	4	2043	1	2	1023	1	1
007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829__docx	docx	words/chartset-009/docx/007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829.docx	1	0	0	0	18	707	1	0
010_advanced_word_chart_report__docx	docx	words/chartset-004/docx/010_advanced_word_chart_report.docx	1	4	2043	1	2	1023	1	1
018_advanced_word_chart_report__docx	docx	words/chartset-004/docx/018_advanced_word_chart_report.docx	1	4	2043	1	2	1023	1	1
027_Unit_Circle_Chart_Graphical_Chart_5462a579__docx	docx	words/chartset-009/docx/027_Unit_Circle_Chart_Graphical_Chart_5462a579.docx	1	0	0	0	19	466	1	0
031_advanced_word_chart_report__docx	docx	words/chartset-004/docx/031_advanced_word_chart_report.docx	1	4	2043	1	2	1023	1	1
041_Visual_Product_Roadmap_Template_Blank_Format_63a3e010__docx	docx	words/chartset-009/docx/041_Visual_Product_Roadmap_Template_Blank_Format_63a3e010.docx	1	0	0	0	9	532	1	0
054_Organogram_Template_Grey_Vertical_Theme_b2dbd9a8__docx	docx	words/chartset-005/docx/054_Organogram_Template_Grey_Vertical_Theme_b2dbd9a8.docx	1	0	0	0	51	2918	1	0
002_Free_Genogram_Diagram_Template_Customizable_Format_2219584b__docx	docx	words/chartset-006/docx/002_Free_Genogram_Diagram_Template_Customizable_Format_2219584b.docx	1	0	0	0	39	969	1	0
051_Organogram_Template_Basic_Theme_e6464d06__docx	docx	words/chartset-010/docx/051_Organogram_Template_Basic_Theme_e6464d06.docx	1	0	0	0	51	5178	1	0
067_Work_Breakdown_Structure_Template_Gray_Theme_89f8be8b__docx	docx	words/chartset-010/docx/067_Work_Breakdown_Structure_Template_Gray_Theme_89f8be8b.docx	1	3	2079	1	76	7842	1	1
040_Venn_Diagram_Template_Three_Circle_80f32f5e__docx	docx	words/chartset-011/docx/040_Venn_Diagram_Template_Three_Circle_80f32f5e.docx	1	0	0	0	3	1737	1	0
093_Business_Case_Template_Customizable_Layout_510c25e7__docx	docx	words/chartset-006/docx/093_Business_Case_Template_Customizable_Layout_510c25e7.docx	1	23	12340	1	23	12339	1	1
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06__docx	docx	words/chartset-011/docx/064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	1	0	0	0	3	1755	1	0
