identity	ext	path	toc_fields	hyp_runs	toc_pages	ours_toc_pt	ref_toc_pt	ours_other_median	ref_other_median	first_toc_page
092_Business_Case_Template_Convenient_Format_00786cce__docx	docx	words/chartset-008/docx/092_Business_Case_Template_Convenient_Format_00786cce.docx	1	22	1	4371	1094	5014	5014	2
091_Business_Case_Template_Complete_Guide_cb91a140__docx	docx	words/chartset-013/docx/091_Business_Case_Template_Complete_Guide_cb91a140.docx	1	11	1	882	0	0	0	2
final-technical-report-template__docx	docx	words/done-007/docx/final-technical-report-template.docx	1	15	1	592	0	0	0	4
100_Business_Case_Template_Modern_Format_ff9e7282__docx	docx	words/chartset-008/docx/100_Business_Case_Template_Modern_Format_ff9e7282.docx	1	5	1	1290	1094	3868	3868	2
SWDD-template__docx	docx	words/done-009/docx/SWDD-template.docx	1	2	1	125	463	125	463	3
FG-AI4NDM-TR-skeleton_template__docx	docx	words/done-010/docx/FG-AI4NDM-TR-skeleton_template.docx	3	22	1	1284	0	214	213	3
bulletin__docx	docx	words/done-012/docx/bulletin.docx	1	30	1	1984	0	1749	1095	2
hdss-bulletin-issue-285-25-june-2025__docx	docx	words/done-013/docx/hdss-bulletin-issue-285-25-june-2025.docx	1	52	1	5311	0	1435	804	1
231164_SystemDesignDocument__docx	docx	words/done-014/docx/231164_SystemDesignDocument.docx	3	122	2	11167	3744	1368	2770	2
5709.16 ch.40_mgfinal__docx	docx	words/done-010/docx/5709.16 ch.40_mgfinal.docx	1	82	2	19128	1907	954	953	2
DOA_Template_Form_Type_Certification_Programme__docx	docx	words/done-015/docx/DOA_Template_Form_Type_Certification_Programme.docx	1	65	1	6358	1759	2674	4493	3
Sample_SQMS_Program__docx	docx	words/done-015/docx/Sample_SQMS_Program.docx	1	73	2	7689	0	220	220	3
tibs_guidelines_2__docx	docx	words/done-011/docx/tibs_guidelines_2.docx	1	28	1	2554	0	595	2090	2
PES-Technical-Report-Template_Jan_2019__docx	docx	words/done-016/docx/PES-Technical-Report-Template_Jan_2019.docx	1	48	1	2731	864	0	0	5
dragon1-enterprise-architecture-document-example-v0.1d__docx	docx	words/done-016/docx/dragon1-enterprise-architecture-document-example-v0.1d.docx	1	31	1	4889	0	0	0	4
03_Technical_Report_(progress)_template__docx	docx	words/done-015/docx/03_Technical_Report_(progress)_template.docx	1	18	1	2676	0	7225	7225	3
airbus-pdf-information-package_v1-4__docx	docx	words/done-015/docx/airbus-pdf-information-package_v1-4.docx	1	15	1	5729	5668	9492	9163	2
technical report template__docx	docx	words/done-009/docx/technical report template.docx	1	27	1	1390	0	0	0	3
ESPN-R - MCF - Manual - Ed1.0 - For Publication__docx	docx	words/pagination-001/docx/ESPN-R - MCF - Manual - Ed1.0 - For Publication.docx	1	136	2	13136	4099	1568	2050	4
SPA-06_mcar_part-6_and_IS_v2.9__docx	docx	words/done-016/docx/SPA-06_mcar_part-6_and_IS_v2.9.docx	1	114	2	18719	3744	936	1872	12
technical-architecture__docx	docx	words/done-012/docx/technical-architecture.docx	1	38	1	4481	0	0	40	4
t_TEMPforInvProgs__docx	docx	words/done-016/docx/t_TEMPforInvProgs.docx	3	520	3	9018	5615	936	1872	8
SPA-11_mcar_part-11_v2.9__docx	docx	words/done-013/docx/SPA-11_mcar_part-11_v2.9.docx	1	172	3	24711	5615	936	1872	8
Agile_Arc_SysDes__docx	docx	words/done-015/docx/Agile_Arc_SysDes.docx	2	67	2	8639	3974	936	1872	3
system_design__technical_architecture_template__docx	docx	words/done-015/docx/system_design__technical_architecture_template.docx	1	79	2	5363	1940	3765	6664	2
FRE-03_mcar_part-3_and_IS_v2.9__docx	docx	words/metrics-001/docx/FRE-03_mcar_part-3_and_IS_v2.9.docx	1	155	2	21442	3744	936	1872	14
150-5370-10H__docx	docx	words/pagination-003/docx/150-5370-10H.docx	1	149	3	19165	1404	588	1404	6
ESPN-R - MCF - RA - Ed1__docx	docx	words/pagination-001/docx/ESPN-R - MCF - RA - Ed1.docx	1	65	1	5202	2034	5856	6569	8
report-template__docx	docx	words/pagination-001/docx/report-template.docx	5	57	1	1709	0	0	0	3
AC-150-5370-10G-updated-201604__docx	docx	words/done-016/docx/AC-150-5370-10G-updated-201604.docx	1	99	2	17918	2808	583	1404	5
TE.CAO.00125 Foreign Part 145 approvals - OJT Logbook__docx	docx	words/done-016/docx/TE.CAO.00125 Foreign Part 145 approvals - OJT Logbook.docx	1	20	1	3140	1977	13242	14162	1
EHEST-SMS-Safety-Management-Manual-V2__docx	docx	words/pagination-003/docx/EHEST-SMS-Safety-Management-Manual-V2.docx	2	26	1	5722	0	707	653	5
B11. TE.CAO.00129  Experience  logbook__docx	docx	words/table-001/docx/B11. TE.CAO.00129  Experience  logbook.docx	1	14	1	2316	1968	10069	8357	1
ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1__docx	docx	words/extra-001/docx/ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1.docx	1	68	1	3541	1104	6171	6766	3
UG.CAO.00133 Foreign Part 145 approvals - Language__docx	docx	words/extra-001/docx/UG.CAO.00133 Foreign Part 145 approvals - Language.docx	1	58	1	4103	0	628	628	4
33004__docx	docx	words/missing-001/docx/33004.docx	1	69	1	9680	1404	1851	2787	2
24-25_FAA_Holdover_Tables__docx	docx	words/pagination-001/docx/24-25_FAA_Holdover_Tables.docx	2	177	3	0	9726	6764	9474	3
FAA 2025-26 Holdover Tables__docx	docx	words/pagination-001/docx/FAA 2025-26 Holdover Tables.docx	2	178	3	0	5961	6472	9182	3
docs-quality-MA.IMS.00001-Integrated-Management-System-manual__docx	docx	words/pagination-002/docx/docs-quality-MA.IMS.00001-Integrated-Management-System-manual.docx	1	4	2	2045	2049	1324	1396	3
approvals-and-standardisation-organisation-approvals-docs-part-145-annex-B-B11.-TE.CAO.00129-Foreign-Part-145-approvals---Experience--logbook__docx	docx	words/table-001/docx/approvals-and-standardisation-organisation-approvals-docs-part-145-annex-B-B11.-TE.CAO.00129-Foreign-Part-145-approvals---Experience--logbook.docx	1	14	1	2504	1871	11418	9189	1
