file	page	clip x	clip y	clip w	clip h
26.2.4.2	1	50.4	58.28	466.214	729.609
26.2.4.2	2	50.4	493.512	466.214	294.378
26.2.4.2	3	50.4	58.28	466.186	729.609
26.2.4.2	4	50.4	493.512	466.186	294.378
26.2.4.2	5	50.4	58.28	310.791	729.609
26.2.4.2	6	50.4	493.512	310.791	294.378
base	1	-	-	-	-
base	2	-	-	-	-
base	3	-	-	-	-
base	4	-	-	-	-
base	5	-	-	-	-
base	6	-	-	-	-
after	1	50.4	57.752	466.1858	730.148
after	2	50.4	415.9378	466.1858	371.9622
after	3	50.4	57.752	466.1858	730.148
after	4	50.4	415.9378	466.1858	371.9622
after	5	50.4	57.752	310.7906	730.148
after	6	50.4	415.9378	310.7906	371.9622
26.2.4.2-fixture	1	50.4	749.48	444.756	38.409
26.2.4.2-fixture	2	50.4	749.48	444.756	38.409
after-fixture	1	50.4	746.5709	444.6709	41.3291
after-fixture	2	50.4	746.5709	444.6709	41.3291
