group	document	status	pages	pages_displaced	worst_dx_pt	spans_matched	sign
states	0080a46b1485-RMP 2011-2014 and Inventory	ok	36	36	35.20	806/7113	left
states	022381d030a3-083_Project_tracker_Use_this_template_b38d057c	ok	2	1	6.80	122/139	left
states	03b0eea04793-048_Expense_trends_budget_18d1e8ba	ok	14	2	167.02	351/465	RIGHT,left
states	05b68b77e8fc-037_Personal_money_tracker_a57957bb	ok	4	4	15.66	197/266	left
states	0c38030afd32-CSA_CCM_v1.2	ok	13	13	8.59	520/6090	left
states	0efb1a5f5410-082_Project_to_do_list_28f80082	ok	2	2	0.69	96/101	left
states	102154e8df3b-070_Equipment_inventory_list_Use_this_template_fd524c8a	ok	1	1	11.60	94/106	left
states	141387a26d8d-NPIAS_App_A	ok	124	108	235.20	19443/26300	RIGHT,left
states	14ac102e9f42-053_Personal_asset_inventory_5446d84b	ok	2	2	97.26	17/36	left
states	1f3329b8153e-052_Manufacturing_output_chart_88570318	ok	1	1	2.61	45/60	left
states	1fe21aca9809-028_Budget_summary_report_4aeefd13	ok	4	4	4.72	21/315	left
states	22cb10aa5c93-Hazard Analysis Template	ok	1	0	0.12	40/181	-
states	2404e6775683-044_Cash_flow_forecast_Use_this_template_b8fa1f35	ok	3	3	287.65	119/173	left
states	243b86ab078a-057_Simple_balance_sheet_Use_this_template_e2d4cbb2	ok	1	0	0.00	11/123	-
states	2793a0a465a4-080_Profit_and_loss_income_statement_3566dae9	ok	3	3	9.33	1050/1129	left
states	32575f883e85-034_Personal_net_worth_calculator_f7b8fb57	ok	6	0	0.02	77/115	-
states	33579253666f-068_Blue_inventory_list_Use_this_template_f9908489	ok	4	4	300.95	169/226	left
states	3404a0bf590c-088_To-do_list_with_progress_tracker_Use_this_template_8c438912	ok	1	1	3.29	27/43	left
states	3910010aea15-081_Project_performance_report_Use_this_template_be2468b3	ok	2	2	1.66	384/437	left
states	3a26af4cf3ee-058_Social_media_engagement_data_cfa1cb18	unpaired					
states	3ba2616b9ff5-041_Business_budget_ef942467	ok	4	4	3.39	144/181	left
states	42b95804fa1a-026_Monthly_cash_flow_statement_Use_this_template_8aaebea1	ok	11	10	6.07	559/1042	left
states	49351113d34b-061_Regional_sales_chart_cb9eb690	ok	1	1	5.53	66/95	left
states	4cecfd8827bc-FAA-2019-0995-0002_attachment_2	ok	33	26	257.24	4560/6131	left
states	566a7b9cd56a-020_Free_Blood_Pressure_Chart_and_Printable_Blood_Pressure_Log_8f8dcc39	ok	5	3	5.42	54/56	left
states	5baecec54301-SLSA_Directory_031423	ok	10	10	59.86	2042/2283	left
states	61ed75aa19cc-033_Event_planning_tracker_Use_this_template_f29a848e	ok	3	3	53.48	258/334	left
states	66090ba85c2e-064_Small_business_cash_flow_Use_this_template_0a640756	ok	3	1	242.27	244/292	left
states	66785a9a86cd-065_Weight_loss_tracker_ff1c89af	ok	2	2	3.56	12/54	left
states	68d5d7c87517-027_Simple_personal_cash_flow_statement_675c6584	ok	10	8	5.06	431/1038	left
states	6a93b5b21dce-066_Agile_Gantt_chart_08f9de45	ok	5	3	3.49	637/695	left
states	6c7010e8b643-047_Date_tracker_Gantt_chart_bf34f3a8	ok	8	5	56.13	132/304	left
states	70710f0be103-018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a	ok	9	8	206.46	657/803	left
states	72a31bb34056-087_Simple_personal_budget_3cf9b1af	ok	3	3	7.79	521/614	left
states	7536efd3704d-024_Free_Kids_Chore_Chart_Template_ad74bb34	ok	3	2	13.31	64/74	left
states	75b0205531b1-2012-GA-Survey-Chapter-6-Tables-16Dec2013-V2	unpaired					
states	76e067f15fc5-075_Idea_planner_tasks_f44ebd73	ok	1	1	3.74	35/36	left
states	77248a788669-019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782	ok	8	7	19.19	266/598	left
states	7df223e26e62-016_Free_Organizational_Chart_Template_-_Company_Organization_Chart_db913144	ok	1	0	0.03	13/129	-
states	7e63f51f479b-2012-GA-Survey-Chapter-5-Tables-16Dec2013-V2	ok	2	2	3.27	2/257	left
states	7f570683a4cd-072_Gantt_project_planner_dde00e33	ok	1	1	6.74	165/237	left
states	862bd1a44b85-fm-provider-service-measures	ok	33	1	0.69	4990/5676	left
states	8839274be41a-078_Modern_inventory_list_Use_this_template_41abd5bf	ok	1	1	3.85	243/253	left
states	8c3af61ec4d1-086_Simple_grey_invoice_Use_this_template_063b3773	ok	1	1	2.88	48/53	left
states	8c6bfe9a10fb-050_Financial_vision_d44241e1	ok	1	1	4.51	41/55	left
states	8e62a1be249f-036_Simple_to-do_list_Use_this_template_ba44373b	unpaired					
states	90ea815fe310-PC1000	ok	10	9	1.41	149/416	left
states	9500b89e9137-074_Idea_planner_bacaa123	ok	1	1	3.34	41/42	left
states	9726234b2159-067_Basic_invoice_Use_this_template_1d35c3e9	ok	1	1	1.95	10/36	left
states	9caca43c54d8-076_Inventory_list_accessibility_guide_Use_this_template_f43dab19	ok	9	9	311.90	205/320	left
states	9e6d1bf05297-055_Project_timeline_with_milestones_Use_this_template_546cecc0	ok	2	2	2.88	33/74	left
states	a3791ecfa7ec-040_Blood_pressure_tracker_872b6833	unpaired					
states	a4aa1db73654-054_Problem_analysis_with_Pareto_chart_11058329	ok	1	1	0.73	46/51	left
states	a5371cbb5e4a-039_Baby_growth_tracker_e295ae56	ok	1	1	1.35	76/140	left
states	aa81a66fb34f-069_Blue_modern_balance_sheet_Use_this_template_6b4d70d3	ok	4	4	107.66	80/105	left
states	acaa53c9d93b-073_Graph_paper_6e1a30eb	ok	1	0	0.00	6/8	-
states	acae1580c11d-programs contact list as of 07-01-10	ok	3	3	72.38	6/665	left
states	b43321ef1ee5-031_Business_expense_budget_f3a46278	ok	6	6	18.60	657/1246	left
states	b7fde7cdac59-084_Service_invoice_Use_this_template_c92b43dc	ok	3	2	212.68	71/71	left
states	c269d2dd72a3-FY2021-AIP-grants	ok	56	56	14.90	37634/45987	left
states	c3d3abb9ecd1-062_Run_chart_cb7476ea	ok	1	1	3.13	130/191	left
states	c7d2851acd17-085_Simple_Gantt_chart_d65b8377	ok	3	1	2.35	184/270	left
states	cd0639913019-077_Inventory_list_with_highlighting_Use_this_template_36d8d57a	ok	1	1	2.16	106/271	left
states	d097fc0ad70c-038_Baby_growth_chart_bb9cd672	ok	1	1	4.42	60/139	left
states	d13f81d55feb-032_Business_expenses_budget_d377eaab	ok	4	4	3.93	220/314	left
states	d14177f1b271-071_Four-week_project_timeline_Use_this_template_4f05db49	ok	2	2	0.78	120/152	left
states	d3b121ce3b4a-042_Business_monthly_budget_4e4d092f	ok	4	4	6.48	178/207	left
states	d56dd9972411-089_Vintage_inventory_list_Use_this_template_f616cac0	ok	1	1	4.36	34/43	left
states	d941e3bb4111-079_Org_charts_visual_248d1dcf	ok	2	1	0.98	106/114	left
states	dd2af2060d3c-TK-Syllabus-Comparison-Document-v2	ok	1222	69	171.81	86206/96873	RIGHT,left
states	ddc8b8358c42-063_Sales_pipeline_aec57013	unpaired					
states	e08624a5c066-046_Cost_analysis_with_Pareto_chart_7db5ef69	ok	1	1	5.62	43/80	left
states	e4e91b7c1af1-fy20-may20-sep20	ok	96	96	12.30	12207/15023	RIGHT,left
states	e790188842ad-051_Manufacturer_defect_analysis_53db27ea	ok	1	1	1.10	38/51	left
states	efab95056e03-090_Weekly_time_sheet_Use_this_template_0499cc43	ok	1	0	0.08	72/84	-
states	efe83906f647-049_Expenses_calculator_c351f3d0	ok	4	2	3.57	112/174	left
states	f2e35f60b332-045_Check_register_with_chart_4becb8a0	unpaired					
states	f5404feead8a-021_Control_Chart_Template_-_Create_Control_Charts_in_Excel_fd3b1a5d	ok	4	2	5.56	484/760	left
states	fb421f125101-030_Basic_balance_sheet_Use_this_template_10ed9144	ok	6	6	209.07	112/161	left
states	ff159ebd0da3-060_Monthly_company_budget_47b2a99a	ok	4	4	3.20	197/225	left
states	ff2205e05263-035_Project_plan_for_law_firms_aa2d4462	ok	4	3	4.09	10/350	left
control	00113f77108c-npias_2009_appA	unpaired					
control	05da2164ab06-114339-PROP-P127508-PUBLIC-PPCRNARCPPforPublication	ok	20	0	0.01	1248/1355	-
control	067f3d9fb48c-010_Contextures_chart_sample_e6ea06a3	ok	5	0	0.03	47/66	-
control	079c933351dc-Special-Procedures_2025-07-10	ok	22	0	0.02	13071/16800	-
control	07eb80f49eec-030_advanced_excel_scatter	ok	2	0	0.03	84/117	-
control	08a92df2a83e-UAE Type Accepted Aircraft Models	unpaired					
control	0b47d28d01f9-ecopy of 2016 statistical bulletin_public finance statistics_final	ok	8	0	0.06	15/3666	-
control	0d2c50f5c2cc-012_advanced_excel_doughnut	ok	2	0	0.03	84/104	-
control	0dd39eef3881-033_advanced_excel_bar	ok	2	0	0.03	84/125	-
control	0f339a5276e6-Application_Compliance_Checklist_5_Apr_2021	ok	3	2	1.64	25/3299	RIGHT
control	11ad0014faef-WG7_NCWF_Skills_Table	unpaired					
control	1711b9f9fe04-NPA_21_21_Sentenced_Comments	ok	2	1	0.82	49/177	left
control	171d96d37aa8-EASA-IFP-145Scope(WEB)_ALL_ValidF145SOA_2022-12-16-04-31-58_0	ok	104	0	0.00	14999/15296	-
control	184c1f4562cc-Estero Rotary Awards	ok	2	0	0.04	14/118	-
control	1d07cb31d439-001_Contextures_chart_sample_b089bc34	ok	10	0	0.06	317/396	-
control	1f7b1bc08d5b-fy2011-aip-grants	ok	93	0	0.15	279/17316	-
control	218f0840a7e4-underlying-holdings-emea-en_gb-monthly-holdings-state-street-emu-esg-screened-index-equity-fund	unpaired					
control	254c661eef46-008_advanced_excel_radar	ok	2	0	0.03	84/110	-
control	272f0affa9c3-State-Medicaid-Payment-Policies-for-Medicare-Cost-Sharing	ok	18	0	0.02	1702/5633	-
control	2748ad4d1d0c-011_advanced_excel_pie	ok	2	0	0.03	84/113	-
control	286a10b4f645-059_Milestone_and_task_project_timeline_Use_this_template_24f1e8f1	ok	3	0	0.03	81/128	-
control	2d698a6473c0-004_advanced_excel_doughnut	ok	2	0	0.03	84/104	-
control	2e31dbc03c01-Data-Architecture-Tool-Fit-Assessment-Template	ok	17	0	0.03	293/332	-
control	32aa8309a6fe-WEBSITE-RESOURCE-LIST-by-CATEGORY-4-6-18-341pm	ok	1	0	0.01	238/328	-
control	32ef53f89eb6-018_advanced_excel_line	ok	2	0	0.03	84/123	-
control	3462d60f6a0d-aircraft_analysis-2018-06	ok	42	0	0.04	3905/3921	-
control	34c1c7285ca1-Copy of EASA-IFP-WEBLISTNOODATA-ListsofBASAapprovals(WEB)_ListofValidUSBASAorganisations_2023-01-13-04-33-14	ok	245	0	0.00	18916/19301	-
control	36a94eaf0254-Template Pilot Logbook JAR-FCL V3.0	ok	18	1	0.99	451/1128	left
control	3fb77e313036-MinCh-Digital-Certificate-Publication-Report	ok	179	0	0.00	32477/32740	-
control	4176a4c0a4dd-008_Contextures_chart_sample_7ea7a1d7	ok	4	0	0.04	91/121	-
control	42b98616e142-Aircraft_Database	ok	117	0	0.05	13023/13323	-
control	460f4fc15ed0-EU_145s_with_TCCA_approval_-_31.01.2025	ok	12	0	0.00	1487/1508	-
control	48ae657528b1-hdss-bulletin-index-2019-2022	ok	24	0	0.04	1378/1452	-
