page	y0	y1	x0	x1	w	font	size	text
0	48.79	69.74	46.12	253.79	207.67	DejaVuSans-Bold	18.00	First Up Consultants
0	39.58	81.49	465.29	502.83	37.55	DejaVuSans	36.00	IN
0	84.14	95.79	46.12	123.90	77.78	DejaVuSans-Bold	10.01	12 Beacon St.
0	99.14	110.79	46.12	148.64	102.52	DejaVuSans-Bold	10.01	Boston, MA 98765
0	114.13	125.78	46.12	175.27	129.15	DejaVuSans-Bold	10.01	Phone: (516) 555-0135
0	144.13	155.77	46.12	89.03	42.91	DejaVuSans-Bold	10.01	BILL TO
0	144.13	155.77	396.14	454.26	58.12	DejaVuSans-Bold	10.01	INVOICE #
0	159.12	170.77	46.12	120.23	74.11	DejaVuSans	10.01	Jordan Mitchell
0	159.12	170.77	396.14	424.00	27.86	DejaVuSans-Bold	10.01	2034
0	174.12	185.76	46.12	130.13	84.01	DejaVuSans	10.01	Khusa Marketing
0	189.11	200.76	46.12	126.09	79.97	DejaVuSans	10.01	123 Main Street
0	189.11	200.76	396.14	474.15	78.01	DejaVuSans-Bold	10.01	CUSTOMER ID
0	204.11	215.75	46.12	139.65	93.53	DejaVuSans	10.01	Seattle, WA 87654
0	204.11	215.75	396.14	417.03	20.89	DejaVuSans-Bold	10.01	564
0	219.10	230.75	46.12	124.36	78.24	DejaVuSans	10.01	(954) 555-0190
0	234.10	245.74	46.12	155.78	109.66	DejaVuSans	10.01	jordan@example.com
0	266.33	277.97	46.12	122.00	75.88	DejaVuSans-Bold	10.01	DESCRIPTION
0	266.33	277.97	357.06	379.63	22.57	DejaVuSans-Bold	10.01	QTY
0	266.33	277.97	411.60	475.07	63.47	DejaVuSans-Bold	10.01	UNIT PRICE
0	285.80	297.45	46.12	102.11	56.00	DejaVuSans	10.01	Service fee
0	285.80	297.45	365.16	371.53	6.36	DejaVuSans	10.01	1
0	285.80	297.45	388.31	499.68	111.37	DejaVuSans	10.01	200.00
0	305.27	316.92	46.12	168.00	121.88	DejaVuSans	10.01	Labor: 5 hours at $75/hr
0	305.27	316.92	365.16	371.53	6.36	DejaVuSans	10.01	5
0	305.27	316.92	388.32	499.69	111.37	DejaVuSans	10.01	75.00
0	324.75	336.40	46.12	144.38	98.26	DejaVuSans	10.01	New client discount
0	324.75	336.40	390.05	499.68	109.63	DejaVuSans	10.01	(50.00)
0	577.91	589.56	110.21	278.85	168.64	DejaVuSans-Bold	10.01	Thank you for your business!
0	577.91	589.56	360.79	413.86	53.06	DejaVuSans	10.01	SUBTOTAL
