            face    pt |  ref asc  ref h |  mod asc  mod h |  our asc  our h | flags
Liberation Serif   5.0 |       93    115 |       93    115 |       93    115 | 
Liberation Serif   5.5 |      103    127 |      103    127 |      103    127 | 
Liberation Serif   6.0 |      112    138 |      112    138 |      112    138 | 
Liberation Serif   6.5 |      122    150 |      122    150 |      122    150 | 
Liberation Serif   7.0 |      131    161 |      131    161 |      131    161 | 
Liberation Serif   7.5 |      140    172 |      140    172 |      140    172 | 
Liberation Serif   8.0 |      150    184 |      150    184 |      150    184 | 
Liberation Serif   8.5 |      159    195 |      159    195 |      159    195 | 
Liberation Serif   9.0 |      168    207 |      168    207 |      168    207 | 
Liberation Serif   9.5 |      177    219 |      177    219 |      177    219 | 
Liberation Serif  10.0 |      187    231 |      187    231 |      187    231 | 
Liberation Serif  10.5 |      196    242 |      196    242 |      196    242 | 
Liberation Serif  11.0 |      205    253 |      205    253 |      205    253 | 
Liberation Serif  11.5 |      215    265 |      215    265 |      215    265 | 
Liberation Serif  12.0 |      224    276 |      224    276 |      224    276 | 
Liberation Serif  12.5 |      234    288 |      234    288 |      234    288 | 
Liberation Serif  13.0 |      243    299 |      243    299 |      243    299 | 
Liberation Serif  13.5 |      253    311 |      253    311 |      253    311 | 
Liberation Serif  14.0 |      262    322 |      262    322 |      262    322 | 
Liberation Serif  14.5 |      271    333 |      271    333 |      271    333 | 
Liberation Serif  15.0 |      280    345 |      280    345 |      280    345 | 
Liberation Serif  15.5 |      289    356 |      289    356 |      289    356 | 
Liberation Serif  16.0 |      299    368 |      299    368 |      299    368 | 
Liberation Serif  16.5 |      308    379 |      308    379 |      308    379 | 
Liberation Serif  17.0 |      318    392 |      318    392 |      318    392 | 
Liberation Serif  17.5 |      327    403 |      327    403 |      327    403 | 
Liberation Serif  18.0 |      336    414 |      336    414 |      336    414 | 
Liberation Serif  18.5 |      346    426 |      346    426 |      346    426 | 
Liberation Serif  19.0 |      355    437 |      355    437 |      355    437 | 
Liberation Serif  19.5 |      365    449 |      365    449 |      365    449 | 
Liberation Serif  20.0 |      374    460 |      374    460 |      374    460 | 
Liberation Serif  20.5 |      383    472 |      383    472 |      383    472 | 
Liberation Serif  21.0 |      392    483 |      392    483 |      392    483 | 
Liberation Serif  21.5 |      401    494 |      401    494 |      401    494 | 
Liberation Serif  22.0 |      411    506 |      411    506 |      411    506 | 
Liberation Serif  22.5 |      420    517 |      420    517 |      420    517 | 
Liberation Serif  23.0 |      430    529 |      430    529 |      430    529 | 
Liberation Serif  23.5 |      439    541 |      439    541 |      439    541 | 
Liberation Serif  24.0 |      448    552 |      448    552 |      448    552 | 
 Liberation Sans   5.0 |       94    115 |       94    115 |       94    115 | 
 Liberation Sans   5.5 |      104    127 |      104    127 |      104    127 | 
 Liberation Sans   6.0 |      113    138 |      113    138 |      113    138 | 
 Liberation Sans   6.5 |      122    149 |      122    149 |      122    149 | 
 Liberation Sans   7.0 |      132    161 |      132    161 |      132    161 | 
 Liberation Sans   7.5 |      141    173 |      141    173 |      141    173 | 
 Liberation Sans   8.0 |      150    184 |      150    184 |      150    184 | 
 Liberation Sans   8.5 |      160    196 |      160    196 |      160    196 | 
 Liberation Sans   9.0 |      169    207 |      169    207 |      169    207 | 
 Liberation Sans   9.5 |      178    218 |      178    218 |      178    218 | 
 Liberation Sans  10.0 |      188    230 |      188    230 |      188    230 | 
 Liberation Sans  10.5 |      197    242 |      197    242 |      197    242 | 
 Liberation Sans  11.0 |      206    253 |      206    253 |      206    253 | 
 Liberation Sans  11.5 |      216    265 |      216    265 |      216    265 | 
 Liberation Sans  12.0 |      225    276 |      225    276 |      225    276 | 
 Liberation Sans  12.5 |      234    287 |      234    287 |      234    287 | 
 Liberation Sans  13.0 |      244    300 |      244    300 |      244    300 | 
 Liberation Sans  13.5 |      254    311 |      254    311 |      254    311 | 
 Liberation Sans  14.0 |      263    322 |      263    322 |      263    322 | 
 Liberation Sans  14.5 |      273    334 |      273    334 |      273    334 | 
 Liberation Sans  15.0 |      282    345 |      282    345 |      282    345 | 
 Liberation Sans  15.5 |      291    356 |      291    356 |      291    356 | 
 Liberation Sans  16.0 |      301    369 |      301    369 |      301    369 | 
 Liberation Sans  16.5 |      310    380 |      310    380 |      310    380 | 
 Liberation Sans  17.0 |      319    391 |      319    391 |      319    391 | 
 Liberation Sans  17.5 |      329    403 |      329    403 |      329    403 | 
 Liberation Sans  18.0 |      338    414 |      338    414 |      338    414 | 
 Liberation Sans  18.5 |      347    425 |      347    425 |      347    425 | 
 Liberation Sans  19.0 |      357    438 |      357    438 |      357    438 | 
 Liberation Sans  19.5 |      366    449 |      366    449 |      366    449 | 
 Liberation Sans  20.0 |      375    460 |      375    460 |      375    460 | 
 Liberation Sans  20.5 |      384    471 |      384    471 |      384    471 | 
 Liberation Sans  21.0 |      394    483 |      394    483 |      394    483 | 
 Liberation Sans  21.5 |      403    495 |      403    495 |      403    495 | 
 Liberation Sans  22.0 |      412    506 |      412    506 |      412    506 | 
 Liberation Sans  22.5 |      422    518 |      422    518 |      422    518 | 
 Liberation Sans  23.0 |      432    529 |      432    529 |      432    529 | 
 Liberation Sans  23.5 |      441    540 |      441    540 |      441    540 | 
 Liberation Sans  24.0 |      451    552 |      451    552 |      451    552 | 
         Carlito   5.0 |       95    122 |       95    122 |       95    122 | 
         Carlito   5.5 |      105    134 |      105    134 |      105    134 | 
         Carlito   6.0 |      114    147 |      114    147 |      114    147 | 
         Carlito   6.5 |      124    159 |      124    159 |      124    159 | 
         Carlito   7.0 |      133    171 |      133    171 |      133    171 | 
         Carlito   7.5 |      143    183 |      143    183 |      143    183 | 
         Carlito   8.0 |      152    195 |      152    195 |      152    195 | 
         Carlito   8.5 |      162    208 |      162    208 |      162    208 | 
         Carlito   9.0 |      171    220 |      171    220 |      171    220 | 
         Carlito   9.5 |      181    232 |      181    232 |      181    232 | 
         Carlito  10.0 |      191    244 |      191    244 |      191    244 | 
         Carlito  10.5 |      200    256 |      200    256 |      200    256 | 
         Carlito  11.0 |      210    269 |      210    269 |      210    269 | 
         Carlito  11.5 |      219    281 |      219    281 |      219    281 | 
         Carlito  12.0 |      229    293 |      229    293 |      229    293 | 
         Carlito  12.5 |      238    305 |      238    305 |      238    305 | 
         Carlito  13.0 |      248    317 |      248    317 |      248    317 | 
         Carlito  13.5 |      257    330 |      257    330 |      257    330 | 
         Carlito  14.0 |      267    342 |      267    342 |      267    342 | 
         Carlito  14.5 |      276    354 |      276    354 |      276    354 | 
         Carlito  15.0 |      286    366 |      286    366 |      286    366 | 
         Carlito  15.5 |      295    379 |      295    379 |      295    379 | 
         Carlito  16.0 |      305    391 |      305    391 |      305    391 | 
         Carlito  16.5 |      314    403 |      314    403 |      314    403 | 
         Carlito  17.0 |      324    415 |      324    415 |      324    415 | 
         Carlito  17.5 |      333    427 |      333    427 |      333    427 | 
         Carlito  18.0 |      343    440 |      343    440 |      343    440 | 
         Carlito  18.5 |      352    452 |      352    452 |      352    452 | 
         Carlito  19.0 |      362    464 |      362    464 |      362    464 | 
         Carlito  19.5 |      371    476 |      371    476 |      371    476 | 
         Carlito  20.0 |      381    488 |      381    488 |      381    488 | 
         Carlito  20.5 |      390    501 |      390    501 |      390    501 | 
         Carlito  21.0 |      400    513 |      400    513 |      400    513 | 
         Carlito  21.5 |      410    525 |      410    525 |      410    525 | 
         Carlito  22.0 |      419    537 |      419    537 |      419    537 | 
         Carlito  22.5 |      429    549 |      429    549 |      429    549 | 
         Carlito  23.0 |      438    562 |      438    562 |      438    562 | 
         Carlito  23.5 |      448    574 |      448    574 |      448    574 | 
         Carlito  24.0 |      457    586 |      457    586 |      457    586 | 
