pages: ref 11 ours 12
M0     p1   625.0    p1   625.0   
M1     p1   650.5    p1   650.5   
M2     p1   676.0    p1   676.0   
M3     p1   701.5    p1   701.5   
M4     p1   727.0    p1   727.0   
M5     p2    46.5    p2    46.5   
N0     p3   643.3    p3   643.3   
N1     p3   668.8    p3   668.8   
N2     p3   694.3    p3   694.3   
N3     p3   719.8    p3   719.8   
N4     p4    46.5    p4    46.5   
N5     p4    72.0    p4    72.0   
P0     p5   661.8    p5   661.8   
P1     p5   687.2    p5   687.2   
P2     p5   712.8    p5   712.8   
P3     p5   738.2    p5   738.2   
P4     p6    46.5    p6    46.5   
P5     p6    72.0    p6    72.0   
Q0     p7   625.0    p7   625.0   
Q1     p7   650.5    p7   650.5   
Q2     p7   670.0    p7   670.0   
Q3     p7   692.5    p7   692.5   
Q4     p7   715.0    p7   715.0   
Q5     p7   737.5    p7   737.5   
R0     p9   643.3    p9   643.3   
R1     p9   668.8    p9   668.8   
R2     p9   688.3    p9   688.3   
R3     p9   710.8    p9   710.8   
R4     p9   733.3    p9   733.3   
R5     p10    43.5    p10    43.5   
S0        missing    p11   661.8   DIFFERS
S1        missing    p11   687.2   DIFFERS
S2        missing    p11   706.8   DIFFERS
S3        missing    p11   729.2   DIFFERS
S4        missing    p12    43.5   DIFFERS
S5        missing    p12    66.0   DIFFERS
6 of 36 cells differ
