document	numeric_cells_under_a_text_style_owner	of_those_wrapping
0b47d28d01f9-ecopy of 2016 statistical bulletin_public finance statistics_final.ods	1480	0
1f7b1bc08d5b-fy2011-aip-grants.ods	8236	8236
2404e6775683-044_Cash_flow_forecast_Use_this_template_b8fa1f35.ods	198	0
243b86ab078a-057_Simple_balance_sheet_Use_this_template_e2d4cbb2.ods	58	0
26560dcfe77b-056_Quarterly_sale_report_baa6bb0d.ods	75	75
2793a0a465a4-080_Profit_and_loss_income_statement_3566dae9.ods	1	0
2ffd23259782-Travel-Cost-Estimate-Calculator.ods	18	0
32575f883e85-034_Personal_net_worth_calculator_f7b8fb57.ods	48	0
5148194a7301-2025_Active_Civil_Airmen_Statistics_FINAL.ods	38	0
69998449f262-FY2023-AIP-grants.ods	23193	0
70fdcf65bc56-einvoice-summary-worksheet.ods	95	0
7b7b5954ffba-CSJU List of Recipients of funds 2013-2020.ods	6	0
86d65d5dc24f-fy2010-aip-grants.ods	9696	9696
90ea815fe310-PC1000.ods	1	0
946dd476258b-007_Contextures_chart_sample_667d8e47.ods	28	0
9b27cbe1a824-airports_6.ods	398	0
a63e5295daa5-REDAC_SCHEDULE_RPD_137.ods	101	0
acc16902429a-014_Contextures_chart_sample_991ecfc5.ods	8	0
b048c7677039-REDAC_SCHEDULE_RPD_135.ods	28	0
b7fde7cdac59-084_Service_invoice_Use_this_template_c92b43dc.ods	21	0
bc701899509c-SSRO_Quarterly_Statistical_Bulletin_Q3201617_DATA.ods	8	0
bed44dee2831-redac-sas-201503-fy17-research-portfolio.ods	38	0
c269d2dd72a3-FY2021-AIP-grants.ods	39432	39432
c7619a6498c0-009_Contextures_chart_sample_adcb3f6c.ods	25	0
d13f81d55feb-032_Business_expenses_budget_d377eaab.ods	639	0
d9fad1b2849e-RPD 155 REDAC SCHEDULE 2014-04-02.ods	20	0
def4253081ae-Global_Market_Forecast_2016-2035_Airbus_Data_Set.ods	13316	13316
ed1d9d3df86e-atspp_pay_tables.ods	2	0
f2e35f60b332-045_Check_register_with_chart_4becb8a0.ods	43	0
f3b0536449e9-ECA Sinters.ods	5131	4639
f6035c4a958d-RPA-Budgets-FY-17-19-20.ods	309	8
# 31 documents, 102690 numeric cells under a text-style owner
# 7 documents, 75402 of those cells also wrap
